%time,field.DevID,field.MsgID,field.Data,field.Time
1494839027935330329,10,3,150,1494839027.92
1494839027974708519,10,5,150,1494839027.97
1494839027977619991,10,3,150,1494839027.97
1494839028044761910,10,5,150,1494839028.02
1494839028044817853,10,3,150,1494839028.02
1494839028075171223,10,5,150,1494839028.07
1494839028077187821,10,3,150,1494839028.07
1494839028125338010,10,5,-150,1494839028.12
1494839028126404347,10,3,-150,1494839028.12
1494839028175232972,10,5,-150,1494839028.17
1494839028176815228,10,3,-150,1494839028.17
1494839028225382578,10,5,-150,1494839028.22
1494839028226434248,10,3,-150,1494839028.22
1494839028275200926,10,5,150,1494839028.27
1494839028276888779,10,3,150,1494839028.27
1494839028323897200,10,5,150,1494839028.32
1494839028327540327,10,3,150,1494839028.32
1494839028373993584,10,5,150,1494839028.37
1494839028377783311,10,3,150,1494839028.37
1494839028425030238,10,5,150,1494839028.42
1494839028426352613,10,3,150,1494839028.42
1494839028473269825,10,5,150,1494839028.47
1494839028474599672,10,3,150,1494839028.47
1494839028523535083,10,5,150,1494839028.52
1494839028523590956,10,3,150,1494839028.52
1494839028573226949,10,5,150,1494839028.57
1494839028574285045,10,3,150,1494839028.57
1494839028625105335,10,5,150,1494839028.62
1494839028626473248,10,3,150,1494839028.62
1494839028673275637,10,5,-150,1494839028.67
1494839028674735460,10,3,-150,1494839028.67
1494839028726410187,10,5,-150,1494839028.72
1494839028726471019,10,3,-150,1494839028.72
1494839028773293662,10,5,-150,1494839028.77
1494839028774238334,10,3,-150,1494839028.77
1494839028823370421,10,5,-150,1494839028.82
1494839028824400370,10,3,-150,1494839028.82
1494839028873284587,10,5,150,1494839028.87
1494839028876426048,10,3,150,1494839028.87
1494839028923341024,10,5,150,1494839028.92
1494839028928544760,10,3,150,1494839028.92
1494839028973416804,10,5,150,1494839028.97
1494839028974583434,10,3,150,1494839028.97
1494839029026496603,10,5,150,1494839029.02
1494839029028764278,10,3,150,1494839029.02
1494839029073299760,10,5,150,1494839029.07
1494839029074463667,10,3,150,1494839029.07
1494839029123428692,10,5,150,1494839029.12
1494839029124653008,10,3,150,1494839029.12
1494839029173545679,10,5,150,1494839029.17
1494839029174822935,10,3,150,1494839029.17
1494839029223357875,10,5,150,1494839029.22
1494839029224652732,10,3,150,1494839029.22
1494839029273306408,10,5,-150,1494839029.27
1494839029274592116,10,3,-150,1494839029.27
1494839029325927064,10,5,-150,1494839029.32
1494839029328782877,10,3,-150,1494839029.32
1494839029373974097,10,5,-150,1494839029.37
1494839029377186658,10,3,-150,1494839029.37
1494839029425395931,10,5,150,1494839029.42
1494839029428479076,10,3,150,1494839029.42
1494839029473316410,10,5,150,1494839029.47
1494839029474504342,10,3,150,1494839029.47
1494839029523333038,10,5,150,1494839029.52
1494839029524548066,10,3,150,1494839029.52
1494839029573331711,10,5,150,1494839029.57
1494839029574524878,10,3,150,1494839029.57
1494839029626509982,10,5,150,1494839029.62
1494839029628686795,10,3,150,1494839029.62
1494839029673334719,10,5,150,1494839029.67
1494839029674569442,10,3,150,1494839029.67
1494839029726578224,10,5,150,1494839029.72
1494839029727425748,10,3,150,1494839029.72
1494839029773296384,10,5,-150,1494839029.77
1494839029774487039,10,3,-150,1494839029.77
1494839029823364834,10,5,-150,1494839029.82
1494839029824576162,10,3,-150,1494839029.82
1494839029878401093,10,5,-150,1494839029.87
1494839029879562413,10,3,-150,1494839029.87
1494839029926649894,10,5,-150,1494839029.92
1494839029927248922,10,3,-150,1494839029.92
1494839029973341519,10,5,150,1494839029.97
1494839029977391962,10,3,150,1494839029.97
1494839030023930141,10,5,150,1494839030.02
1494839030026981156,10,3,150,1494839030.02
1494839030073302692,10,5,150,1494839030.07
1494839030077184471,10,3,150,1494839030.07
1494839030127662607,10,5,150,1494839030.12
1494839030128239148,10,3,150,1494839030.12
1494839030173310102,10,5,150,1494839030.17
1494839030174224464,10,3,150,1494839030.17
1494839030226718084,10,5,150,1494839030.22
1494839030227284288,10,3,150,1494839030.22
1494839030273262409,10,5,150,1494839030.27
1494839030275367147,10,3,150,1494839030.27
1494839030325756166,10,5,150,1494839030.32
1494839030326385016,10,3,150,1494839030.32
1494839030373343850,10,5,-150,1494839030.37
1494839030373406497,10,3,-150,1494839030.37
1494839030425999428,10,5,-150,1494839030.42
1494839030426650069,10,3,-150,1494839030.42
1494839030480131941,10,5,-150,1494839030.48
1494839030480496652,10,3,-150,1494839030.48
1494839030525806603,10,5,-150,1494839030.52
1494839030526466953,10,3,-150,1494839030.52
1494839030573366840,10,5,150,1494839030.57
1494839030573427602,10,3,150,1494839030.57
1494839030623306153,10,5,150,1494839030.62
1494839030624525862,10,3,150,1494839030.62
1494839030674113035,10,5,150,1494839030.67
1494839030674175194,10,3,150,1494839030.67
1494839030724012117,10,5,150,1494839030.72
