%time,field.timestamp,field.delx,field.dely,field.longitude,field.latitude
1494938354543367564,123914.40,66.8555250888,-492.343026796,9.97776986667,57.01530809
1494938354661263772,123914.60,66.8514529798,-492.33295006,9.97777003333,57.0153080533
1494938354856065848,123914.80,66.8557101856,-492.316826641,9.9777703,57.0153080917
1494938355062203235,123915.00,66.8518231718,-492.307757592,9.97777045,57.0153080567
1494938355265339192,123915.20,66.8442342396,-492.30977344,9.97777041667,57.0153079883
1494938355459431332,123915.40,66.8468255819,-492.336981127,9.97776996667,57.0153080117
1494938355662378159,123915.60,66.8590419105,-492.394419176,9.97776901667,57.0153081217
1494938355863595926,123915.80,66.875700541,-492.468987823,9.97776778333,57.0153082717
1494938356061623203,123916.00,66.8990226236,-492.564717727,9.9777662,57.0153084817
1494938356263631782,123916.20,66.9401139114,-492.668508153,9.97776448333,57.0153088517
1494938356456695370,123916.40,66.9917556643,-492.772297948,9.97776276667,57.0153093167
1494938356665273919,123916.60,67.0587603769,-492.870040639,9.97776115,57.01530992
1494938356863267462,123916.80,67.1437193916,-492.952666789,9.97775978333,57.015310685
1494938357064402397,123917.00,67.2416351175,-493.031261373,9.97775848333,57.0153115667
1494938357262004900,123917.20,67.3593561029,-493.109854773,9.97775718333,57.0153126267
1494938357463288177,123917.40,67.4837405411,-493.180386191,9.97775601667,57.0153137467
1494938357664859620,123917.60,67.6314470626,-493.250916213,9.97775485,57.0153150767
1494938357863283875,123917.80,67.7898891444,-493.302299336,9.977754,57.0153165033
1494938358063329495,123918.00,67.9479610349,-493.335543919,9.97775345,57.0153179267
1494938358266758716,123918.20,68.1201002137,-493.341579824,9.97775335,57.0153194767
1494938358464946070,123918.40,68.2866865151,-493.333508292,9.97775348333,57.0153209767
1494938358663098782,123918.60,68.438835337,-493.313345252,9.97775381667,57.0153223467
1494938358865120491,123918.80,68.5835803234,-493.27806719,9.9777544,57.01532365
1494938359061456213,123919.00,68.7142580216,-493.236743784,9.97775508333,57.0153248267
1494938359263813370,123919.20,68.840308324,-493.190382167,9.97775585,57.0153259617
1494938359464331327,123919.40,68.9552528711,-493.142005819,9.97775665,57.0153269967
1494938359669295101,123919.60,69.068161364,-493.090606502,9.9777575,57.0153280133
1494938359863464066,123919.80,69.1694088171,-493.029130907,9.97775851667,57.015328925
1494938360063912600,123920.00,69.260661091,-492.9716867,9.97775946667,57.0153297467
1494938360260958468,123920.20,69.3591321051,-492.901141995,9.97776063333,57.0153306333
1494938360463301727,123920.40,69.4611199408,-492.81951241,9.97776198333,57.0153315517
1494938360665076058,123920.60,69.5732880503,-492.739897614,9.9777633,57.0153325617
1494938360862714948,123920.80,69.6756460781,-492.666329591,9.97776451667,57.0153334833
1494938361063850302,123921.00,69.7619007635,-492.593770227,9.97776571667,57.01533426
1494938361265309300,123921.20,69.8498213111,-492.53128774,9.97776675,57.0153350517
1494938361464328882,123921.40,69.9299678311,-492.470821113,9.97776775,57.0153357733
1494938361663412090,123921.60,70.0086335843,-492.411362273,9.97776873333,57.0153364817
1494938361866842638,123921.80,70.0885950097,-492.360972633,9.97776956667,57.0153372017
1494938362062884257,123922.00,70.1600420228,-492.316629687,9.9777703,57.015337845
1494938362261871712,123922.20,70.2287125989,-492.27531,9.97777098333,57.0153384633
1494938362461480336,123922.40,70.2970129823,-492.234998032,9.97777165,57.0153390783
