%time,field.DevID,field.MsgID,field.Data,field.Time
1494938355051807709,10,5,150,1494938355.05
1494938355051911493,10,3,-150,1494938355.05
1494938355098622601,10,5,150,1494938355.1
1494938355101259249,10,3,-150,1494938355.1
1494938355148167239,10,5,150,1494938355.15
1494938355149932059,10,3,-150,1494938355.15
1494938355198171014,10,5,150,1494938355.2
1494938355198961478,10,3,-150,1494938355.2
1494938355248570300,10,5,150,1494938355.25
1494938355250030332,10,3,-150,1494938355.25
1494938355299149497,10,5,150,1494938355.3
1494938355299746850,10,3,-150,1494938355.3
1494938355351371362,10,5,150,1494938355.35
1494938355352366390,10,3,-150,1494938355.35
1494938355399725625,10,5,150,1494938355.4
1494938355400716952,10,3,-150,1494938355.4
1494938355455293795,10,5,150,1494938355.45
1494938355455527135,10,3,-150,1494938355.45
1494938355499874743,10,5,150,1494938355.5
1494938355500425442,10,3,-150,1494938355.5
1494938355550180372,10,5,150,1494938355.55
1494938355551552823,10,3,-150,1494938355.55
1494938355604734237,10,5,150,1494938355.6
1494938355604802681,10,3,-150,1494938355.6
1494938355650541319,10,5,150,1494938355.65
1494938355651543192,10,3,-150,1494938355.65
1494938355698491411,10,5,150,1494938355.7
1494938355699111532,10,3,-150,1494938355.7
1494938355749180608,10,5,150,1494938355.75
1494938355749780545,10,3,-150,1494938355.75
1494938355803606594,10,5,150,1494938355.8
1494938355803686422,10,3,-150,1494938355.8
1494938355858101792,10,5,150,1494938355.85
1494938355858418242,10,3,-150,1494938355.85
1494938355899199127,10,5,150,1494938355.9
1494938355899810308,10,3,-150,1494938355.9
1494938355950177257,10,5,150,1494938355.95
1494938355950306673,10,3,-150,1494938355.95
1494938356003143979,10,5,150,1494938356.0
1494938356003239871,10,3,-150,1494938356.0
1494938356049511048,10,5,150,1494938356.05
1494938356051550344,10,3,-150,1494938356.05
1494938356099655065,10,5,150,1494938356.1
1494938356099736290,10,3,-150,1494938356.1
1494938356149153049,10,5,150,1494938356.15
1494938356150392732,10,3,-150,1494938356.15
1494938356202023878,10,5,150,1494938356.2
1494938356202337396,10,3,-150,1494938356.2
1494938356249507500,10,5,150,1494938356.25
1494938356249613799,10,3,-150,1494938356.25
1494938356300172952,10,5,150,1494938356.3
1494938356302250031,10,3,-150,1494938356.3
1494938356348590072,10,5,150,1494938356.35
1494938356348663545,10,3,-150,1494938356.35
1494938356400844483,10,5,150,1494938356.4
1494938356402288940,10,3,-150,1494938356.4
1494938356451765553,10,5,150,1494938356.45
1494938356452277420,10,3,-150,1494938356.45
1494938356500428235,10,5,150,1494938356.5
1494938356501078737,10,3,-150,1494938356.5
1494938356553636398,10,5,150,1494938356.55
1494938356553739763,10,3,-150,1494938356.55
1494938356603012440,10,5,150,1494938356.6
1494938356603070967,10,3,-150,1494938356.6
1494938356653141650,10,5,150,1494938356.65
1494938356653454608,10,3,-150,1494938356.65
1494938356702848180,10,5,150,1494938356.7
1494938356703300193,10,3,-150,1494938356.7
1494938356749168665,10,5,150,1494938356.75
1494938356750394869,10,3,-150,1494938356.75
1494938356805083248,10,5,150,1494938356.8
1494938356805180048,10,3,-150,1494938356.8
1494938356850713422,10,5,150,1494938356.85
1494938356851451993,10,3,-150,1494938356.85
1494938356899147025,10,5,150,1494938356.9
1494938356899245571,10,3,-150,1494938356.9
1494938356950635486,10,5,150,1494938356.95
1494938356950748769,10,3,-150,1494938356.95
1494938357002044188,10,5,150,1494938357.0
1494938357002166061,10,3,-150,1494938357.0
1494938357051396344,10,5,150,1494938357.05
1494938357052555360,10,3,-150,1494938357.05
1494938357100568449,10,5,150,1494938357.1
1494938357102930481,10,3,-150,1494938357.1
1494938357149173163,10,5,150,1494938357.15
1494938357149782109,10,3,-150,1494938357.15
1494938357199169465,10,5,150,1494938357.2
1494938357199721770,10,3,-150,1494938357.2
1494938357250046326,10,5,150,1494938357.25
1494938357251461240,10,3,-150,1494938357.25
1494938357299572317,10,5,150,1494938357.3
1494938357300543529,10,3,-150,1494938357.3
1494938357349176809,10,5,150,1494938357.35
1494938357349876060,10,3,-150,1494938357.35
1494938357402695486,10,5,150,1494938357.4
1494938357404642033,10,3,-150,1494938357.4
1494938357449553610,10,5,150,1494938357.45
1494938357449968118,10,3,-150,1494938357.45
1494938357499073384,10,5,150,1494938357.5
1494938357499173816,10,3,-150,1494938357.5
1494938357550719268,10,5,150,1494938357.55
1494938357551300487,10,3,-150,1494938357.55
1494938357600704814,10,5,150,1494938357.6
1494938357601755297,10,3,-150,1494938357.6
1494938357650682329,10,5,150,1494938357.65
1494938357651300983,10,3,-150,1494938357.65
1494938357700923704,10,5,150,1494938357.7
1494938357701519520,10,3,-150,1494938357.7
1494938357749436088,10,5,150,1494938357.75
1494938357749489027,10,3,-150,1494938357.75
1494938357800484688,10,5,150,1494938357.8
1494938357802427463,10,3,-150,1494938357.8
1494938357853185943,10,5,150,1494938357.85
1494938357853282394,10,3,-150,1494938357.85
1494938357899000009,10,5,150,1494938357.9
1494938357900288162,10,3,-150,1494938357.9
1494938357949202064,10,5,150,1494938357.95
1494938357950184451,10,3,-150,1494938357.95
1494938358004317103,10,5,150,1494938358.0
1494938358005172449,10,3,-150,1494938358.0
1494938358051174039,10,5,150,1494938358.05
1494938358052155100,10,3,-150,1494938358.05
1494938358101218322,10,5,134,1494938358.1
1494938358102014652,10,3,-150,1494938358.1
1494938358150475633,10,5,150,1494938358.15
1494938358150577741,10,3,-150,1494938358.15
1494938358200651218,10,5,-150,1494938358.2
1494938358201980507,10,3,150,1494938358.2
1494938358253545095,10,5,-150,1494938358.25
1494938358253655863,10,3,150,1494938358.25
1494938358300063301,10,5,150,1494938358.3
1494938358301643739,10,3,-150,1494938358.3
1494938358351422136,10,5,150,1494938358.35
1494938358352541762,10,3,-150,1494938358.35
1494938358401594159,10,5,-150,1494938358.4
1494938358402667061,10,3,150,1494938358.4
1494938358451612042,10,5,-150,1494938358.45
1494938358451720226,10,3,150,1494938358.45
1494938358499456115,10,5,-150,1494938358.5
1494938358500550178,10,3,150,1494938358.5
1494938358549569331,10,5,-150,1494938358.55
1494938358550194410,10,3,150,1494938358.55
1494938358600079944,10,5,-150,1494938358.6
1494938358601504427,10,3,118,1494938358.6
1494938358653173497,10,5,-150,1494938358.65
1494938358653274977,10,3,150,1494938358.65
1494938358699985037,10,5,-150,1494938358.7
1494938358703474866,10,3,150,1494938358.7
1494938358750928666,10,5,-150,1494938358.75
1494938358751044393,10,3,150,1494938358.75
1494938358802295184,10,5,-150,1494938358.8
1494938358803436879,10,3,150,1494938358.8
1494938358850104406,10,5,-150,1494938358.85
1494938358851700140,10,3,150,1494938358.85
1494938358900776841,10,5,-150,1494938358.9
1494938358901930969,10,3,150,1494938358.9
1494938358950285721,10,5,-150,1494938358.95
1494938358951524426,10,3,150,1494938358.95
1494938359000142620,10,5,-150,1494938359.0
1494938359002298760,10,3,150,1494938359.0
1494938359051369106,10,5,-150,1494938359.05
1494938359052127163,10,3,150,1494938359.05
1494938359101095751,10,5,-150,1494938359.1
1494938359101891313,10,3,150,1494938359.1
1494938359151003494,10,5,-150,1494938359.15
1494938359151471500,10,3,150,1494938359.15
1494938359201363739,10,5,-150,1494938359.2
1494938359202107478,10,3,150,1494938359.2
1494938359250758777,10,5,-150,1494938359.25
1494938359251543234,10,3,150,1494938359.25
1494938359301735162,10,5,-150,1494938359.3
1494938359301835803,10,3,150,1494938359.3
1494938359348894650,10,5,-150,1494938359.35
1494938359349038872,10,3,150,1494938359.35
1494938359404504306,10,5,-150,1494938359.4
1494938359404713550,10,3,150,1494938359.4
1494938359456241192,10,5,-150,1494938359.45
1494938359457667560,10,3,150,1494938359.45
1494938359498524921,10,5,-150,1494938359.5
1494938359499305816,10,3,150,1494938359.5
1494938359551458468,10,5,-150,1494938359.55
1494938359551953712,10,3,150,1494938359.55
1494938359601163601,10,5,-150,1494938359.6
1494938359602169316,10,3,150,1494938359.6
1494938359651400157,10,5,-150,1494938359.65
1494938359651912513,10,3,150,1494938359.65
1494938359700489919,10,5,-150,1494938359.7
1494938359702100669,10,3,150,1494938359.7
1494938359751238691,10,5,-150,1494938359.75
1494938359751868590,10,3,150,1494938359.75
1494938359801280180,10,5,-150,1494938359.8
1494938359802575597,10,3,150,1494938359.8
1494938359850586381,10,5,-150,1494938359.85
1494938359852084546,10,3,150,1494938359.85
1494938359899282657,10,5,-150,1494938359.9
1494938359899852003,10,3,150,1494938359.9
1494938359950194857,10,5,-150,1494938359.95
1494938359951521423,10,3,150,1494938359.95
1494938360000811559,10,5,-150,1494938360.0
1494938360001965268,10,3,150,1494938360.0
1494938360051553068,10,5,-150,1494938360.05
1494938360052146020,10,3,150,1494938360.05
1494938360101477433,10,5,-150,1494938360.1
1494938360101808551,10,3,150,1494938360.1
1494938360151122573,10,5,-150,1494938360.15
1494938360151336218,10,3,150,1494938360.15
1494938360200187751,10,5,-108,1494938360.2
1494938360201855142,10,3,82,1494938360.2
1494938360250353418,10,5,-150,1494938360.25
1494938360251567958,10,3,150,1494938360.25
1494938360301148914,10,5,-150,1494938360.3
1494938360301781466,10,3,150,1494938360.3
1494938360350157450,10,5,-150,1494938360.35
1494938360350244822,10,3,150,1494938360.35
1494938360401524388,10,5,118,1494938360.4
1494938360402490781,10,3,-150,1494938360.4
1494938360448613057,10,5,150,1494938360.45
1494938360449546626,10,3,-150,1494938360.45
1494938360499750077,10,5,-150,1494938360.5
1494938360500054934,10,3,150,1494938360.5
1494938360549230601,10,5,-150,1494938360.55
1494938360549852677,10,3,150,1494938360.55
1494938360604234662,10,5,-99,1494938360.6
1494938360604413875,10,3,75,1494938360.6
1494938360649490766,10,5,-150,1494938360.65
1494938360650984043,10,3,150,1494938360.65
1494938360699184795,10,5,-150,1494938360.7
1494938360700447805,10,3,150,1494938360.7
1494938360749496151,10,5,92,1494938360.75
1494938360750474628,10,3,-121,1494938360.75
1494938360799171602,10,5,150,1494938360.8
1494938360803801800,10,3,-150,1494938360.8
1494938360849389231,10,5,-150,1494938360.85
1494938360850445720,10,3,150,1494938360.85
1494938360899085285,10,5,-92,1494938360.9
1494938360899681451,10,3,70,1494938360.9
1494938360949346006,10,5,150,1494938360.95
1494938360950372045,10,3,-150,1494938360.95
1494938360999202626,10,5,150,1494938361.0
1494938360999828124,10,3,-150,1494938361.0
1494938361049857601,10,5,150,1494938361.05
1494938361051450052,10,3,-150,1494938361.05
1494938361099128322,10,5,150,1494938361.1
1494938361100820087,10,3,-150,1494938361.1
1494938361149319341,10,5,150,1494938361.15
1494938361150237963,10,3,-150,1494938361.15
1494938361199142786,10,5,150,1494938361.2
1494938361202318399,10,3,-150,1494938361.2
1494938361249355805,10,5,150,1494938361.25
1494938361249727850,10,3,-150,1494938361.25
1494938361304885003,10,5,-150,1494938361.3
1494938361306791112,10,3,150,1494938361.3
1494938361349138885,10,5,-150,1494938361.35
1494938361349714238,10,3,150,1494938361.35
1494938361398757835,10,5,150,1494938361.4
1494938361399594184,10,3,-150,1494938361.4
1494938361449159565,10,5,150,1494938361.45
1494938361450363769,10,3,-150,1494938361.45
1494938361499106839,10,5,150,1494938361.5
1494938361499681562,10,3,-150,1494938361.5
1494938361549154125,10,5,150,1494938361.55
1494938361549863642,10,3,-150,1494938361.55
1494938361599177665,10,5,150,1494938361.6
1494938361599786611,10,3,-150,1494938361.6
1494938361649176341,10,5,150,1494938361.65
1494938361649753509,10,3,-150,1494938361.65
1494938361699167684,10,5,150,1494938361.7
1494938361700125907,10,3,-150,1494938361.7
1494938361749168526,10,5,150,1494938361.75
1494938361749753866,10,3,-150,1494938361.75
1494938361799148625,10,5,150,1494938361.8
1494938361800123120,10,3,-150,1494938361.8
1494938361849156590,10,5,150,1494938361.85
1494938361849741860,10,3,-150,1494938361.85
1494938361899171260,10,5,150,1494938361.9
1494938361899806676,10,3,-150,1494938361.9
1494938361949362349,10,5,150,1494938361.95
1494938361950357867,10,3,-150,1494938361.95
1494938361999182651,10,5,150,1494938362.0
1494938361999773718,10,3,-150,1494938362.0
1494938362049322756,10,5,150,1494938362.05
1494938362049914033,10,3,-150,1494938362.05
1494938362099187198,10,5,150,1494938362.1
1494938362099760595,10,3,-150,1494938362.1
1494938362149153259,10,5,150,1494938362.15
1494938362149755849,10,3,-150,1494938362.15
1494938362199418310,10,5,150,1494938362.2
1494938362202739542,10,3,-150,1494938362.2
1494938362256693680,10,5,150,1494938362.25
1494938362259706563,10,3,-150,1494938362.25
1494938362299247136,10,5,150,1494938362.3
1494938362300208152,10,3,-150,1494938362.3
1494938362348436561,10,5,150,1494938362.35
1494938362349511069,10,3,-150,1494938362.35
1494938362399508070,10,5,150,1494938362.4
1494938362404476160,10,3,-150,1494938362.4
1494938362451280994,10,5,150,1494938362.45
1494938362452167210,10,3,-150,1494938362.45
