%time,field.xn,field.yn,field.xbd,field.ybd,field.xbdd,field.ybdd
1494938355034060131,66.7766342163,-492.346801758,24.0687980652,-5.69321537018,-0.0012520296732,0.000223913026275
1494938355078683613,66.9295043945,-492.302825928,24.0771808624,-5.68103790283,-0.00151504285168,0.000220396410441
1494938355128346981,66.8050231934,-492.349304199,24.3178863525,-5.22697877884,-0.00733837578446,0.000222867209231
1494938355178258077,66.926940918,-492.300964355,24.3226890564,-5.25423049927,-0.00785672385246,0.000206204262213
1494938355228296982,66.8403396606,-492.332641602,24.8464355469,-4.17992591858,-0.0257079582661,0.000218179528019
1494938355278169106,66.9349822998,-492.285980225,24.8613681793,-4.18242406845,-0.0263985693455,0.000179008478881
1494938355328440303,66.7988357544,-492.31463623,24.4715557098,-0.50081461668,0.00841726083308,0.000197337183636
1494938355378217653,66.8776626587,-492.244354248,24.6093273163,-0.810169517994,0.000929573085159,7.33483830118e-05
1494938355428300418,66.8223876953,-492.282958984,24.5812511444,-0.749579071999,0.000906028610189,9.92992936517e-05
1494938355478294206,66.8787307739,-492.251586914,24.6106357574,-0.595569729805,0.000452302367194,9.62923149928e-05
1494938355528363701,66.8411636353,-492.31072998,24.7473220825,-0.936391294003,-0.00810966361314,8.92668031156e-05
1494938355578664371,66.8893508911,-492.255401611,24.7556762695,-0.953659594059,-0.00860241986811,0.000101593432191
1494938355628321734,66.8192749023,-492.322509766,24.3376731873,-0.868014216423,0.0116625549272,9.58371747402e-05
1494938355678314893,66.8683700562,-492.316802979,24.3510837555,-0.878564894199,0.0111434869468,9.28007502807e-05
1494938355728388928,66.8438110352,-492.388763428,24.2257499695,-3.29692101479,0.0031790335197,8.65934925969e-05
1494938355778431814,66.88671875,-492.332580566,24.2357730865,-3.3373234272,0.00243128230795,0.000173609281774
1494938355828462478,66.8424606323,-492.389465332,23.9649925232,-4.62799787521,0.00109077745583,0.000173745356733
1494938355878308132,66.9069747925,-492.399353027,23.9946708679,-4.64885759354,-0.000143605939229,0.00022002546757
1494938355928348294,66.8552703857,-492.451843262,23.9325580597,-4.40582704544,0.00227054115385,0.000228803473874
1494938355978377910,66.9043426514,-492.389862061,23.7102279663,-5.31707048416,0.00072281435132,0.000219697423745
1494938356028262955,66.8577270508,-492.438995361,23.4306678772,-5.78421068192,0.00268366397358,0.000262156798271
1494938356078325606,66.9259185791,-492.463439941,23.479642868,-5.79588603973,0.000735176727176,0.000277686543996
1494938356129123756,66.8792800903,-492.533538818,23.2521057129,-6.26217031479,0.00369181949645,0.000278701452771
1494938356178375759,66.9271011353,-492.468322754,23.3000526428,-6.27594709396,0.00148137344513,0.000295305188047
