%time,field.timestamp,field.delx,field.dely,field.longitude,field.latitude
1493991902726977418,134500.40,-14822.2175593,1121.31683974,10.0044261667,56.8812417867
1493991902918800624,134500.60,-14822.1274176,1121.185587,10.004424,56.8812425983
1493991909933883967,134507.60,-14817.5238977,1115.89295513,10.0043366333,56.88128405
1493991910132441619,134507.80,-14817.3773018,1115.74150455,10.0043341333,56.88128537
1493991910331634756,134508.00,-14817.2260784,1115.57692923,10.0043314167,56.8812867317
1493991912127567815,134509.80,-14816.1460439,1114.01199323,10.0043055833,56.8812964567
1493991912337291412,134510.00,-14816.047758,1113.84035757,10.00430275,56.8812973417
1493991912531890948,134510.20,-14815.9407725,1113.64752028,10.0042995667,56.881298305
1493991915336256992,134513.00,-14814.484253,1110.98616644,10.0042556333,56.88131142
1493991915532543476,134513.20,-14814.3804142,1110.78828182,10.0042523667,56.881312355
1493991915731380353,134513.40,-14814.2826836,1110.59847435,10.0042492333,56.881313235
1493991915930793840,134513.60,-14814.1845827,1110.40866684,10.0042461,56.8813141183
1493991916135082737,134513.80,-14814.0807439,1110.20977267,10.0042428167,56.8813150533
1493991916342240295,134514.00,-14813.9769051,1110.01188806,10.00423955,56.8813159883
1493991916536701965,134514.20,-14813.8793596,1109.82712837,10.0042365,56.8813168667
1493991916728788752,134514.40,-14813.7747804,1109.62015772,10.0042330833,56.8813178083
1493991918741317231,134516.40,-14812.4354266,1107.97442704,10.0042059167,56.8813298683
1493991918933947663,134516.60,-14812.2966047,1107.79471014,10.00420295,56.8813311183
1493991919127990983,134516.80,46.32876102,-498.007526284,9.9776762,57.01512326
1493991919332699487,134517.00,46.3431984996,-498.028687121,9.97767585,57.01512339
1493991919528018389,134517.20,46.3554148275,-498.04581729,9.97767556667,57.0151235
1493991921130019523,134518.80,38.7233559731,-514.953489426,9.97739593333,57.0150547783
1493991921336137075,134519.00,38.6909641923,-515.027053638,9.97739471667,57.0150544867
1493991923536364632,134521.20,38.5593610147,-515.511766166,9.9773867,57.0150533017
1493991923734178614,134521.40,38.6284017815,-515.465407597,9.97738746667,57.0150539233
1493991923932460951,134521.60,38.6926300558,-515.409980019,9.97738838333,57.0150545017
1493991924133291378,134521.80,38.7553775626,-515.352537131,9.97738933333,57.0150550667
1493991925333452167,134523.00,39.0537521377,-515.198340226,9.97739188333,57.0150577533
1493991925534708137,134523.20,39.074482878,-515.234616178,9.97739128333,57.01505794
1493991925737967992,134523.40,39.1009515902,-515.27895338,9.97739055,57.0150581783
1493991925933216355,134523.60,39.1183506034,-515.310191033,9.97739003333,57.015058335
1493991926134850515,134523.80,39.132602987,-515.335382674,9.97738961667,57.0150584633
1493991926343758435,134524.00,39.148336138,-515.365612729,9.97738911667,57.015058605
1493991926535115521,134524.20,39.1672159194,-515.398865691,9.97738856667,57.015058775
1493991926734994779,134524.40,39.1873913709,-515.433126274,9.977388,57.0150589567
1493991928932672570,134526.60,39.1703625484,-515.610482751,9.97738506667,57.0150588033
1493991929129670806,134526.80,47.6209154318,-498.699738404,9.97766475,57.015134895
1493991929330670319,134527.00,47.6538625,-498.703767216,9.97766468333,57.0151351917
1493991929568939654,134527.20,47.6853288021,-498.706788416,9.97766463333,57.015135475
1493991929735048347,134527.40,47.7254946098,-498.722909194,9.97766436667,57.0151358367
1493991929933884806,134527.60,47.7676964731,-498.742052949,9.97766405,57.0151362167
1493991930144176701,134527.80,47.8152661162,-498.769257981,9.9776636,57.015136645
1493991930333977862,134528.00,47.8250761993,-498.736003283,9.97766415,57.0151367333
1493991930530748276,134528.20,47.8563574047,-498.738016795,9.97766411667,57.015137015
1493991930732531896,134528.40,47.8907852398,-498.748091717,9.97766395,57.015137325
1493991930927205465,134528.60,47.926508747,-498.755143461,9.97766383333,57.0151376467
1493991942731971839,134540.40,-45.1391497299,-899.784593229,9.97103125,57.0142996517
1493991942944863367,134540.60,-45.1722818949,-899.779558281,9.97103133333,57.0142993533
1493991943130416572,134540.80,-45.2392866075,-899.789642695,9.97103116667,57.01429875
1493991943332280999,134541.00,-45.2961110457,-899.79267202,9.97103111667,57.0142982383
1493991943529178593,134541.20,-45.3286879218,-899.799729549,9.971031,57.014297945
1493991943729251242,134541.40,-45.3175821686,-899.777558686,9.97103136667,57.014298045
1493991943931717631,134541.60,-45.3198033196,-899.765466389,9.97103156667,57.014298025
1493991944136819760,134541.80,-45.3027744977,-899.740271747,9.97103198333,57.0142981783
1493991944326565887,134542.00,-45.2868562513,-899.721123494,9.9710323,57.0142983217
1493991944532204257,134542.20,-45.2700125248,-899.716083102,9.97103238333,57.0142984733
1493991944735176157,134542.40,-45.2605726359,-899.689881574,9.97103281667,57.0142985583
1493991944933669765,134542.60,-45.2751952093,-899.681821475,9.97103295,57.0142984267
1493991945132333924,134542.80,-45.3083273743,-899.674771103,9.97103306667,57.0142981283
1493991945324486153,134543.00,44.0831776758,-504.228197593,9.97757331667,57.01510304
1493991945531168162,134543.20,44.0398652378,-504.243315746,9.97757306667,57.01510265
