%time,field.timestamp,field.delx,field.dely,field.longitude,field.latitude
1494579064234074251,085104.20,61.1827062362,-494.857572778,9.97772828333,57.01525701
1494579064431344868,085104.40,61.1656774136,-494.852535305,9.97772836667,57.0152568567
1494579064635223378,085104.60,61.1584586742,-494.846489547,9.97772846667,57.0152567917
1494579064853792722,085104.80,61.141059661,-494.838429001,9.9777286,57.015256635
1494579065033937697,085105.00,61.1349514963,-494.831375477,9.97772871667,57.01525658
1494579065235730048,085105.20,61.1319899613,-494.826337161,9.9777288,57.0152565533
1494579065431390055,085105.40,61.1238457424,-494.816260664,9.97772896667,57.01525648
1494579065638373848,085105.60,61.113850564,-494.815253564,9.97772898333,57.01525639
1494579065849456836,085105.80,61.1070020173,-494.797115401,9.97772928333,57.0152563283
1494579066041640842,085106.00,61.0997832771,-494.793085039,9.97772935,57.0152562633
1494579066234603578,085106.20,61.1214394961,-494.774945168,9.97772965,57.0152564583
1494579066433287782,085106.40,61.1356918804,-494.757813439,9.97772993333,57.0152565867
1494579066632513745,085106.60,61.1266221814,-494.744713902,9.97773015,57.015256505
1494579066835898338,085106.80,61.0766462906,-494.750763086,9.97773005,57.015256055
1494579067033139342,085107.00,61.0797929203,-494.737662817,9.97773026667,57.0152560833
1494579067231190714,085107.20,61.0649852493,-494.730609814,9.97773038333,57.01525595
1494579067436038551,085107.40,61.0759059072,-494.719524476,9.97773056667,57.0152560483
1494579067635585505,085107.60,61.0673914956,-494.709448,9.97773073333,57.0152559717
1494579067833878458,085107.80,61.0546198803,-494.701387177,9.97773086667,57.0152558567
1494579068033562021,085108.00,61.0422184549,-494.695341728,9.97773096667,57.015255745
1494579068236558226,085108.20,61.0610982356,-494.674178928,9.97773131667,57.015255915
1494579068440449727,085108.40,61.0374059624,-494.673172648,9.97773133333,57.0152557017
1494579068630894196,085108.60,61.0362953862,-494.663095729,9.9777315,57.0152556917
1494579068834176611,085108.80,60.9798411401,-494.668137603,9.97773141667,57.0152551833
1494579069039600708,085109.00,60.966514236,-494.658061416,9.97773158333,57.0152550633
1494579069233234759,085109.20,60.9655887558,-494.643953691,9.97773181667,57.015255055
1494579069439460285,085109.40,60.9591104005,-494.635892491,9.97773195,57.0152549967
1494579069633409739,085109.60,60.924312372,-494.64597156,9.97773178333,57.0152546833
1494579069838203170,085109.80,60.9108003733,-494.63891848,9.9777319,57.0152545617
1494579070040095324,085110.00,60.9076537429,-494.630857079,9.97773203333,57.0152545333
1494579070240722164,085110.20,60.8995095234,-494.623803677,9.97773215,57.01525446
1494579070432363712,085110.40,60.8926609753,-494.6147348,9.9777323,57.0152543983
1494579070625081306,085110.60,60.886367716,-494.610704383,9.97773236667,57.0152543417
1494579070866596027,085110.80,60.8789638784,-494.603650936,9.97773248333,57.015254275
1494579071034111952,085111.00,60.8724855238,-494.59962053,9.97773255,57.0152542167
1494579071229922536,085111.20,60.8582331402,-494.597605986,9.97773258333,57.0152540883
1494579071431224042,085111.40,60.8604542897,-494.587528867,9.97773275,57.0152541083
1494579071633511568,085111.60,60.8554567012,-494.580475277,9.97773286667,57.0152540633
1494579071826142000,085111.80,60.8382427841,-494.574430116,9.97773296667,57.0152539083
1494579072033219450,085112.00,60.8328750021,-494.569391945,9.97773305,57.01525386
1494579072236989846,085112.20,60.8269519341,-494.565361505,9.97773311667,57.0152538067
1494579072438991022,085112.40,60.8108485924,-494.561331675,9.97773318333,57.0152536617
1494579072633902540,085112.60,60.8038149476,-494.553270507,9.97773331667,57.0152535983
1494579072849334334,085112.80,60.7975216869,-494.551255487,9.97773335,57.0152535417
1494579073033920237,085113.00,60.7943750579,-494.539163292,9.97773355,57.0152535133
1494579073230457730,085113.20,60.7819736333,-494.533117843,9.97773365,57.0152534017
1494579073459957445,085113.40,60.7725337422,-494.533118409,9.97773365,57.0152533167
1494579073637442375,085113.60,60.7688318252,-494.528080137,9.97773373333,57.0152532833
1494579073826406698,085113.80,60.761057797,-494.525057507,9.97773378333,57.0152532133
1494579074023599791,085114.00,60.7514328106,-494.526065782,9.97773376667,57.0152531267
1494579074239026906,085114.20,60.7473607022,-494.52304293,9.97773381667,57.01525309
1494579074428290429,085114.40,60.7394015779,-494.516997215,9.97773391667,57.0152530183
1494579074634304546,085114.60,60.7323679338,-494.516997636,9.97773391667,57.015252955
1494579074833478896,085114.80,60.7221876601,-494.508936657,9.97773405,57.0152528633
1494579075038860251,085115.00,60.7090458513,-494.501883554,9.97773416667,57.015252745
1494579075223501538,085115.20,60.7092309487,-494.500875844,9.97773418333,57.0152527467
