%time,field.DevID,field.MsgID,field.Data,field.Time
1494579069110426265,10,5,0,0.0
1494579069110620773,10,3,0,0.0
1494579078832282795,10,5,-100,0.0
1494579078834915322,10,3,150,0.0
1494579079328496943,10,5,-100,0.0
1494579079339052196,10,3,150,0.0
1494579079416637062,10,5,-100,0.0
1494579079418846351,10,3,150,0.0
1494579079506380108,10,5,-100,0.0
1494579079513968922,10,3,150,0.0
1494579079596758291,10,5,-100,0.0
1494579079603199823,10,3,150,0.0
1494579079679236028,10,5,-100,0.0
1494579079686689141,10,3,150,0.0
1494579079756110119,10,5,-100,0.0
1494579079759130056,10,3,150,0.0
1494579079843157711,10,5,-100,0.0
1494579079850415897,10,3,150,0.0
1494579079928239271,10,5,-100,0.0
1494579079934176967,10,3,150,0.0
1494579080005986518,10,5,-100,0.0
1494579080012939916,10,3,150,0.0
1494579080097750980,10,5,-100,0.0
1494579080099261438,10,3,150,0.0
1494579080178182717,10,5,-100,0.0
1494579080183543943,10,3,150,0.0
1494579080279197238,10,5,-100,0.0
1494579080286002014,10,3,150,0.0
1494579080355907971,10,5,-100,0.0
1494579080364515071,10,3,150,0.0
1494579080447378262,10,5,-100,0.0
1494579080448755741,10,3,150,0.0
1494579080529348392,10,5,-100,0.0
1494579080534339669,10,3,150,0.0
1494579080604545664,10,5,-100,0.0
1494579080611800218,10,3,150,0.0
1494579080711576244,10,5,-100,0.0
1494579080716801839,10,3,150,0.0
1494579080782922258,10,5,-100,0.0
1494579080790155790,10,3,150,0.0
1494579080859940502,10,5,-100,0.0
1494579080865947411,10,3,150,0.0
1494579080945266785,10,5,-100,0.0
1494579080953900285,10,3,150,0.0
1494579081037131191,10,5,-100,0.0
1494579081044785865,10,3,150,0.0
1494579081119373632,10,5,-100,0.0
1494579081122122166,10,3,150,0.0
1494579081211595765,10,5,-100,0.0
1494579081214714038,10,3,150,0.0
1494579081286203855,10,5,-100,0.0
1494579081290630885,10,3,150,0.0
1494579081379587448,10,5,-100,0.0
1494579081379695214,10,3,150,0.0
1494579081468443999,10,5,-100,0.0
1494579081471457371,10,3,150,0.0
1494579081538699442,10,5,-100,0.0
1494579081542531842,10,3,150,0.0
1494579081636273162,10,5,-100,0.0
1494579081641056103,10,3,150,0.0
1494579081720246620,10,5,-100,0.0
1494579081723852386,10,3,150,0.0
1494579081791081047,10,5,-100,0.0
1494579081791990101,10,3,150,0.0
1494579081887066228,10,5,-100,0.0
1494579081891563029,10,3,150,0.0
1494579081990311759,10,5,-100,0.0
1494579081994340204,10,3,150,0.0
1494579082056584921,10,5,-100,0.0
1494579082062715869,10,3,150,0.0
1494579082152295766,10,5,-100,0.0
1494579082155992674,10,3,150,0.0
1494579082236243592,10,5,-100,0.0
1494579082238640614,10,3,150,0.0
1494579082317068185,10,5,-100,0.0
1494579082317377443,10,3,150,0.0
1494579082400271992,10,5,-100,0.0
1494579082402120621,10,3,150,0.0
1494579082486695482,10,5,-100,0.0
1494579082488609832,10,3,150,0.0
1494579082569101073,10,5,-100,0.0
1494579082576462275,10,3,150,0.0
1494579082655325795,10,5,-100,0.0
1494579082657741186,10,3,150,0.0
1494579082735284217,10,5,-100,0.0
1494579082739810072,10,3,150,0.0
1494579082818074074,10,5,-100,0.0
1494579082822216710,10,3,150,0.0
1494579082918229967,10,5,-100,0.0
1494579082919955955,10,3,150,0.0
1494579082991087416,10,5,-100,0.0
1494579082991413366,10,3,150,0.0
1494579083076968938,10,5,-100,0.0
1494579083079691631,10,3,150,0.0
1494579083159940593,10,5,-100,0.0
1494579083164317965,10,3,150,0.0
1494579083255834421,10,5,-100,0.0
1494579083258978676,10,3,150,0.0
1494579083332985223,10,5,-100,0.0
1494579083334628519,10,3,150,0.0
1494579083419009850,10,5,-100,0.0
1494579083422878568,10,3,150,0.0
1494579083497063002,10,5,-100,0.0
1494579083498906462,10,3,150,0.0
1494579083578137837,10,5,-100,0.0
1494579083578192802,10,3,150,0.0
1494579083686098004,10,5,-100,0.0
1494579083688110550,10,3,150,0.0
1494579083746361952,10,5,-100,0.0
1494579083746455330,10,3,150,0.0
1494579083826581441,10,5,-100,0.0
1494579083832916954,10,3,150,0.0
1494579083904901107,10,5,-100,0.0
1494579083908115622,10,3,150,0.0
1494579083996729405,10,5,-100,0.0
1494579083998519297,10,3,150,0.0
1494579084102811540,10,5,-100,0.0
1494579084108140779,10,3,150,0.0
1494579084176263269,10,5,-100,0.0
1494579084181029797,10,3,150,0.0
1494579084273036329,10,5,-100,0.0
1494579084275902406,10,3,150,0.0
1494579084337129605,10,5,-100,0.0
1494579084337980063,10,3,150,0.0
1494579084432834792,10,5,-100,0.0
1494579084443135893,10,3,150,0.0
1494579084516688333,10,5,-100,0.0
1494579084520446771,10,3,150,0.0
1494579084590472227,10,5,-100,0.0
1494579084591409916,10,3,150,0.0
1494579084689781084,10,5,-100,0.0
1494579084690092576,10,3,150,0.0
1494579084782103439,10,5,-100,0.0
1494579084782701629,10,3,150,0.0
1494579084847484518,10,5,-100,0.0
1494579084847545979,10,3,150,0.0
1494579084939849057,10,5,-100,0.0
1494579084941230238,10,3,150,0.0
1494579085019812368,10,5,-100,0.0
1494579085023216153,10,3,150,0.0
1494579085113432793,10,5,-100,0.0
1494579085117866667,10,3,150,0.0
1494579085199977807,10,5,-100,0.0
1494579085200322124,10,3,150,0.0
1494579085286579951,10,5,-100,0.0
1494579085293859927,10,3,150,0.0
1494579085361773731,10,5,-100,0.0
1494579085362873940,10,3,150,0.0
1494579085444123588,10,5,-100,0.0
1494579085446907322,10,3,150,0.0
1494579085515172637,10,5,-100,0.0
1494579085517376409,10,3,150,0.0
1494579085606349455,10,5,-100,0.0
1494579085617770251,10,3,150,0.0
1494579085686013007,10,5,-100,0.0
1494579085694686666,10,3,150,0.0
1494579085781058962,10,5,-100,0.0
1494579085785885903,10,3,150,0.0
1494579085871401806,10,5,-100,0.0
1494579085883755122,10,3,150,0.0
1494579085952936336,10,5,-100,0.0
1494579085955754781,10,3,150,0.0
1494579086030098523,10,5,-100,0.0
1494579086033832657,10,3,150,0.0
1494579086117393981,10,5,-100,0.0
1494579086119310635,10,3,150,0.0
1494579086194909006,10,5,-100,0.0
1494579086200553089,10,3,150,0.0
1494579086301338252,10,5,-100,0.0
1494579086306291815,10,3,150,0.0
1494579086376685054,10,5,-100,0.0
1494579086379986312,10,3,150,0.0
1494579086472179949,10,5,-100,0.0
1494579086478426903,10,3,150,0.0
