%time,field.DevID,field.MsgID,field.Data,field.Time
1495532169296804733,10,5,-177,1495532169.29
1495532169296873876,10,3,136,1495532169.29
1495532169342649459,10,5,-177,1495532169.34
1495532169342835726,10,3,136,1495532169.34
1495532169392581648,10,5,-177,1495532169.39
1495532169392624041,10,3,136,1495532169.39
1495532169445590483,10,5,-177,1495532169.44
1495532169445955265,10,3,136,1495532169.44
1495532169497647242,10,5,-177,1495532169.49
1495532169497909775,10,3,136,1495532169.49
1495532169543648691,10,5,-177,1495532169.54
1495532169543914786,10,3,136,1495532169.54
1495532169592906002,10,5,-177,1495532169.59
1495532169593580739,10,3,136,1495532169.59
1495532169643646817,10,5,-177,1495532169.64
1495532169643977096,10,3,136,1495532169.64
1495532169693717980,10,5,-177,1495532169.69
1495532169693813662,10,3,136,1495532169.69
1495532169743756472,10,5,-177,1495532169.74
1495532169744147444,10,3,136,1495532169.74
1495532169793427177,10,5,-177,1495532169.79
1495532169793833722,10,3,136,1495532169.79
1495532169844652753,10,5,-177,1495532169.84
1495532169845326232,10,3,136,1495532169.84
1495532169892857906,10,5,-177,1495532169.89
1495532169892914268,10,3,136,1495532169.89
1495532169943976416,10,5,-177,1495532169.94
1495532169944359426,10,3,136,1495532169.94
1495532169993571691,10,5,-177,1495532169.99
1495532169994686359,10,3,136,1495532169.99
1495532170045548272,10,5,-177,1495532170.04
1495532170047557185,10,3,136,1495532170.04
1495532170093418324,10,5,-177,1495532170.09
1495532170093941226,10,3,136,1495532170.09
1495532170143750213,10,5,-177,1495532170.14
1495532170144078467,10,3,136,1495532170.14
1495532170193400733,10,5,-177,1495532170.19
1495532170193489082,10,3,136,1495532170.19
1495532170251716599,10,5,-177,1495532170.24
1495532170252386587,10,3,136,1495532170.24
1495532170293481543,10,5,-177,1495532170.29
1495532170293570940,10,3,136,1495532170.29
1495532170345348058,10,5,-150,1495532170.34
1495532170345456312,10,3,115,1495532170.34
1495532170396349373,10,5,-120,1495532170.39
1495532170396397564,10,3,91,1495532170.39
1495532170449332579,10,5,-124,1495532170.44
1495532170449407938,10,3,95,1495532170.44
1495532170493358918,10,5,-116,1495532170.49
1495532170494044900,10,3,88,1495532170.49
1495532170543164347,10,5,81,1495532170.54
1495532170543234678,10,3,-106,1495532170.54
1495532170594612789,10,5,89,1495532170.59
1495532170598582007,10,3,-117,1495532170.59
1495532170646231851,10,5,96,1495532170.64
1495532170646321108,10,3,-126,1495532170.64
1495532170693993092,10,5,88,1495532170.69
1495532170694853747,10,3,-115,1495532170.69
1495532170745918968,10,5,90,1495532170.74
1495532170746507311,10,3,-118,1495532170.74
1495532170793054362,10,5,83,1495532170.79
1495532170793126858,10,3,-109,1495532170.79
1495532170850305008,10,5,81,1495532170.84
1495532170852929922,10,3,-107,1495532170.84
1495532170893907128,10,5,75,1495532170.89
1495532170894327293,10,3,-98,1495532170.89
1495532170943225903,10,5,77,1495532170.94
1495532170943634684,10,3,-101,1495532170.94
1495532170993726669,10,5,70,1495532170.99
1495532170994473134,10,3,-93,1495532170.99
1495532171046940345,10,5,78,1495532171.04
1495532171047605584,10,3,-102,1495532171.04
1495532171093280389,10,5,71,1495532171.09
1495532171093625544,10,3,-93,1495532171.09
1495532171143835141,10,5,91,1495532171.14
1495532171144824094,10,3,-120,1495532171.14
1495532171193714460,10,5,85,1495532171.19
1495532171194129107,10,3,-112,1495532171.19
1495532171244450522,10,5,105,1495532171.24
1495532171248103918,10,3,-137,1495532171.24
1495532171293577787,10,5,99,1495532171.29
1495532171294523159,10,3,-130,1495532171.29
1495532171343131716,10,5,94,1495532171.34
1495532171343898783,10,3,-123,1495532171.34
1495532171393519406,10,5,98,1495532171.39
1495532171393770974,10,3,-129,1495532171.39
1495532171445486630,10,5,77,1495532171.44
1495532171445562687,10,3,-101,1495532171.44
1495532171493596380,10,5,71,1495532171.49
1495532171493969961,10,3,-94,1495532171.49
1495532171542699339,10,5,-104,1495532171.54
1495532171543276786,10,3,79,1495532171.54
1495532171593657078,10,5,-111,1495532171.59
1495532171594645752,10,3,84,1495532171.59
1495532171644942368,10,5,-103,1495532171.64
1495532171645011022,10,3,78,1495532171.64
1495532171693165753,10,5,-109,1495532171.69
1495532171693383658,10,3,83,1495532171.69
1495532171745956963,10,5,70,1495532171.74
1495532171746067242,10,3,-92,1495532171.74
1495532171793948680,10,5,-98,1495532171.79
1495532171794642412,10,3,74,1495532171.79
1495532171848576437,10,5,74,1495532171.84
1495532171849191878,10,3,-98,1495532171.84
1495532171893477187,10,5,70,1495532171.89
1495532171894268417,10,3,-92,1495532171.89
1495532171944088443,10,5,-97,1495532171.94
1495532171944316684,10,3,74,1495532171.94
1495532171993416222,10,5,-92,1495532171.99
1495532171994266679,10,3,70,1495532171.99
1495532172043714381,10,5,-98,1495532172.04
1495532172044004362,10,3,74,1495532172.04
1495532172093415949,10,5,-106,1495532172.09
1495532172094091943,10,3,81,1495532172.09
