%time,field.DevID,field.MsgID,field.Data,field.Time
1495534304472875076,10,5,202,1495534304.47
1495534304473105622,10,3,-263,1495534304.47
1495534304523214933,10,5,202,1495534304.52
1495534304523314736,10,3,-263,1495534304.52
1495534304573878839,10,5,202,1495534304.57
1495534304574218896,10,3,-263,1495534304.57
1495534304622589649,10,5,202,1495534304.62
1495534304623098094,10,3,-263,1495534304.62
1495534304673649146,10,5,202,1495534304.67
1495534304673758588,10,3,-263,1495534304.67
1495534304723627421,10,5,202,1495534304.72
1495534304724058133,10,3,-263,1495534304.72
1495534304773627439,10,5,202,1495534304.77
1495534304773702589,10,3,-263,1495534304.77
1495534304824212427,10,5,202,1495534304.82
1495534304824990739,10,3,-263,1495534304.82
1495534304873956257,10,5,202,1495534304.87
1495534304874058295,10,3,-263,1495534304.87
1495534304924744348,10,5,202,1495534304.92
1495534304924847154,10,3,-263,1495534304.92
1495534304973831453,10,5,202,1495534304.97
1495534304973971485,10,3,-263,1495534304.97
1495534305023941459,10,5,202,1495534305.02
1495534305024187091,10,3,-263,1495534305.02
1495534305073084375,10,5,202,1495534305.07
1495534305073162108,10,3,-263,1495534305.07
1495534305123914011,10,5,202,1495534305.12
1495534305124027363,10,3,-263,1495534305.12
1495534305173932595,10,5,202,1495534305.17
1495534305174016963,10,3,-263,1495534305.17
1495534305222644517,10,5,202,1495534305.22
1495534305223267919,10,3,-263,1495534305.22
1495534305273805907,10,5,202,1495534305.27
1495534305273897259,10,3,-263,1495534305.27
1495534305322398408,10,5,202,1495534305.32
1495534305322456516,10,3,-263,1495534305.32
1495534305374428410,10,5,202,1495534305.37
1495534305374473597,10,3,-263,1495534305.37
1495534305424198853,10,5,202,1495534305.42
1495534305424256821,10,3,-263,1495534305.42
1495534305473602963,10,5,202,1495534305.47
1495534305473705839,10,3,-263,1495534305.47
1495534305523584257,10,5,202,1495534305.52
1495534305523872981,10,3,-263,1495534305.52
1495534305573544655,10,5,202,1495534305.57
1495534305573949734,10,3,-263,1495534305.57
1495534305626791511,10,5,202,1495534305.62
1495534305626906400,10,3,-263,1495534305.62
1495534305673307131,10,5,202,1495534305.67
1495534305673675194,10,3,-263,1495534305.67
1495534305723311882,10,5,202,1495534305.72
1495534305723806080,10,3,-263,1495534305.72
1495534305773580360,10,5,202,1495534305.77
1495534305773988163,10,3,-263,1495534305.77
1495534305823204826,10,5,202,1495534305.82
1495534305824673520,10,3,-263,1495534305.82
1495534305873951854,10,5,202,1495534305.87
1495534305874342267,10,3,-263,1495534305.87
1495534305922944819,10,5,202,1495534305.92
1495534305923020178,10,3,-263,1495534305.92
1495534305972959138,10,5,202,1495534305.97
1495534305973200510,10,3,-263,1495534305.97
1495534306023768664,10,5,202,1495534306.02
1495534306024146016,10,3,-263,1495534306.02
1495534306073157208,10,5,202,1495534306.07
1495534306073542802,10,3,-263,1495534306.07
1495534306123877350,10,5,202,1495534306.12
1495534306124253795,10,3,-263,1495534306.12
1495534306173367163,10,5,202,1495534306.17
1495534306173712179,10,3,-263,1495534306.17
1495534306223975908,10,5,202,1495534306.22
1495534306224699323,10,3,-263,1495534306.22
1495534306273450354,10,5,202,1495534306.27
1495534306273749064,10,3,-263,1495534306.27
1495534306323279877,10,5,202,1495534306.32
1495534306323694176,10,3,-263,1495534306.32
1495534306373413761,10,5,202,1495534306.37
1495534306373682580,10,3,-263,1495534306.37
1495534306423812768,10,5,202,1495534306.42
1495534306424971784,10,3,-263,1495534306.42
1495534306473162129,10,5,202,1495534306.47
1495534306473447710,10,3,-263,1495534306.47
1495534306522903160,10,5,202,1495534306.52
1495534306523200963,10,3,-263,1495534306.52
1495534306572649849,10,5,202,1495534306.57
1495534306572914409,10,3,-263,1495534306.57
1495534306623856646,10,5,202,1495534306.62
1495534306624635934,10,3,-263,1495534306.62
1495534306673413228,10,5,202,1495534306.67
1495534306673492707,10,3,-263,1495534306.67
1495534306723277947,10,5,202,1495534306.72
1495534306723726887,10,3,-263,1495534306.72
1495534306773519941,10,5,202,1495534306.77
1495534306773811388,10,3,-263,1495534306.77
1495534306823546214,10,5,202,1495534306.82
1495534306824535168,10,3,-263,1495534306.82
1495534306873027018,10,5,202,1495534306.87
1495534306873316230,10,3,-263,1495534306.87
1495534306923520168,10,5,202,1495534306.92
1495534306923656569,10,3,-263,1495534306.92
1495534306973484486,10,5,202,1495534306.97
1495534306973889775,10,3,-263,1495534306.97
1495534307022331686,10,5,202,1495534307.02
1495534307022715115,10,3,-263,1495534307.02
1495534307073633462,10,5,202,1495534307.07
1495534307074036167,10,3,-263,1495534307.07
1495534307123559502,10,5,202,1495534307.12
1495534307124145262,10,3,-263,1495534307.12
1495534307172520125,10,5,202,1495534307.17
1495534307172762265,10,3,-263,1495534307.17
1495534307223152051,10,5,202,1495534307.22
1495534307224243112,10,3,-263,1495534307.22
1495534307273610355,10,5,202,1495534307.27
1495534307273718889,10,3,-263,1495534307.27
1495534307322686010,10,5,202,1495534307.32
1495534307322906638,10,3,-263,1495534307.32
1495534307372929760,10,5,202,1495534307.37
1495534307373162611,10,3,-263,1495534307.37
1495534307423955593,10,5,202,1495534307.42
1495534307424620901,10,3,-263,1495534307.42
1495534307473616310,10,5,202,1495534307.47
1495534307473998202,10,3,-263,1495534307.47
1495534307523620993,10,5,202,1495534307.52
1495534307524002467,10,3,-263,1495534307.52
1495534307573811035,10,5,202,1495534307.57
1495534307574218839,10,3,-263,1495534307.57
1495534307622419030,10,5,202,1495534307.62
1495534307622762580,10,3,-263,1495534307.62
1495534307673779610,10,5,202,1495534307.67
1495534307673872499,10,3,-263,1495534307.67
1495534307723749024,10,5,202,1495534307.72
1495534307723837024,10,3,-263,1495534307.72
1495534307773200148,10,5,202,1495534307.77
1495534307773503679,10,3,-263,1495534307.77
1495534307823654744,10,5,202,1495534307.82
1495534307824211728,10,3,-263,1495534307.82
1495534307873302263,10,5,202,1495534307.87
1495534307873685202,10,3,-263,1495534307.87
1495534307924042581,10,5,202,1495534307.92
1495534307924142943,10,3,-263,1495534307.92
1495534307973108946,10,5,202,1495534307.97
1495534307973171244,10,3,-263,1495534307.97
1495534308025567922,10,5,202,1495534308.02
1495534308025666678,10,3,-263,1495534308.02
1495534308073023053,10,5,202,1495534308.07
1495534308073756176,10,3,-263,1495534308.07
1495534308123845220,10,5,202,1495534308.12
1495534308124210909,10,3,-263,1495534308.12
1495534308173200737,10,5,202,1495534308.17
1495534308173761843,10,3,-263,1495534308.17
1495534308224640790,10,5,202,1495534308.22
1495534308225478117,10,3,-263,1495534308.22
1495534308274169225,10,5,202,1495534308.27
1495534308274384685,10,3,-263,1495534308.27
1495534308323056096,10,5,202,1495534308.32
1495534308323331550,10,3,-263,1495534308.32
1495534308373228615,10,5,202,1495534308.37
1495534308373483745,10,3,-263,1495534308.37
1495534308422950508,10,5,202,1495534308.42
