%time,field.DevID,field.MsgID,field.Data,field.Time
1495533197575615565,10,5,202,1495533197.57
1495533197577850972,10,3,-263,1495533197.57
1495533197626533002,10,5,202,1495533197.62
1495533197627286451,10,3,-263,1495533197.62
1495533197679627043,10,5,202,1495533197.67
1495533197679706453,10,3,-263,1495533197.67
1495533197725464579,10,5,202,1495533197.72
1495533197725559214,10,3,-263,1495533197.72
1495533197775772999,10,5,202,1495533197.77
1495533197775859603,10,3,-263,1495533197.77
1495533197825644703,10,5,202,1495533197.82
1495533197825736056,10,3,-263,1495533197.82
1495533197878789242,10,5,202,1495533197.87
1495533197878909159,10,3,-263,1495533197.87
1495533197925479187,10,5,202,1495533197.92
1495533197926489651,10,3,-263,1495533197.92
1495533197975747873,10,5,202,1495533197.97
1495533197975841809,10,3,-263,1495533197.97
1495533198025655054,10,5,202,1495533198.02
1495533198030516078,10,3,-263,1495533198.02
1495533198075666094,10,5,202,1495533198.07
1495533198076285656,10,3,-263,1495533198.07
1495533198126315481,10,5,202,1495533198.12
1495533198126728592,10,3,-263,1495533198.12
1495533198175803691,10,5,202,1495533198.17
1495533198175898465,10,3,-263,1495533198.17
1495533198226729995,10,5,202,1495533198.22
1495533198227736687,10,3,-263,1495533198.22
1495533198279918955,10,5,202,1495533198.27
1495533198280197202,10,3,-259,1495533198.27
1495533198325162346,10,5,202,1495533198.32
1495533198325412028,10,3,-251,1495533198.32
1495533198375346103,10,5,202,1495533198.37
1495533198375659062,10,3,-217,1495533198.37
1495533198427791391,10,5,202,1495533198.42
1495533198427909702,10,3,-185,1495533198.42
1495533198477939736,10,5,202,1495533198.47
1495533198478044987,10,3,-167,1495533198.47
1495533198526141115,10,5,202,1495533198.52
1495533198526245877,10,3,-182,1495533198.52
1495533198578442878,10,5,202,1495533198.57
1495533198578533462,10,3,-159,1495533198.57
1495533198625537204,10,5,202,1495533198.62
1495533198626298264,10,3,-157,1495533198.62
1495533198677495770,10,5,202,1495533198.67
1495533198678114634,10,3,-153,1495533198.67
1495533198725591409,10,5,202,1495533198.72
1495533198727898754,10,3,-162,1495533198.72
1495533198775986576,10,5,202,1495533198.77
1495533198776801065,10,3,-176,1495533198.77
1495533198826781864,10,5,202,1495533198.82
1495533198828100327,10,3,-176,1495533198.82
1495533198875160288,10,5,202,1495533198.87
1495533198878315790,10,3,-185,1495533198.87
1495533198925814842,10,5,202,1495533198.92
1495533198925914645,10,3,-191,1495533198.92
1495533198980048206,10,5,202,1495533198.97
1495533198980306129,10,3,-195,1495533198.97
1495533199028542362,10,5,202,1495533199.02
1495533199029368725,10,3,-194,1495533199.02
1495533199079604935,10,5,202,1495533199.07
1495533199080580197,10,3,-189,1495533199.07
1495533199125514260,10,5,202,1495533199.12
1495533199125608685,10,3,-192,1495533199.12
1495533199177513963,10,5,202,1495533199.17
1495533199177621448,10,3,-182,1495533199.17
1495533199226159324,10,5,202,1495533199.22
1495533199226260035,10,3,-183,1495533199.22
1495533199275586001,10,5,202,1495533199.27
1495533199276321918,10,3,-178,1495533199.27
1495533199325561908,10,5,202,1495533199.32
1495533199328064180,10,3,-181,1495533199.32
1495533199376102972,10,5,202,1495533199.37
1495533199380397650,10,3,-180,1495533199.37
1495533199428893761,10,5,202,1495533199.42
1495533199432139147,10,3,-179,1495533199.42
1495533199474698959,10,5,202,1495533199.47
1495533199474920146,10,3,-176,1495533199.47
1495533199526176734,10,5,202,1495533199.52
1495533199526619248,10,3,-176,1495533199.52
1495533199575774172,10,5,202,1495533199.57
1495533199575865175,10,3,-173,1495533199.57
1495533199625729891,10,5,202,1495533199.62
1495533199626011980,10,3,-171,1495533199.62
1495533199675787800,10,5,202,1495533199.67
1495533199678708629,10,3,-159,1495533199.67
