%time,field.roll,field.pitch,field.yaw,field.rolld,field.pitchd,field.yawd,field.rolldd,field.pitchdd,field.yawdd
1495619588502809620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619588553922405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619588603010141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619588652547027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619588705423584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619588754513555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619588803258721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619588852675899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619588902946816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619588953820255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619589002312385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619589052202528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619589103902189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619589153325164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619589204089860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619589254062974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619589303438108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619589352314505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619589404761468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619589453869947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619589502676084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619589554506487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619589604042885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619589653350831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619589703931704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619589754185651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619589802877038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619589853379340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619589903266480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619589952227944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619590003633573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619590052769290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619590104092996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619590152771672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619590203650279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619590253315882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619590303860438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619590353985318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619590403383639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619590453139966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619590503830420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619590552348252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619590604182567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619590652552615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619590702961609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619590752735955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619590803062955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619590852335562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619590903310620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619590955016916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619591004485636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619591054103748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619591102977281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619591152444396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619591202679485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619591253247298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619591303335581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619591353482950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619591403930217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619591452249490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619591503795151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619591553450068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619591602928078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619591652916348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619591703487514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619591752245739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619591803534943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619591853283378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619591905201084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619591954745862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619592003602843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619592052253513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619592103773751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619592152705602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619592203103142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619592252790606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619592305477334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619592353492937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619592403207848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619592453330982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619592502677900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619592553188932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619592603069227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619592652472647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619592703151158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619592752972019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619592802387171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619592853956089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619592904222607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619592952604877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619593002744842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619593052511297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619593102763637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619593153802460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619593204477689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619593254150905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619593303288997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619593352617895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619593402735582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619593453708404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619593502453360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619593552769605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619593602868643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619593652618335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619593704680892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619593755223772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619593803488638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619593852599003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619593903056328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619593953491512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619594002233954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619594054533202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619594103579173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619594152805126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619594204047187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619594252818612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619594304388019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619594354532175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619594403166851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619594453520880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619594504907303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619594553026132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619594602940370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619594655348850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619594705416390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619594752242527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619594804050930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619594854033055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619594903686017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619594955202693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619595003614576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619595054077418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619595103847015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619595152728859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619595203770755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619595253215660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619595303655524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619595352069153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619595403415836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619595453008525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619595502811227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619595553243129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619595605216777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619595653117421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619595703248447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619595753902654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619595805830067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619595853844832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619595904072099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619595952165366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619596003072538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619596053370903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619596104407491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619596154213406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619596203502355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619596255156200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619596303761962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
