%time,field.DevID,field.MsgID,field.Data,field.Time
1495619586938440785,10,5,202,1495619586.94
1495619586938567896,10,3,202,1495619586.94
1495619586987940516,10,5,202,1495619586.99
1495619586987993455,10,3,202,1495619586.99
1495619587038070075,10,5,202,1495619587.04
1495619587038128043,10,3,202,1495619587.04
1495619587087818440,10,5,202,1495619587.09
1495619587087868516,10,3,202,1495619587.09
1495619587137947650,10,5,202,1495619587.14
1495619587138006386,10,3,202,1495619587.14
1495619587187987533,10,5,202,1495619587.19
1495619587188048365,10,3,202,1495619587.19
1495619587238127149,10,5,202,1495619587.24
1495619587238181346,10,3,202,1495619587.24
1495619587287779902,10,5,202,1495619587.29
1495619587288702714,10,3,202,1495619587.29
1495619587337868604,10,5,202,1495619587.34
1495619587339007156,10,3,202,1495619587.34
1495619587387557534,10,5,202,1495619587.39
1495619587388533426,10,3,202,1495619587.39
1495619587437945226,10,5,202,1495619587.44
1495619587438793030,10,3,202,1495619587.44
1495619587488340043,10,5,202,1495619587.49
1495619587489593973,10,3,202,1495619587.49
1495619587537498878,10,5,202,1495619587.54
1495619587538274814,10,3,202,1495619587.54
1495619587588193802,10,5,202,1495619587.59
1495619587589170463,10,3,202,1495619587.59
1495619587638599723,10,5,202,1495619587.64
1495619587639520999,10,3,202,1495619587.64
1495619587687945034,10,5,202,1495619587.69
1495619587689065009,10,3,202,1495619587.69
1495619587738021025,10,5,202,1495619587.74
1495619587739055584,10,3,202,1495619587.74
1495619587788303327,10,5,202,1495619587.79
1495619587789671867,10,3,202,1495619587.79
1495619587837981223,10,5,202,1495619587.84
1495619587839265953,10,3,202,1495619587.84
1495619587887951264,10,5,202,1495619587.89
1495619587889209664,10,3,202,1495619587.89
1495619587938155274,10,5,202,1495619587.94
1495619587939111401,10,3,202,1495619587.94
1495619587988551347,10,5,202,1495619587.99
1495619587989565792,10,3,202,1495619587.99
1495619588038431433,10,5,202,1495619588.04
1495619588038493453,10,3,202,1495619588.04
1495619588087740008,10,5,202,1495619588.09
1495619588087793507,10,3,202,1495619588.09
1495619588138061072,10,5,202,1495619588.14
1495619588138118202,10,3,202,1495619588.14
1495619588187674504,10,5,202,1495619588.19
1495619588187730028,10,3,202,1495619588.19
1495619588239238603,10,5,202,1495619588.24
1495619588239308864,10,3,202,1495619588.24
1495619588288013311,10,5,202,1495619588.29
1495619588288092511,10,3,202,1495619588.29
1495619588338155442,10,5,202,1495619588.34
1495619588338233524,10,3,202,1495619588.34
1495619588387238010,10,5,202,1495619588.39
1495619588387299750,10,3,202,1495619588.39
1495619588437988319,10,5,202,1495619588.44
1495619588438083023,10,3,202,1495619588.44
1495619588487279154,10,5,202,1495619588.49
1495619588487341941,10,3,202,1495619588.49
1495619588538324053,10,5,202,1495619588.54
1495619588538412541,10,3,202,1495619588.54
1495619588588476729,10,5,202,1495619588.59
1495619588588571574,10,3,202,1495619588.59
1495619588638551463,10,5,202,1495619588.64
1495619588638656364,10,3,202,1495619588.64
1495619588688544971,10,5,202,1495619588.69
1495619588688648685,10,3,202,1495619588.69
1495619588738263793,10,5,202,1495619588.74
1495619588738367159,10,3,202,1495619588.74
1495619588788084724,10,5,202,1495619588.79
1495619588789157765,10,3,202,1495619588.79
1495619588838209953,10,5,202,1495619588.84
1495619588839134512,10,3,202,1495619588.84
1495619588888044083,10,5,202,1495619588.89
1495619588888773506,10,3,202,1495619588.89
1495619588938473122,10,5,202,1495619588.94
1495619588939288309,10,3,202,1495619588.94
1495619588988107506,10,5,202,1495619588.99
1495619588988676782,10,3,202,1495619588.99
1495619589037538932,10,5,202,1495619589.04
1495619589037850075,10,3,202,1495619589.04
1495619589088047240,10,5,202,1495619589.09
1495619589089012726,10,3,202,1495619589.09
1495619589138390723,10,5,202,1495619589.14
1495619589138905872,10,3,202,1495619589.14
1495619589188024549,10,5,202,1495619589.19
1495619589189054987,10,3,202,1495619589.19
1495619589238878711,10,5,202,1495619589.24
1495619589238977327,10,3,202,1495619589.24
1495619589288539426,10,5,-121,1495619589.29
1495619589288640137,10,3,-121,1495619589.29
1495619589338370064,10,5,-252,1495619589.34
1495619589338471124,10,3,-252,1495619589.34
1495619589387878315,10,5,-195,1495619589.39
1495619589388183731,10,3,-195,1495619589.39
1495619589438163131,10,5,-197,1495619589.44
1495619589438951570,10,3,-197,1495619589.44
1495619589488207414,10,5,-184,1495619589.49
1495619589489023090,10,3,-184,1495619589.49
1495619589538429024,10,5,-174,1495619589.54
1495619589538821392,10,3,-174,1495619589.54
1495619589588318050,10,5,-166,1495619589.59
1495619589588426094,10,3,-166,1495619589.59
1495619589638553139,10,5,-158,1495619589.64
1495619589639440123,10,3,-158,1495619589.64
1495619589688180609,10,5,-151,1495619589.69
1495619589688567879,10,3,-151,1495619589.69
1495619589738269590,10,5,-144,1495619589.74
1495619589738656930,10,3,-144,1495619589.74
1495619589788089962,10,5,-139,1495619589.79
1495619589788474788,10,3,-139,1495619589.79
1495619589838161343,10,5,-133,1495619589.84
1495619589838554061,10,3,-133,1495619589.84
1495619589888108896,10,5,-129,1495619589.89
1495619589888502591,10,3,-129,1495619589.89
1495619589938617274,10,5,-123,1495619589.94
1495619589939392303,10,3,-123,1495619589.94
1495619589988067138,10,5,-121,1495619589.99
1495619589989058535,10,3,-121,1495619589.99
1495619590038223935,10,5,-116,1495619590.04
1495619590038617700,10,3,-116,1495619590.04
1495619590088196351,10,5,-113,1495619590.09
1495619590088593958,10,3,-113,1495619590.09
1495619590138312291,10,5,-110,1495619590.14
1495619590138821853,10,3,-110,1495619590.14
1495619590188133780,10,5,-107,1495619590.19
1495619590188530758,10,3,-107,1495619590.19
1495619590238194825,10,5,-105,1495619590.24
1495619590238984521,10,3,-105,1495619590.24
1495619590288359584,10,5,-102,1495619590.29
1495619590289443940,10,3,-102,1495619590.29
1495619590338598096,10,5,-101,1495619590.34
1495619590339113105,10,3,-101,1495619590.34
1495619590388472595,10,5,-98,1495619590.39
1495619590388975522,10,3,-98,1495619590.39
1495619590438290731,10,5,-97,1495619590.44
1495619590439171989,10,3,-97,1495619590.44
1495619590488674233,10,5,-95,1495619590.49
1495619590488782068,10,3,-95,1495619590.49
1495619590538241989,10,5,-94,1495619590.54
1495619590538643367,10,3,-94,1495619590.54
1495619590588740939,10,5,-92,1495619590.59
1495619590589331237,10,3,-92,1495619590.59
1495619590638402980,10,5,-92,1495619590.64
1495619590638505507,10,3,-92,1495619590.64
1495619590688151555,10,5,71,1495619590.69
1495619590688249542,10,3,71,1495619590.69
1495619590738517597,10,5,72,1495619590.74
1495619590738623057,10,3,72,1495619590.74
1495619590788179568,10,5,72,1495619590.79
1495619590788278464,10,3,72,1495619590.79
1495619590838426321,10,5,74,1495619590.84
1495619590838523401,10,3,74,1495619590.84
1495619590888774903,10,5,74,1495619590.89
1495619590888962287,10,3,74,1495619590.89
1495619590938452588,10,5,74,1495619590.94
1495619590938559096,10,3,74,1495619590.94
1495619590988568249,10,5,75,1495619590.99
1495619590988735240,10,3,75,1495619590.99
1495619591038223027,10,5,75,1495619591.04
1495619591039090177,10,3,75,1495619591.04
1495619591088387926,10,5,76,1495619591.09
1495619591088490523,10,3,76,1495619591.09
1495619591138252856,10,5,76,1495619591.14
1495619591139023345,10,3,76,1495619591.14
1495619591188408396,10,5,76,1495619591.19
1495619591188512669,10,3,76,1495619591.19
1495619591238674565,10,5,77,1495619591.24
1495619591238780444,10,3,77,1495619591.24
1495619591288492492,10,5,77,1495619591.29
1495619591288589572,10,3,77,1495619591.29
1495619591338337308,10,5,77,1495619591.34
1495619591338437880,10,3,77,1495619591.34
1495619591388284233,10,5,77,1495619591.39
1495619591388384804,10,3,77,1495619591.39
