%time,field.roll,field.pitch,field.yaw,field.rolld,field.pitchd,field.yawd,field.rolldd,field.pitchdd,field.yawdd
1495619033151452286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619033201037921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619033252271950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619033301625852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619033352647983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619033402487980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619033451317653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619033501390082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619033551256968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619033601428432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619033653314289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619033701565328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619033752701579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619033801154877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619033851343732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619033902373545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619033952027415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619034001265101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619034051546006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619034101242060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619034151122356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619034201555445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619034252458496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619034301782576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619034351974713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619034401750107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619034451643323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619034501621676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619034552670765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619034601336590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619034651412511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619034701190559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619034752190760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619034803482687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619034851180513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619034901226891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619034951394932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619035001318320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619035053659822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619035101415895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619035152527493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619035202467013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619035251668382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619035303564157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619035351693183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619035401479821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619035452784180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619035501675942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619035553094213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619035602573061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619035653296759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619035701399315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619035752529769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619035801350573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619035852294970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619035902151380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619035951718228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619036001617799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619036053717511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619036102486143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619036151817975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619036203435014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619036251990490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619036302231795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619036352103081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619036401623764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619036451473539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619036504136660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619036551932752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619036601588298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619036651179521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619036702330299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619036751330595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619036801748668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619036851272633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619036901373767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619036951943745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619037001604111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619037051204273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619037101327267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619037152180172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619037201732144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619037253783735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619037301501116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619037351685500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619037404114095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619037451443856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619037501101498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619037551663444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619037601741251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619037651911527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619037703595684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619037752304392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619037801602281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495619037852501421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
