%time,field.DevID,field.MsgID,field.Data,field.Time
1495619031633122406,10,5,202,1495619031.63
1495619031633930330,10,3,202,1495619031.63
1495619031681972403,10,5,202,1495619031.68
1495619031682039660,10,3,202,1495619031.68
1495619031732380559,10,5,202,1495619031.73
1495619031732438527,10,3,202,1495619031.73
1495619031782378956,10,5,202,1495619031.78
1495619031782430639,10,3,202,1495619031.78
1495619031832134864,10,5,202,1495619031.83
1495619031832190248,10,3,202,1495619031.83
1495619031882521649,10,5,202,1495619031.88
1495619031882588417,10,3,202,1495619031.88
1495619031932483449,10,5,202,1495619031.93
1495619031932542884,10,3,202,1495619031.93
1495619031982029973,10,5,202,1495619031.98
1495619031982719307,10,3,202,1495619031.98
1495619032032242853,10,5,202,1495619032.03
1495619032033149044,10,3,202,1495619032.03
1495619032082351599,10,5,202,1495619032.08
1495619032083132495,10,3,202,1495619032.08
1495619032132307044,10,5,202,1495619032.13
1495619032133190397,10,3,202,1495619032.13
1495619032182448476,10,5,202,1495619032.18
1495619032183460197,10,3,202,1495619032.18
1495619032231957495,10,5,202,1495619032.23
1495619032232739648,10,3,202,1495619032.23
1495619032282372915,10,5,202,1495619032.28
1495619032283541150,10,3,202,1495619032.28
1495619032332214239,10,5,202,1495619032.33
1495619032333409573,10,3,202,1495619032.33
1495619032382294001,10,5,202,1495619032.38
1495619032383016230,10,3,202,1495619032.38
1495619032432430894,10,5,202,1495619032.43
1495619032433620919,10,3,202,1495619032.43
1495619032482453176,10,5,202,1495619032.48
1495619032482932497,10,3,202,1495619032.48
1495619032532398983,10,5,202,1495619032.53
1495619032533408818,10,3,202,1495619032.53
1495619032582180244,10,5,202,1495619032.58
1495619032582624364,10,3,202,1495619032.58
1495619032632351568,10,5,202,1495619032.63
1495619032633233524,10,3,202,1495619032.63
1495619032682239127,10,5,202,1495619032.68
1495619032682996276,10,3,202,1495619032.68
1495619032732729975,10,5,202,1495619032.73
1495619032732785918,10,3,202,1495619032.73
1495619032782358982,10,5,202,1495619032.78
1495619032782414016,10,3,202,1495619032.78
1495619032832328953,10,5,202,1495619032.83
1495619032832384617,10,3,202,1495619032.83
1495619032882652043,10,5,202,1495619032.88
1495619032882710570,10,3,202,1495619032.88
1495619032931629709,10,5,202,1495619032.93
1495619032931677132,10,3,202,1495619032.93
1495619032982639129,10,5,202,1495619032.98
1495619032982739910,10,3,202,1495619032.98
1495619033037914105,10,5,202,1495619033.03
1495619033037978499,10,3,202,1495619033.03
1495619033082617695,10,5,202,1495619033.08
1495619033082705206,10,3,202,1495619033.08
1495619033132664841,10,5,202,1495619033.13
1495619033132751025,10,3,202,1495619033.13
1495619033182849645,10,5,202,1495619033.18
1495619033182949238,10,3,202,1495619033.18
1495619033232973477,10,5,202,1495619033.23
1495619033233055261,10,3,202,1495619033.23
1495619033282814871,10,5,202,1495619033.28
1495619033282918305,10,3,202,1495619033.28
1495619033332650118,10,5,-263,1495619033.33
1495619033332746709,10,3,-263,1495619033.33
1495619033383205290,10,5,202,1495619033.38
1495619033383310332,10,3,202,1495619033.38
1495619033432821935,10,5,-263,1495619033.43
1495619033433010716,10,3,-263,1495619033.43
1495619033483077418,10,5,202,1495619033.48
1495619033483177151,10,3,202,1495619033.48
1495619033532804482,10,5,-234,1495619033.53
1495619033532978247,10,3,-234,1495619033.53
1495619033583089019,10,5,202,1495619033.58
1495619033583193361,10,3,202,1495619033.58
1495619033632745054,10,5,-233,1495619033.63
1495619033632969803,10,3,-233,1495619033.63
1495619033682818251,10,5,202,1495619033.68
1495619033682922524,10,3,202,1495619033.68
1495619033733361620,10,5,-241,1495619033.73
1495619033733444661,10,3,-241,1495619033.73
1495619033783069337,10,5,202,1495619033.78
1495619033783212302,10,3,202,1495619033.78
1495619033832953963,10,5,-188,1495619033.83
1495619033833850725,10,3,-188,1495619033.83
1495619033882833630,10,5,202,1495619033.88
1495619033883969529,10,3,202,1495619033.88
1495619033932775246,10,5,-263,1495619033.93
1495619033934112846,10,3,-263,1495619033.93
1495619033982844602,10,5,202,1495619033.98
1495619033982943148,10,3,202,1495619033.98
1495619034032823863,10,5,-263,1495619034.03
1495619034037079222,10,3,-263,1495619034.03
1495619034082621745,10,5,202,1495619034.08
1495619034082728952,10,3,202,1495619034.08
1495619034132813533,10,5,-116,1495619034.13
1495619034132999939,10,3,-116,1495619034.13
1495619034182628317,10,5,202,1495619034.18
1495619034183142699,10,3,202,1495619034.18
1495619034232740835,10,5,-263,1495619034.23
1495619034232946239,10,3,-263,1495619034.23
1495619034282782534,10,5,202,1495619034.28
1495619034283288045,10,3,202,1495619034.28
1495619034333037179,10,5,-263,1495619034.33
1495619034333118753,10,3,-263,1495619034.33
1495619034382579792,10,5,202,1495619034.38
1495619034382987176,10,3,202,1495619034.38
1495619034433056741,10,5,-263,1495619034.43
1495619034433904964,10,3,-263,1495619034.43
1495619034482555634,10,5,202,1495619034.48
1495619034483062751,10,3,202,1495619034.48
1495619034533021199,10,5,-263,1495619034.53
1495619034533101377,10,3,-263,1495619034.53
1495619034582702796,10,5,202,1495619034.58
1495619034583583355,10,3,202,1495619034.58
1495619034633130997,10,5,-211,1495619034.63
1495619034633516101,10,3,-211,1495619034.63
1495619034682751273,10,5,202,1495619034.68
1495619034683161451,10,3,202,1495619034.68
1495619034732983569,10,5,-263,1495619034.73
1495619034733956807,10,3,-263,1495619034.73
1495619034782611458,10,5,202,1495619034.78
1495619034783119553,10,3,202,1495619034.78
1495619034832596585,10,5,-191,1495619034.83
1495619034833510458,10,3,-191,1495619034.83
1495619034882931059,10,5,202,1495619034.88
1495619034883032678,10,3,202,1495619034.88
1495619034932819805,10,5,-263,1495619034.93
1495619034934465964,10,3,-263,1495619034.93
1495619034982720424,10,5,202,1495619034.98
1495619034982821973,10,3,202,1495619034.98
1495619035032684669,10,5,-263,1495619035.03
1495619035032787685,10,3,-263,1495619035.03
1495619035082554069,10,5,202,1495619035.08
1495619035083055390,10,3,202,1495619035.08
1495619035132762828,10,5,-122,1495619035.13
1495619035133050016,10,3,-122,1495619035.13
1495619035182819473,10,5,202,1495619035.18
1495619035182915505,10,3,202,1495619035.18
1495619035232765419,10,5,-263,1495619035.23
1495619035233146264,10,3,-263,1495619035.23
1495619035282850140,10,5,202,1495619035.28
1495619035282950712,10,3,202,1495619035.28
1495619035333018950,10,5,-263,1495619035.33
1495619035333120150,10,3,-263,1495619035.33
1495619035382849309,10,5,202,1495619035.38
1495619035382951697,10,3,202,1495619035.38
1495619035432770252,10,5,-263,1495619035.43
1495619035432995141,10,3,-263,1495619035.43
1495619035482928377,10,5,202,1495619035.48
1495619035483054929,10,3,202,1495619035.48
1495619035533029091,10,5,-263,1495619035.53
1495619035533149567,10,3,-263,1495619035.53
1495619035582801622,10,5,202,1495619035.58
1495619035583305247,10,3,202,1495619035.58
1495619035632755111,10,5,-208,1495619035.63
1495619035633030984,10,3,-208,1495619035.63
1495619035682755254,10,5,202,1495619035.68
1495619035682848772,10,3,202,1495619035.68
1495619035732503480,10,5,-263,1495619035.73
1495619035733722909,10,3,-263,1495619035.73
1495619035782882931,10,5,202,1495619035.78
1495619035783020309,10,3,202,1495619035.78
1495619035832764204,10,5,-225,1495619035.83
1495619035833031696,10,3,-225,1495619035.83
1495619035882786138,10,5,202,1495619035.88
1495619035882889433,10,3,202,1495619035.88
1495619035932752408,10,5,-263,1495619035.93
1495619035932969894,10,3,-263,1495619035.93
1495619035982762958,10,5,202,1495619035.98
1495619035982864996,10,3,202,1495619035.98
1495619036033059577,10,5,-109,1495619036.03
1495619036033140872,10,3,-109,1495619036.03
1495619036082804520,10,5,202,1495619036.08
1495619036082903625,10,3,202,1495619036.08
1495619036132696898,10,5,-263,1495619036.13
1495619036132791393,10,3,-263,1495619036.13
1495619036182762972,10,5,202,1495619036.18
1495619036182868153,10,3,202,1495619036.18
1495619036233017058,10,5,-263,1495619036.23
1495619036233097375,10,3,-263,1495619036.23
1495619036282742096,10,5,202,1495619036.28
1495619036282841829,10,3,202,1495619036.28
1495619036332819693,10,5,-263,1495619036.33
1495619036333017065,10,3,-263,1495619036.33
1495619036382950440,10,5,202,1495619036.38
1495619036383066167,10,3,202,1495619036.38
1495619036432712354,10,5,-263,1495619036.43
1495619036432816557,10,3,-263,1495619036.43
1495619036482746300,10,5,202,1495619036.48
1495619036482844148,10,3,202,1495619036.48
1495619036532512056,10,5,-263,1495619036.53
1495619036532602850,10,3,-263,1495619036.53
1495619036582858682,10,5,202,1495619036.58
