%time,field.DevID,field.MsgID,field.Data,field.Time
1495620828840187890,10,5,70,1495620828.84
1495620828841057763,10,3,70,1495620828.84
1495620828889218776,10,5,70,1495620828.89
1495620828889275976,10,3,70,1495620828.89
1495620828939248252,10,5,70,1495620828.94
1495620828939311947,10,3,70,1495620828.94
1495620828988996129,10,5,70,1495620828.99
1495620828989049767,10,3,70,1495620828.99
1495620829042383923,10,5,202,1495620829.04
1495620829042432533,10,3,-263,1495620829.04
1495620829090937304,10,5,202,1495620829.09
1495620829091013641,10,3,-263,1495620829.09
1495620829140165073,10,5,202,1495620829.14
1495620829140945409,10,3,-263,1495620829.14
1495620829189561019,10,5,202,1495620829.19
1495620829190372156,10,3,-263,1495620829.19
1495620829239772502,10,5,202,1495620829.24
1495620829240684559,10,3,-263,1495620829.24
1495620829289783680,10,5,202,1495620829.29
1495620829290394232,10,3,-263,1495620829.29
1495620829340013042,10,5,202,1495620829.34
1495620829341250909,10,3,-263,1495620829.34
1495620829389900531,10,5,202,1495620829.39
1495620829390712716,10,3,-263,1495620829.39
1495620829439630040,10,5,202,1495620829.44
1495620829440398364,10,3,-263,1495620829.44
1495620829489776151,10,5,202,1495620829.49
1495620829490624024,10,3,-263,1495620829.49
1495620829539213723,10,5,202,1495620829.54
1495620829540228237,10,3,-263,1495620829.54
1495620829589671117,10,5,202,1495620829.59
1495620829590471218,10,3,-263,1495620829.59
1495620829639447069,10,5,202,1495620829.64
1495620829640312752,10,3,-263,1495620829.64
1495620829689780425,10,5,202,1495620829.69
1495620829690943143,10,3,-263,1495620829.69
1495620829739552956,10,5,202,1495620829.74
1495620829740758486,10,3,-263,1495620829.74
1495620829789821359,10,5,202,1495620829.79
1495620829790921569,10,3,-263,1495620829.79
1495620829839727356,10,5,202,1495620829.84
1495620829840719452,10,3,-263,1495620829.84
1495620829889898471,10,5,202,1495620829.89
1495620829891064332,10,3,-263,1495620829.89
1495620829940249078,10,5,202,1495620829.94
1495620829940312214,10,3,-263,1495620829.94
1495620829989828008,10,5,202,1495620829.99
1495620829989888002,10,3,-263,1495620829.99
1495620830039781428,10,5,202,1495620830.04
1495620830039911472,10,3,-263,1495620830.04
1495620830089575329,10,5,202,1495620830.09
1495620830089636650,10,3,-263,1495620830.09
1495620830141014482,10,5,202,1495620830.14
1495620830145231709,10,3,-263,1495620830.14
1495620830192242016,10,5,202,1495620830.19
1495620830192340143,10,3,-263,1495620830.19
1495620830240792953,10,5,202,1495620830.24
1495620830240966299,10,3,-263,1495620830.24
1495620830290110118,10,5,202,1495620830.29
1495620830290217255,10,3,-263,1495620830.29
1495620830340475252,10,5,202,1495620830.34
1495620830340576661,10,3,-263,1495620830.34
1495620830390200151,10,5,202,1495620830.39
1495620830390305052,10,3,-263,1495620830.39
1495620830439165735,10,5,202,1495620830.44
1495620830439224611,10,3,-263,1495620830.44
1495620830489992938,10,5,202,1495620830.49
1495620830490101262,10,3,-263,1495620830.49
1495620830540506485,10,5,202,1495620830.54
1495620830540614739,10,3,202,1495620830.54
1495620830590259041,10,5,202,1495620830.59
1495620830590364361,10,3,-263,1495620830.59
1495620830640163222,10,5,202,1495620830.64
1495620830640271825,10,3,202,1495620830.64
1495620830690166787,10,5,202,1495620830.69
1495620830690271479,10,3,-263,1495620830.69
1495620830740148073,10,5,202,1495620830.74
1495620830740249692,10,3,202,1495620830.74
1495620830790173010,10,5,202,1495620830.79
