%time,field.DevID,field.MsgID,field.Data,field.Time
1495725599040914610,10,5,70,1495725599.04
1495725599040997372,10,3,70,1495725599.04
1495725599091046334,10,5,70,1495725599.09
1495725599091142296,10,3,70,1495725599.09
1495725599140902325,10,5,70,1495725599.14
1495725599141532782,10,3,70,1495725599.14
1495725599191227579,10,5,70,1495725599.19
1495725599191863484,10,3,70,1495725599.19
1495725599241052840,10,5,71,1495725599.24
1495725599241797906,10,3,71,1495725599.24
1495725599291092303,10,5,-92,1495725599.29
1495725599291448005,10,3,-92,1495725599.29
1495725599340886135,10,5,-92,1495725599.34
1495725599340984891,10,3,-92,1495725599.34
1495725599390741009,10,5,174,1495725599.39
1495725599391133168,10,3,-122,1495725599.39
1495725599440901577,10,5,138,1495725599.44
1495725599441641895,10,3,-113,1495725599.44
1495725599490821962,10,5,138,1495725599.49
1495725599491911975,10,3,-111,1495725599.49
1495725599540930010,10,5,131,1495725599.54
1495725599541019616,10,3,-109,1495725599.54
1495725599591218388,10,5,125,1495725599.59
1495725599591639810,10,3,-104,1495725599.59
1495725599641269795,10,5,119,1495725599.64
1495725599641768531,10,3,-103,1495725599.64
1495725599691212249,10,5,114,1495725599.69
1495725599691626338,10,3,-99,1495725599.69
1495725599740924367,10,5,109,1495725599.74
1495725599741416049,10,3,-98,1495725599.74
1495725599791016770,10,5,106,1495725599.79
1495725599791684453,10,3,-95,1495725599.79
1495725599841292716,10,5,101,1495725599.84
1495725599842077802,10,3,-93,1495725599.84
1495725599890767863,10,5,99,1495725599.89
1495725599891171964,10,3,-91,1495725599.89
1495725599940726171,10,5,95,1495725599.94
1495725599941955727,10,3,70,1495725599.94
1495725599991170016,10,5,92,1495725599.99
1495725599991274289,10,3,74,1495725599.99
1495725600040918661,10,5,89,1495725600.04
1495725600041424242,10,3,74,1495725600.04
1495725600091059883,10,5,86,1495725600.09
1495725600091446455,10,3,75,1495725600.09
1495725600141014210,10,5,85,1495725600.14
1495725600141481309,10,3,77,1495725600.14
1495725600191018474,10,5,82,1495725600.19
1495725600191118417,10,3,77,1495725600.19
1495725600240987887,10,5,80,1495725600.24
1495725600241466230,10,3,78,1495725600.24
1495725600291246583,10,5,78,1495725600.29
1495725600291997586,10,3,79,1495725600.29
1495725600340940961,10,5,78,1495725600.34
1495725600341025678,10,3,80,1495725600.34
1495725600390801491,10,5,76,1495725600.39
1495725600391189390,10,3,78,1495725600.39
1495725600440894593,10,5,76,1495725600.44
1495725600441863012,10,3,81,1495725600.44
1495725600490842495,10,5,73,1495725600.49
1495725600492083714,10,3,79,1495725600.49
1495725600541212308,10,5,74,1495725600.54
1495725600541319235,10,3,81,1495725600.54
1495725600591347734,10,5,72,1495725600.59
1495725600591728648,10,3,81,1495725600.59
1495725600640963401,10,5,71,1495725600.64
1495725600641773769,10,3,82,1495725600.64
1495725600691029754,10,5,71,1495725600.69
1495725600691727328,10,3,81,1495725600.69
1495725600740986386,10,5,-92,1495725600.74
1495725600741814284,10,3,82,1495725600.74
1495725600791036046,10,5,-92,1495725600.79
1495725600791763094,10,3,82,1495725600.79
1495725600841267993,10,5,-94,1495725600.84
1495725600841690323,10,3,82,1495725600.84
1495725600891217431,10,5,-92,1495725600.89
1495725600891567476,10,3,82,1495725600.89
1495725600940966495,10,5,-94,1495725600.94
1495725600941441416,10,3,81,1495725600.94
1495725600991066232,10,5,-93,1495725600.99
1495725600991752073,10,3,81,1495725600.99
1495725601041249499,10,5,-94,1495725601.04
1495725601041341759,10,3,82,1495725601.04
1495725601091244194,10,5,-95,1495725601.09
1495725601091932829,10,3,81,1495725601.09
1495725601140942134,10,5,-94,1495725601.14
1495725601141036699,10,3,82,1495725601.14
1495725601191058703,10,5,-94,1495725601.19
1495725601191732322,10,3,81,1495725601.19
1495725601240988725,10,5,-95,1495725601.24
1495725601241079170,10,3,82,1495725601.24
1495725601291033846,10,5,-95,1495725601.29
1495725601291736310,10,3,80,1495725601.29
1495725601345192200,10,5,-94,1495725601.34
1495725601345397952,10,3,82,1495725601.34
1495725601391205523,10,5,-94,1495725601.39
1495725601391959041,10,3,80,1495725601.39
1495725601441244219,10,5,-94,1495725601.44
1495725601441984117,10,3,80,1495725601.44
1495725601491058724,10,5,-94,1495725601.49
1495725601491723194,10,3,80,1495725601.49
1495725601541253305,10,5,-94,1495725601.54
1495725601541947877,10,3,80,1495725601.54
1495725601591230610,10,5,-94,1495725601.59
1495725601591918267,10,3,80,1495725601.59
1495725601641098264,10,5,-94,1495725601.64
1495725601641309115,10,3,80,1495725601.64
1495725601691216789,10,5,-93,1495725601.69
1495725601691593931,10,3,79,1495725601.69
1495725601740982684,10,5,-93,1495725601.74
1495725601741499160,10,3,80,1495725601.74
1495725601791068383,10,5,-94,1495725601.79
1495725601791791240,10,3,79,1495725601.79
1495725601840912920,10,5,-93,1495725601.84
1495725601841398805,10,3,79,1495725601.84
1495725601891040244,10,5,-92,1495725601.89
1495725601891131876,10,3,78,1495725601.89
1495725601941205631,10,5,-92,1495725601.94
1495725601941941549,10,3,79,1495725601.94
1495725601991215902,10,5,-93,1495725601.99
1495725601992002035,10,3,77,1495725601.99
1495725602040894356,10,5,-91,1495725602.04
1495725602040990527,10,3,79,1495725602.04
1495725602091038232,10,5,-93,1495725602.09
1495725602091432905,10,3,77,1495725602.09
1495725602140939131,10,5,70,1495725602.14
1495725602141764934,10,3,78,1495725602.14
1495725602191216195,10,5,71,1495725602.19
1495725602191638385,10,3,78,1495725602.19
1495725602240912389,10,5,70,1495725602.24
1495725602241493818,10,3,77,1495725602.24
1495725602294735853,10,5,71,1495725602.29
1495725602295135834,10,3,77,1495725602.29
1495725602339868758,10,5,71,1495725602.34
1495725602340315253,10,3,77,1495725602.34
1495725602391090355,10,5,71,1495725602.39
1495725602391756711,10,3,76,1495725602.39
1495725602441075133,10,5,71,1495725602.44
1495725602441519952,10,3,77,1495725602.44
1495725602491292622,10,5,72,1495725602.49
1495725602491644552,10,3,77,1495725602.49
1495725602541028556,10,5,71,1495725602.54
1495725602541850867,10,3,76,1495725602.54
1495725602591049232,10,5,72,1495725602.59
1495725602591138769,10,3,76,1495725602.59
1495725602640984772,10,5,71,1495725602.64
1495725602641485045,10,3,76,1495725602.64
1495725602691178236,10,5,72,1495725602.69
1495725602691261766,10,3,76,1495725602.69
1495725602741011738,10,5,72,1495725602.74
1495725602741765814,10,3,75,1495725602.74
1495725602790945113,10,5,72,1495725602.79
1495725602791346910,10,3,76,1495725602.79
1495725602841354945,10,5,73,1495725602.84
1495725602841730621,10,3,76,1495725602.84
1495725602891109736,10,5,72,1495725602.89
