%time,field.timestamp,field.delx,field.dely,field.longitude,field.latitude
1495100178210323328,093618.20,63.0434752245,-497.50569244,9.97768448333,57.015273765
1495100178366780725,093618.40,63.0208935246,-497.483524437,9.97768485,57.0152735617
1495100178580432336,093618.60,63.0162661275,-497.472440035,9.97768503333,57.01527352
1495100178784329771,093618.80,62.9996074977,-497.449263977,9.97768541667,57.01527337
1495100178981189440,093619.00,63.0136747845,-497.473447889,9.97768501667,57.0152734967
1495100179178207165,093619.20,63.0553213604,-497.528868787,9.9776841,57.0152738717
1495100179379374296,093619.40,63.1563837174,-497.624594038,9.97768251667,57.0152747817
1495100179573202504,093619.60,63.2548547301,-497.719311743,9.97768095,57.0152756683
1495100179783640018,093619.80,63.3318546211,-497.777753603,9.97767998333,57.0152763617
1495100179982949653,093620.00,63.3923809763,-497.816042489,9.97767935,57.0152769067
1495100180170842819,093620.20,63.4716020183,-497.862391834,9.97767858333,57.01527762
1495100180382540480,093620.40,63.5745153335,-497.892616578,9.97767808333,57.0152785467
1495100180573961052,093620.60,63.6676185663,-497.898657155,9.97767798333,57.015279385
1495100180790943603,093620.80,63.7927433879,-497.884541838,9.97767821667,57.0152805117
1495100180964954279,093621.00,63.8728899093,-497.841205984,9.97767893333,57.0152812333
1495100181185191780,093621.20,63.9887599365,-497.818021942,9.97767931667,57.0152822767
1495100181378048285,093621.40,64.0798271144,-497.754531468,9.97768036667,57.0152830967
1495100181582736538,093621.60,64.1397981829,-497.687012076,9.97768148333,57.0152836367
1495100181784757268,093621.80,64.2097644306,-497.629569065,9.97768243333,57.0152842667
1495100181973976234,093622.00,64.2565936896,-497.562050467,9.97768355,57.0152846883
1495100182186162086,093622.20,64.2932426763,-497.487478596,9.97768478333,57.0152850183
1495100182375540076,093622.40,64.3402570328,-497.427013876,9.97768578333,57.0152854417
1495100182568754593,093622.60,64.3831992787,-497.36151091,9.97768686667,57.0152858283
1495100182770533604,093622.80,64.407631936,-497.299032155,9.9776879,57.0152860483
1495100182984804355,093623.00,64.4402088129,-497.23050672,9.97768903333,57.0152863417
1495100183192206987,093623.20,64.4711198262,-497.173066066,9.97768998333,57.01528662
1495100183364915053,093623.40,64.4938866214,-497.11159511,9.977691,57.015286825
1495100183581835308,093623.60,64.5122111155,-497.011831892,9.97769265,57.01528699
1495100183778456259,093623.80,64.5420115533,-496.881837041,9.9776948,57.0152872583
1495100183973974906,093624.00,64.5871749509,-496.770987532,9.97769663333,57.015287665
1495100184182597598,093624.20,64.5943936897,-496.679286569,9.97769815,57.01528773
1495100184377687281,093624.40,64.6193816358,-496.600684614,9.97769945,57.015287955
1495100184580162121,093624.60,64.6514032239,-496.534174613,9.97770055,57.0152882433
1495100184778874540,093624.80,64.6743551144,-496.460611271,9.97770176667,57.01528845
1495100184969929699,093625.00,64.6852757729,-496.38906405,9.97770295,57.0152885483
1495100185181325370,093625.20,64.704710841,-496.335654882,9.97770383333,57.0152887233
1495100185383421318,093625.40,64.7274776362,-496.281237817,9.97770473333,57.0152889283
1495100185585626364,093625.60,64.7561674979,-496.230851188,9.97770556667,57.0152891867
1495100185782776293,093625.80,64.7761578548,-496.180465083,9.9777064,57.0152893667
1495100185981949527,093626.00,64.8072539642,-496.143178385,9.97770701667,57.0152896467
1495100186177595633,093626.20,64.8518620737,-496.096821594,9.97770778333,57.0152900483
1495100186362989809,093626.40,64.95292443,-496.01519198,9.97770913333,57.0152909583
1495100186576099175,093626.60,65.1072944028,-495.912397508,9.97771083333,57.0152923483
1495100186784784372,093626.80,65.3118253624,-495.790453767,9.97771285,57.01529419
1495100186981889253,093627.00,65.5433803209,-495.647346752,9.97771521667,57.015296275
1495100187181210479,093627.20,65.7890025683,-495.462923284,9.97771826667,57.0152984867
1495100187374895236,093627.40,66.0518387328,-495.251290951,9.97772176667,57.0153008533
1495100187581821898,093627.60,66.3150450881,-495.014466161,9.97772568333,57.0153032233
1495100187777835999,093627.80,66.5619630062,-494.743380634,9.97773016667,57.0153054467
1495100187985142461,093628.00,66.7898160491,-494.454157704,9.97773495,57.0153074983
1495100188179966955,093628.20,67.0036018016,-494.139743185,9.97774015,57.0153094233
1495100188384363128,093628.40,67.184995774,-493.813238247,9.97774555,57.0153110567
1495100188580425005,093628.60,67.3386253641,-493.460534838,9.97775138333,57.01531244
1495100188776362699,093628.80,67.4700434457,-493.104809676,9.97775726667,57.0153136233
1495100188983615030,093629.00,67.5583341852,-492.735987027,9.97776336667,57.0153144183
1495100189185157069,093629.20,67.6155288155,-492.35809696,9.97776961667,57.0153149333
1495100189367835747,093629.40,67.6281153362,-491.976178764,9.97777593333,57.0153150467
1495100189583427058,093629.60,67.6140480494,-491.595269854,9.97778223333,57.01531492
