%time,field.DevID,field.MsgID,field.Data,field.Time
1495100178723841635,10,5,200,1495100178.72
1495100178723942555,10,3,-200,1495100178.72
1495100178773920835,10,5,200,1495100178.77
1495100178774259006,10,3,-200,1495100178.77
1495100178823711946,10,5,200,1495100178.82
1495100178823816080,10,3,-200,1495100178.82
1495100178874324738,10,5,200,1495100178.87
1495100178874499830,10,3,-200,1495100178.87
1495100178923264338,10,5,200,1495100178.92
1495100178923334668,10,3,-200,1495100178.92
1495100178976320040,10,5,200,1495100178.97
1495100178977588148,10,3,-200,1495100178.97
1495100179023706791,10,5,200,1495100179.02
1495100179023805896,10,3,-200,1495100179.02
1495100179076192724,10,5,200,1495100179.07
1495100179076570426,10,3,-200,1495100179.07
1495100179124041197,10,5,200,1495100179.12
1495100179124510321,10,3,-200,1495100179.12
1495100179176439341,10,5,200,1495100179.17
1495100179176659341,10,3,-200,1495100179.17
1495100179223397757,10,5,200,1495100179.22
1495100179223655961,10,3,-200,1495100179.22
1495100179275339137,10,5,200,1495100179.27
1495100179277610727,10,3,-200,1495100179.27
1495100179323735168,10,5,200,1495100179.32
1495100179324068521,10,3,-200,1495100179.32
1495100179373001070,10,5,200,1495100179.37
1495100179373663096,10,3,-200,1495100179.37
1495100179424031859,10,5,200,1495100179.42
1495100179424134875,10,3,-200,1495100179.42
1495100179473808093,10,5,200,1495100179.47
1495100179474453077,10,3,-200,1495100179.47
1495100179523744121,10,5,200,1495100179.52
1495100179523853352,10,3,-200,1495100179.52
1495100179574566017,10,5,200,1495100179.57
1495100179575576900,10,3,-200,1495100179.57
1495100179623831081,10,5,200,1495100179.62
1495100179623936332,10,3,-200,1495100179.62
1495100179677824537,10,5,200,1495100179.67
1495100179678161312,10,3,-200,1495100179.67
1495100179723773955,10,5,200,1495100179.72
1495100179723880742,10,3,-200,1495100179.72
1495100179775037809,10,5,200,1495100179.77
1495100179775710450,10,3,-200,1495100179.77
1495100179823702866,10,5,182,1495100179.82
1495100179823814472,10,3,-200,1495100179.82
1495100179876790203,10,5,182,1495100179.87
1495100179878160839,10,3,-200,1495100179.87
1495100179923575411,10,5,200,1495100179.92
1495100179923967849,10,3,-200,1495100179.92
1495100179977831892,10,5,200,1495100179.97
1495100179977890419,10,3,-200,1495100179.97
1495100180023532048,10,5,200,1495100180.02
1495100180023848010,10,3,-200,1495100180.02
1495100180073731310,10,5,200,1495100180.07
1495100180074398712,10,3,-200,1495100180.07
1495100180123237185,10,5,179,1495100180.12
1495100180123440912,10,3,-200,1495100180.12
1495100180175093078,10,5,179,1495100180.17
1495100180175474971,10,3,-200,1495100180.17
1495100180223946638,10,5,200,1495100180.22
1495100180224263717,10,3,-200,1495100180.22
1495100180274575704,10,5,200,1495100180.27
1495100180276889129,10,3,-200,1495100180.27
1495100180324209250,10,5,200,1495100180.32
1495100180325471351,10,3,-200,1495100180.32
1495100180374076625,10,5,200,1495100180.37
1495100180374817431,10,3,-200,1495100180.37
1495100180424210932,10,5,200,1495100180.42
1495100180424317929,10,3,-200,1495100180.42
1495100180475444752,10,5,200,1495100180.47
1495100180475542949,10,3,-200,1495100180.47
1495100180523704521,10,5,93,1495100180.52
1495100180523812146,10,3,-122,1495100180.52
1495100180574088651,10,5,94,1495100180.57
1495100180574121128,10,3,-123,1495100180.57
1495100180623768291,10,5,82,1495100180.62
1495100180623878291,10,3,-108,1495100180.62
1495100180673584262,10,5,97,1495100180.67
1495100180673782681,10,3,-127,1495100180.67
1495100180723425311,10,5,142,1495100180.72
1495100180723513311,10,3,-185,1495100180.72
1495100180774166400,10,5,158,1495100180.77
1495100180774276679,10,3,-200,1495100180.77
1495100180824036636,10,5,200,1495100180.82
1495100180824148103,10,3,-200,1495100180.82
1495100180874740990,10,5,200,1495100180.87
1495100180876939524,10,3,-200,1495100180.87
1495100180924073731,10,5,182,1495100180.92
1495100180924500671,10,3,-200,1495100180.92
1495100180973003483,10,5,177,1495100180.97
1495100180973751484,10,3,-200,1495100180.97
1495100181023335305,10,5,-140,1495100181.02
1495100181023415762,10,3,107,1495100181.02
1495100181073891734,10,5,-112,1495100181.07
1495100181074381251,10,3,86,1495100181.07
1495100181123760507,10,5,-200,1495100181.12
1495100181124144006,10,3,200,1495100181.12
1495100181175917555,10,5,-200,1495100181.17
1495100181177307468,10,3,200,1495100181.17
1495100181223625647,10,5,-200,1495100181.22
1495100181224020180,10,3,200,1495100181.22
1495100181273349713,10,5,-200,1495100181.27
1495100181274666010,10,3,200,1495100181.27
1495100181326477975,10,5,-200,1495100181.32
1495100181326541949,10,3,200,1495100181.32
1495100181373160380,10,5,-200,1495100181.37
1495100181373597725,10,3,200,1495100181.37
1495100181423947772,10,5,119,1495100181.42
1495100181424054420,10,3,-156,1495100181.42
1495100181474643533,10,5,143,1495100181.47
1495100181474752556,10,3,-187,1495100181.47
1495100181523669321,10,5,-93,1495100181.52
1495100181523774711,10,3,71,1495100181.52
1495100181575909764,10,5,75,1495100181.57
1495100181575965567,10,3,-98,1495100181.57
1495100181622954431,10,5,-200,1495100181.62
1495100181623263479,10,3,200,1495100181.62
1495100181673279965,10,5,-200,1495100181.67
1495100181673404562,10,3,200,1495100181.67
1495100181727251983,10,5,-200,1495100181.73
1495100181727310649,10,3,200,1495100181.73
1495100181778927338,10,5,-200,1495100181.77
1495100181778982513,10,3,200,1495100181.77
1495100181824012893,10,5,-200,1495100181.82
1495100181824116259,10,3,200,1495100181.82
1495100181874117655,10,5,-200,1495100181.87
1495100181874186868,10,3,200,1495100181.87
1495100181923324470,10,5,-200,1495100181.92
1495100181925089989,10,3,200,1495100181.92
1495100181974039510,10,5,-200,1495100181.97
1495100181974071148,10,3,200,1495100181.97
1495100182023775652,10,5,-200,1495100182.02
1495100182023988318,10,3,162,1495100182.02
1495100182074931810,10,5,-200,1495100182.07
1495100182075163474,10,3,161,1495100182.07
1495100182123932453,10,5,-109,1495100182.12
1495100182124486155,10,3,83,1495100182.12
1495100182177270314,10,5,-108,1495100182.17
1495100182177637470,10,3,82,1495100182.17
1495100182223324214,10,5,-200,1495100182.22
1495100182223598621,10,3,200,1495100182.22
1495100182273531509,10,5,-200,1495100182.27
1495100182274398727,10,3,200,1495100182.27
1495100182325160629,10,5,-200,1495100182.32
1495100182325783193,10,3,200,1495100182.32
1495100182373061685,10,5,-200,1495100182.37
1495100182373119304,10,3,200,1495100182.37
1495100182425803454,10,5,-200,1495100182.42
1495100182428798316,10,3,200,1495100182.42
1495100182473732663,10,5,-200,1495100182.47
1495100182473787070,10,3,200,1495100182.47
1495100182523365301,10,5,-200,1495100182.52
1495100182524101847,10,3,200,1495100182.52
1495100182574669382,10,5,-200,1495100182.57
1495100182578002906,10,3,200,1495100182.57
1495100182623719891,10,5,-200,1495100182.62
1495100182625293135,10,3,200,1495100182.62
1495100182674293989,10,5,-200,1495100182.67
1495100182676734105,10,3,200,1495100182.67
1495100182723867615,10,5,-200,1495100182.72
1495100182725691939,10,3,200,1495100182.72
1495100182774427396,10,5,-200,1495100182.77
1495100182774938075,10,3,200,1495100182.77
1495100182823343043,10,5,-126,1495100182.82
1495100182824707184,10,3,96,1495100182.82
1495100182873869786,10,5,-130,1495100182.87
1495100182873970358,10,3,100,1495100182.87
1495100182924458768,10,5,-200,1495100182.92
1495100182924850298,10,3,200,1495100182.92
1495100182973713145,10,5,-200,1495100182.97
1495100182977661479,10,3,200,1495100182.97
1495100183023682486,10,5,-200,1495100183.02
1495100183024890669,10,3,200,1495100183.02
1495100183074360998,10,5,-200,1495100183.07
1495100183074438592,10,3,200,1495100183.07
1495100183123153655,10,5,-200,1495100183.12
1495100183123367998,10,3,200,1495100183.12
1495100183173830069,10,5,-200,1495100183.17
1495100183185658041,10,3,200,1495100183.17
1495100183223754506,10,5,-200,1495100183.22
1495100183224119635,10,3,200,1495100183.22
1495100183273478080,10,5,-200,1495100183.27
1495100183273555394,10,3,200,1495100183.27
1495100183328175956,10,5,-200,1495100183.32
1495100183328242096,10,3,200,1495100183.32
1495100183373387364,10,5,-200,1495100183.37
1495100183373596398,10,3,200,1495100183.37
1495100183423331910,10,5,-200,1495100183.42
1495100183423387503,10,3,200,1495100183.42
1495100183474178601,10,5,-200,1495100183.47
1495100183474289649,10,3,200,1495100183.47
1495100183523769543,10,5,200,1495100183.52
1495100183523877727,10,3,-200,1495100183.52
1495100183574641166,10,5,200,1495100183.57
1495100183575080468,10,3,-200,1495100183.57
1495100183623959238,10,5,-200,1495100183.62
1495100183624064070,10,3,200,1495100183.62
1495100183674047242,10,5,-200,1495100183.67
1495100183674116944,10,3,200,1495100183.67
1495100183723599006,10,5,-200,1495100183.72
1495100183723911825,10,3,200,1495100183.72
1495100183776057139,10,5,-200,1495100183.77
1495100183776725660,10,3,200,1495100183.77
1495100183824397300,10,5,-200,1495100183.82
1495100183824495427,10,3,200,1495100183.82
1495100183873672486,10,5,-200,1495100183.87
1495100183874099566,10,3,200,1495100183.87
1495100183924346388,10,5,-200,1495100183.92
1495100183924470705,10,3,200,1495100183.92
1495100183975062336,10,5,-200,1495100183.97
1495100183975374806,10,3,200,1495100183.97
1495100184023269515,10,5,-155,1495100184.02
1495100184023348575,10,3,119,1495100184.02
1495100184073218602,10,5,-172,1495100184.07
1495100184073289700,10,3,132,1495100184.07
1495100184123855418,10,5,200,1495100184.12
1495100184123959273,10,3,-200,1495100184.12
1495100184175053201,10,5,200,1495100184.17
1495100184176095651,10,3,-200,1495100184.17
1495100184224257571,10,5,200,1495100184.22
1495100184224356885,10,3,-200,1495100184.22
1495100184273197734,10,5,91,1495100184.27
1495100184273513557,10,3,-120,1495100184.27
1495100184324644222,10,5,200,1495100184.32
1495100184324750381,10,3,-200,1495100184.32
1495100184375739687,10,5,200,1495100184.37
1495100184376267618,10,3,-200,1495100184.37
1495100184423575722,10,5,-200,1495100184.42
1495100184424014534,10,3,200,1495100184.42
1495100184473594447,10,5,-200,1495100184.47
1495100184473933876,10,3,200,1495100184.47
1495100184523759903,10,5,-200,1495100184.52
1495100184524074259,10,3,200,1495100184.52
