%time,field.xn,field.yn,field.xbd,field.ybd,field.xbdd,field.ybdd
1495100178702808511,63.0041618347,-497.267333984,24.8877830505,-4.62070083618,-0.0103954579681,0.000866656657308
1495100178751287370,62.9517326355,-497.535217285,24.7841358185,-5.37391853333,-0.0128037147224,0.000147693339386
1495100178801564298,63.1038093567,-497.456512451,24.8651332855,-5.10296964645,-0.0159293301404,0.000203263960429
1495100178851532872,62.9598121643,-497.510498047,24.9593143463,-4.32846593857,-0.0155687993392,0.000192348990822
1495100178901590351,63.1128578186,-497.435089111,25.4704761505,-3.95178508759,-0.0355402193964,0.000178993781446
1495100178951410096,63.0002365112,-497.487976074,25.4534931183,-1.98374950886,-0.0350359082222,0.000166077254107
1495100179001339003,63.0691833496,-497.418945312,24.5379123688,-1.34582042694,-1.80820898095e-05,0.000119427902973
1495100179051458225,62.9791488647,-497.476654053,24.6588249207,3.24300265312,0.000450612074928,9.79495453066e-05
1495100179101285439,63.0492630005,-497.381988525,24.8073482513,3.80657076836,-0.00527279544622,-4.50319130323e-05
1495100179151325254,63.0072517395,-497.447143555,24.7503490448,3.71005034447,-0.00551070319489,-6.13407246419e-05
1495100179201382808,63.0541114807,-497.409545898,24.0837097168,4.10733509064,0.0202132556587,-4.19694297307e-05
1495100179251662594,63.0165023804,-497.47756958,24.2714500427,4.47506570816,0.0199962910265,-5.66860653635e-05
1495100179301626490,63.0549926758,-497.40927124,24.3865776062,4.51572799683,0.0155656216666,-6.72970345477e-05
1495100179351733840,63.0275001526,-497.474914551,24.4986839294,1.16300475597,0.0152048058808,-6.84056503815e-05
1495100179401774211,63.1697502136,-497.512878418,24.5516643524,-1.0106960535,0.00543172331527,4.21971562901e-05
1495100179451397772,63.1351547241,-497.581634521,24.3877315521,-2.24961352348,0.00588602432981,0.000117499861517
1495100179501925566,63.1387519836,-497.544281006,23.5832653046,-2.65886306763,0.036578476429,0.000146190912346
1495100179551631536,63.0898895264,-497.604156494,23.1068897247,-5.12422227859,0.0375403277576,0.000160244875588
1495100179601420968,63.235294342,-497.648803711,23.2559509277,-5.45001983643,0.0315659679472,0.000237982909312
1495100179651367542,63.1881446838,-497.714477539,20.7734947205,-11.027463913,0.0331484042108,0.0002477496746
1495100179701425238,63.3089103699,-497.675292969,21.8276691437,-11.2463417053,-0.0076594282873,0.000440870033344
1495100179751308672,63.2266273499,-497.721282959,19.2712593079,-14.8020763397,-0.00450468203053,0.00044372380944
1495100179801646501,63.4288024902,-497.726531982,20.055847168,-14.6199140549,-0.03477473557,0.00057848636061
1495100179851394098,63.3308830261,-497.765167236,19.3986968994,-15.1892318726,-0.0301526840776,0.000568494258914
1495100179901416101,63.416557312,-497.715545654,19.05534935,-14.9611778259,-0.0166427399963,0.000596925674472
1495100179951946479,63.3061027527,-497.756011963,20.8149585724,-12.5115365982,-0.0112835280597,0.000588146329392
1495100180001629960,63.434589386,-497.736572266,20.5189666748,-12.4603652954,8.57308405102e-05,0.000501623551827
1495100180051355277,63.353843689,-497.800415039,20.4793586731,-12.3501119614,0.00500895874575,0.000502301729284
1495100180101724463,63.4396705627,-497.713439941,20.6722507477,-11.8768749237,-0.00242873840034,0.000515325227752
1495100180151708191,63.3582496643,-497.778869629,18.9495048523,-13.8000068665,0.00285031390376,0.000498153734952
1495100180201735158,63.5087852478,-497.728057861,18.8140506744,-13.2820663452,0.00806362181902,0.000586439738981
1495100180251368843,63.4131851196,-497.795684814,19.1861171722,-12.6980237961,0.0145117780194,0.0005656532594
1495100180301500218,63.5561180115,-497.738616943,20.3549194336,-12.9575242996,-0.0297406725585,0.000534224091098
1495100180351566428,63.4360694885,-497.842254639,19.1851425171,-13.6362991333,0.00412171985954,0.000528546224814
1495100180401413550,63.6223068237,-497.809020996,20.2517757416,-12.9890623093,-0.00482678227127,0.000537323125172
1495100180452313388,63.534324646,-497.901367188,20.0884666443,-13.1191711426,0.00176899216603,0.000514049839694
1495100180501491851,63.6385345459,-497.820037842,20.3989162445,-13.3699531555,-0.0101910196245,0.00051011989126
1495100180551419500,63.5413169861,-497.918884277,17.4451370239,-16.4572944641,-0.0032269875519,0.000519492139574
1495100180601730926,63.7256126404,-497.805786133,17.2434368134,-15.9191865921,0.00391890853643,0.000650646048598
1495100180651946176,63.5955696106,-497.888458252,15.7167606354,-17.0145759583,0.0132131492719,0.000628044828773
1495100180701714518,63.7292137146,-497.780151367,15.8340435028,-16.50897789,0.00970508717,0.000685216102283
1495100180751439697,63.5797691345,-497.861450195,15.4322109222,-16.6357803345,0.0202979501337,0.000665771658532
1495100180801381452,63.8412094116,-497.783782959,15.7137861252,-17.0927696228,0.0102092372254,0.000652610848192
1495100180851732688,63.7007293701,-497.877868652,17.1988315582,-15.7394981384,0.0213702395558,0.000669686356559
1495100180901572751,63.8614616394,-497.846191406,17.9156303406,-17.1702804565,-0.00595450121909,0.000567746406887
1495100180951804144,63.7309379578,-497.968536377,16.5097198486,-18.2992725372,0.00474819121882,0.000622236344498
1495100181001409120,63.9645004272,-497.871856689,17.1239910126,-19.4279289246,-0.0189980305731,0.000620245118625
1495100181051515285,63.8180656433,-497.987792969,13.3540821075,-21.9894351959,-0.00672290241346,0.000661208643578
1495100181101444051,63.9965209961,-497.87713623,13.6689825058,-21.7580337524,-0.0181921347976,0.000759739370551
1495100181151482957,63.794670105,-497.965820312,6.02078056335,-24.8097438812,-0.00263788085431,0.000749064376578
1495100181201396284,64.1076965332,-497.828918457,5.8827586174,-23.598777771,0.00450280867517,0.000902433996089
1495100181251694651,63.8456001282,-497.84564209,-0.0536186993122,-24.2481460571,0.0242508407682,0.0008548781625
1495100181301284964,64.1258239746,-497.820678711,0.572278380394,-23.6837043762,0.00136289629154,0.000899850798305
1495100181351472771,63.8458251953,-497.78817749,7.1687130928,-22.5681266785,0.0137984724715,0.000877106620464
1495100181401649126,64.2047119141,-497.744567871,7.11462783813,-23.4762096405,-0.0125233270228,0.000811838021036
1495100181451799218,63.9566192627,-497.802978516,10.4946479797,-22.0817890167,0.00957683939487,0.000846419134177
1495100181501751801,64.2003936768,-497.789764404,11.0828351974,-23.4431934357,-0.0116112176329,0.000745045661461
1495100181551835542,63.9631690979,-497.905578613,9.20739841461,-23.9977836609,0.0102803129703,0.000797025160864
1495100181601707668,64.2701263428,-497.785858154,9.73368358612,-24.9057273865,-0.0102443341166,0.00078231934458
1495100181651783520,64.005279541,-497.886108398,1.44272851944,-26.6209774017,0.0139847816899,0.000815661391243
1495100181701402326,64.3165740967,-497.827972412,2.19044613838,-26.402135849,-0.0128965573385,0.000883551721927
1495100181753159468,63.9738502502,-497.828887939,-7.56956481934,-25.5031394958,0.0157766155899,0.000873836048413
1495100181801504300,64.4026947021,-497.789794922,-6.80135822296,-24.4443225861,-0.0113260485232,0.00088059558766
1495100181851756782,64.0228652954,-497.648010254,-10.1211290359,-23.6032810211,0.0190137960017,0.00084186787717
1495100181901904500,64.4107513428,-497.750061035,-9.30621528625,-22.6982574463,-0.0113151622936,0.00084654300008
1495100181951413240,64.0169067383,-497.576080322,-6.83877420425,-23.7705421448,0.0200862213969,0.000813265447505
1495100182001654401,64.4506759644,-497.637390137,-6.06229400635,-23.5471172333,-0.00843687076122,0.000861799868289
1495100182051354930,64.0459213257,-497.523773193,0.653437912464,-24.3056964874,0.0263077281415,0.000852011842653
1495100182101846407,64.454460144,-497.58807373,1.75487852097,-24.8179130554,-0.0149377230555,0.00086137332255
1495100182151713152,64.0487365723,-497.618377686,3.07203054428,-24.6066246033,0.0228516235948,0.000879517523572
1495100182201366883,64.501121521,-497.53604126,4.19145011902,-25.2554149628,-0.0197724942118,0.000847760296892
1495100182251490505,64.0817565918,-497.603485107,-1.53240048885,-25.4919013977,0.0201645903289,0.000872086442541
1495100182301895518,64.5353851318,-497.594177246,-5.88163089752,-24.9216785431,-0.0208601113409,0.000870903371833
1495100182351432336,64.0716247559,-497.510253906,-10.5212488174,-23.6901950836,0.0251272134483,0.000851377786603
1495100182401948397,64.5682449341,-497.61151123,-9.48352527618,-23.3008422852,-0.0147566832602,0.000822370697279
1495100182452052884,64.1014022827,-497.394561768,-14.7538547516,-21.0488891602,0.0281717553735,0.000808422861155
1495100182501548770,64.5776901245,-497.621856689,-13.6148986816,-20.3376197815,-0.01495643612,0.000755191780627
1495100182551601014,64.1031112671,-497.302368164,-14.0424804688,-20.7224292755,0.0263548549265,0.000730082683731
1495100182601847559,64.6344070435,-497.522338867,-12.8749094009,-20.1830558777,-0.0178169719875,0.000766082084738
1495100182651418387,64.1311035156,-497.208465576,-9.57537651062,-22.3474140167,0.0264859143645,0.000744734483305
1495100182701771718,64.6617889404,-497.457946777,-8.31156730652,-22.3578834534,-0.0213998053223,0.000824571819976
1495100182752546544,64.099281311,-497.258789062,-3.56659865379,-23.8179931641,0.0297841653228,0.000822015630547
1495100182801592094,64.7044219971,-497.349060059,-2.08062291145,-24.3025360107,-0.0262048970908,0.000858017592691
1495100182851351845,64.099067688,-497.299560547,1.10023844242,-24.4153671265,0.0311814658344,0.000874131685123
1495100182901966869,64.7166442871,-497.322113037,2.64440369606,-25.1452350616,-0.0271902829409,0.000851609685924
1495100182951192614,64.0811538696,-497.402984619,-3.83308243752,-25.0480861664,0.0339914858341,0.000878530205227
1495100183001808330,64.7853927612,-497.369384766,-2.16927075386,-25.5097332001,-0.030104432255,0.00085778493667
1495100183051523665,64.0823059082,-497.290283203,-13.2112369537,-22.4341087341,0.0353097096086,0.000874540128279
1495100183101922394,64.7725601196,-497.52520752,-11.875084877,-22.485830307,-0.0147963510826,0.000763260060921
1495100183151457252,64.0676040649,-497.13394165,-18.7396144867,-18.5443191528,0.0466412715614,0.000766842858866
1495100183201276086,64.8063049316,-497.57244873,-16.5882549286,-18.1775836945,-0.0356713160872,0.000640977290459
1495100183251737392,64.165435791,-496.950012207,-16.4372329712,-19.5174102783,0.0179039202631,0.000629596353974
1495100183301676009,64.8746109009,-497.504882812,-15.0826301575,-18.6019439697,-0.0564705729485,0.000696586736012
1495100183351424652,64.1203231812,-496.935577393,-17.5436954498,-18.2230129242,0.036630962044,0.000669210741762
1495100183401927934,64.8528137207,-497.478851318,-23.515209198,-5.05909156799,-0.0338407158852,0.000644185463898
1495100183451676228,64.4482269287,-496.68347168,-20.8993968964,-13.477766037,0.00488614616916,0.0001704578317
1495100183501726164,64.7149276733,-497.599639893,-20.422252655,-14.5376882553,-0.0138617623597,0.000452399661299
1495100183551405390,64.2471618652,-496.801452637,-0.124986343086,24.1533107758,0.0291026458144,0.000481589289848
1495100183601434100,63.9858551025,-497.245117188,-0.760646402836,23.0800075531,0.0497766137123,-0.000953619135544
1495100183651450166,64.9556884766,-497.097167969,-23.1304187775,5.383685112,-0.0283233355731,-0.00087622978026
1495100183701999400,64.3310775757,-497.691497803,-25.2081184387,4.88737249374,0.0523580312729,-0.000264647125732
1495100183751833599,64.6058425903,-496.719543457,-25.6067867279,-5.59872055054,0.030189383775,-0.000262014917098
1495100183801484253,64.6031188965,-497.541107178,-25.2273902893,-4.88557958603,0.0143973827362,0.000144502831972
1495100183851312944,64.4644317627,-496.549804688,-19.9781208038,-17.6365623474,0.0241177882999,0.000107729174488
1495100183901915607,64.9001312256,-497.305480957,-18.9000225067,-15.8795537949,-0.0179777350277,0.000634424330201
1495100183951370913,64.2357559204,-496.572875977,-17.0180034637,-19.0225467682,0.0305832829326,0.000555391306989
1495100184001486230,64.9664306641,-497.060882568,-16.0754852295,-17.6903858185,-0.00537246325985,0.000722347118426
1495100184051815884,64.1827163696,-496.449188232,-9.19398975372,-22.2460861206,0.0547759607434,0.000668191933073
1495100184101947884,65.0543670654,-496.904174805,-6.8651432991,-22.5064182281,-0.0337481573224,0.00082656746963
