%time,field.DevID,field.MsgID,field.Data,field.Time
1495214139700628543,10,5,75,1495214139.69
1495214139705708239,10,3,75,1495214139.69
1495214139759194649,10,5,76,1495214139.74
1495214139764927223,10,3,76,1495214139.74
1495214139803460613,10,5,77,1495214139.79
1495214139808639276,10,3,77,1495214139.79
1495214139847872828,10,5,78,1495214139.84
1495214139847939946,10,3,78,1495214139.84
1495214139896068133,10,5,79,1495214139.89
1495214139896184069,10,3,79,1495214139.89
1495214139950847093,10,5,80,1495214139.94
1495214139955992722,10,3,80,1495214139.94
1495214139994571649,10,5,81,1495214139.99
1495214139997745868,10,3,81,1495214139.99
1495214140041419993,10,5,82,1495214140.04
1495214140044747790,10,3,82,1495214140.04
1495214140091830103,10,5,83,1495214140.09
1495214140096718158,10,3,83,1495214140.09
1495214140142141392,10,5,83,1495214140.14
1495214140147966855,10,3,83,1495214140.14
1495214140194758630,10,5,84,1495214140.19
1495214140198319068,10,3,84,1495214140.19
1495214140241617102,10,5,85,1495214140.24
1495214140244943292,10,3,85,1495214140.24
1495214140291269922,10,5,86,1495214140.29
1495214140294858367,10,3,86,1495214140.29
1495214140342223049,10,5,87,1495214140.34
1495214140345640316,10,3,87,1495214140.34
1495214140391969530,10,5,88,1495214140.39
1495214140395873171,10,3,88,1495214140.39
1495214140443033917,10,5,89,1495214140.44
1495214140447905692,10,3,89,1495214140.44
1495214140491262327,10,5,90,1495214140.49
1495214140494768356,10,3,90,1495214140.49
1495214140541912620,10,5,91,1495214140.54
1495214140545321153,10,3,91,1495214140.54
1495214140591741093,10,5,92,1495214140.59
1495214140591789842,10,3,92,1495214140.59
1495214140644135328,10,5,93,1495214140.64
1495214140648338164,10,3,93,1495214140.64
1495214140691487507,10,5,94,1495214140.69
1495214140697531432,10,3,94,1495214140.69
1495214140742645481,10,5,95,1495214140.74
1495214140752118052,10,3,95,1495214140.74
1495214140799621858,10,5,96,1495214140.79
1495214140802215764,10,3,96,1495214140.79
1495214140845316217,10,5,96,1495214140.84
1495214140849807572,10,3,96,1495214140.84
1495214140893751775,10,5,97,1495214140.89
1495214140897300200,10,3,97,1495214140.89
1495214140944147361,10,5,98,1495214140.94
1495214140949651480,10,3,98,1495214140.94
1495214140994652454,10,5,99,1495214140.99
1495214141000682272,10,3,99,1495214140.99
1495214141047121696,10,5,100,1495214141.04
1495214141051130729,10,3,100,1495214141.04
1495214141091498638,10,5,101,1495214141.09
1495214141095879643,10,3,101,1495214141.09
1495214141142806210,10,5,102,1495214141.14
1495214141145661115,10,3,102,1495214141.14
1495214141193350629,10,5,103,1495214141.19
1495214141196871956,10,3,103,1495214141.19
1495214141243874302,10,5,103,1495214141.24
1495214141249655344,10,3,103,1495214141.24
1495214141291595102,10,5,103,1495214141.29
1495214141297004313,10,3,103,1495214141.29
1495214141341752877,10,5,103,1495214141.34
1495214141344675386,10,3,103,1495214141.34
1495214141391592734,10,5,103,1495214141.39
1495214141394396374,10,3,103,1495214141.39
1495214141442676746,10,5,103,1495214141.44
1495214141445311299,10,3,103,1495214141.44
1495214141493768161,10,5,103,1495214141.49
1495214141496427089,10,3,103,1495214141.49
1495214141543996335,10,5,103,1495214141.54
1495214141547487491,10,3,103,1495214141.54
1495214141593501930,10,5,103,1495214141.59
1495214141596358789,10,3,103,1495214141.59
1495214141644153414,10,5,103,1495214141.64
1495214141649736387,10,3,103,1495214141.64
1495214141693695330,10,5,103,1495214141.69
1495214141698537704,10,3,103,1495214141.69
1495214141744028477,10,5,103,1495214141.74
1495214141748097567,10,3,103,1495214141.74
1495214141794105654,10,5,103,1495214141.79
1495214141798442028,10,3,103,1495214141.79
1495214141843648755,10,5,103,1495214141.84
1495214141846262844,10,3,103,1495214141.84
1495214141893783552,10,5,103,1495214141.89
1495214141897724768,10,3,103,1495214141.89
1495214141941529501,10,5,103,1495214141.94
1495214141941598085,10,3,103,1495214141.94
1495214141995963378,10,5,103,1495214141.99
1495214141996027772,10,3,103,1495214141.99
1495214142043496658,10,5,103,1495214142.04
1495214142043559236,10,3,103,1495214142.04
1495214142091460857,10,5,103,1495214142.09
1495214142094466265,10,3,103,1495214142.09
