%time,field.DevID,field.MsgID,field.Data,field.Time
1495278871574901218,10,5,76,1495278871.57
1495278871575200278,10,3,76,1495278871.57
1495278871624664529,10,5,77,1495278871.62
1495278871624720402,10,3,77,1495278871.62
1495278871674629403,10,5,78,1495278871.67
1495278871674688768,10,3,78,1495278871.67
1495278871728276867,10,5,79,1495278871.72
1495278871728342169,10,3,79,1495278871.72
1495278871787472454,10,5,80,1495278871.77
1495278871787546625,10,3,80,1495278871.77
1495278871828265001,10,5,81,1495278871.82
1495278871828327998,10,3,81,1495278871.82
1495278871878573983,10,5,82,1495278871.87
1495278871883318441,10,3,82,1495278871.87
1495278871926887459,10,5,83,1495278871.92
1495278871931728577,10,3,83,1495278871.92
1495278871979536193,10,5,83,1495278871.97
1495278871983228352,10,3,83,1495278871.97
1495278872026256380,10,5,84,1495278872.02
1495278872032145606,10,3,84,1495278872.02
1495278872077118434,10,5,85,1495278872.07
1495278872083167178,10,3,85,1495278872.07
1495278872125892654,10,5,86,1495278872.12
1495278872130442115,10,3,86,1495278872.12
1495278872175745432,10,5,87,1495278872.17
1495278872182219788,10,3,87,1495278872.17
1495278872225918641,10,5,88,1495278872.22
1495278872230287423,10,3,88,1495278872.22
1495278872277055661,10,5,89,1495278872.27
1495278872282578780,10,3,89,1495278872.27
1495278872325148648,10,5,90,1495278872.32
1495278872328540839,10,3,90,1495278872.32
1495278872375825623,10,5,91,1495278872.37
1495278872380701942,10,3,91,1495278872.37
1495278872424953100,10,5,92,1495278872.42
1495278872427865970,10,3,92,1495278872.42
1495278872480491377,10,5,93,1495278872.47
1495278872481427041,10,3,93,1495278872.47
1495278872528263863,10,5,94,1495278872.52
1495278872532000441,10,3,94,1495278872.52
1495278872582925353,10,5,95,1495278872.57
1495278872583611125,10,3,95,1495278872.57
1495278872625344644,10,5,96,1495278872.62
1495278872625394720,10,3,96,1495278872.62
1495278872675404152,10,5,96,1495278872.67
1495278872675460235,10,3,96,1495278872.67
1495278872725700981,10,5,97,1495278872.72
1495278872725755737,10,3,97,1495278872.72
1495278872775604883,10,5,98,1495278872.77
1495278872775661524,10,3,98,1495278872.77
1495278872828365363,10,5,99,1495278872.82
1495278872828418443,10,3,99,1495278872.82
1495278872877697894,10,5,100,1495278872.87
1495278872877990319,10,3,100,1495278872.87
1495278872927517497,10,5,101,1495278872.92
1495278872931459828,10,3,101,1495278872.92
1495278872977745532,10,5,102,1495278872.97
1495278872982377965,10,3,102,1495278872.97
1495278873027464145,10,5,103,1495278873.02
1495278873030607701,10,3,103,1495278873.02
1495278873078670238,10,5,104,1495278873.07
1495278873080897127,10,3,104,1495278873.07
1495278873124761853,10,5,105,1495278873.12
1495278873124812977,10,3,105,1495278873.12
1495278873174495552,10,5,106,1495278873.17
1495278873174619590,10,3,106,1495278873.17
1495278873224705289,10,5,107,1495278873.22
1495278873224762978,10,3,107,1495278873.22
1495278873274507153,10,5,108,1495278873.27
1495278873274561280,10,3,108,1495278873.27
1495278873324700686,10,5,109,1495278873.32
1495278873324756978,10,3,109,1495278873.32
1495278873374307064,10,5,109,1495278873.37
1495278873375930385,10,3,109,1495278873.37
1495278873424668427,10,5,110,1495278873.42
1495278873426762757,10,3,110,1495278873.42
1495278873474384805,10,5,111,1495278873.47
1495278873476923815,10,3,111,1495278873.47
1495278873524609627,10,5,112,1495278873.52
1495278873526582853,10,3,112,1495278873.52
1495278873574522399,10,5,113,1495278873.57
1495278873574577155,10,3,113,1495278873.57
1495278873624731647,10,5,114,1495278873.62
1495278873624785076,10,3,114,1495278873.62
1495278873674594762,10,5,115,1495278873.67
1495278873674665650,10,3,115,1495278873.67
1495278873724671521,10,5,116,1495278873.72
1495278873724723902,10,3,116,1495278873.72
1495278873774532191,10,5,117,1495278873.77
1495278873774590578,10,3,117,1495278873.77
1495278873825109013,10,5,118,1495278873.82
1495278873825173128,10,3,118,1495278873.82
1495278873878872484,10,5,119,1495278873.87
1495278873878934643,10,3,119,1495278873.87
1495278873924645344,10,5,120,1495278873.92
1495278873924717141,10,3,120,1495278873.92
1495278873974583259,10,5,121,1495278873.97
1495278873974635709,10,3,121,1495278873.97
1495278874024605262,10,5,122,1495278874.02
1495278874024662323,10,3,122,1495278874.02
1495278874079578314,10,5,123,1495278874.07
1495278874079730638,10,3,123,1495278874.07
1495278874127247924,10,5,123,1495278874.12
1495278874127327682,10,3,123,1495278874.12
1495278874176407387,10,5,124,1495278874.17
1495278874176472549,10,3,124,1495278874.17
1495278874228347582,10,5,125,1495278874.22
1495278874228412045,10,3,125,1495278874.22
1495278874281243414,10,5,126,1495278874.27
1495278874281342030,10,3,126,1495278874.27
1495278874324151385,10,5,127,1495278874.32
1495278874324250839,10,3,127,1495278874.32
1495278874377460259,10,5,128,1495278874.37
1495278874377511871,10,3,128,1495278874.37
1495278874425734065,10,5,83,1495278874.42
1495278874425840433,10,3,83,1495278874.42
1495278874476193345,10,5,83,1495278874.47
1495278874476293427,10,3,83,1495278874.47
1495278874526884428,10,5,80,1495278874.52
1495278874526985907,10,3,80,1495278874.52
1495278874575940526,10,5,80,1495278874.57
1495278874578400197,10,3,80,1495278874.57
1495278874626787635,10,5,77,1495278874.62
1495278874632512595,10,3,77,1495278874.62
1495278874677551632,10,5,77,1495278874.67
1495278874679377004,10,3,77,1495278874.67
1495278874725183946,10,5,71,1495278874.72
1495278874726977261,10,3,71,1495278874.72
1495278874775012559,10,5,71,1495278874.77
1495278874776133023,10,3,71,1495278874.77
1495278874825563680,10,5,-96,1495278874.82
1495278874825655033,10,3,-96,1495278874.82
1495278874876203849,10,5,-96,1495278874.87
1495278874876285493,10,3,-96,1495278874.87
1495278874925071446,10,5,74,1495278874.92
1495278874925891732,10,3,74,1495278874.92
1495278874976017310,10,5,73,1495278874.97
1495278874976118021,10,3,73,1495278874.97
1495278875026397320,10,5,-93,1495278875.02
1495278875026504037,10,3,-93,1495278875.02
1495278875078410917,10,5,-94,1495278875.07
1495278875079767025,10,3,-94,1495278875.07
1495278875126607200,10,5,75,1495278875.12
1495278875131326864,10,3,75,1495278875.12
1495278875176688429,10,5,75,1495278875.17
1495278875176799756,10,3,75,1495278875.17
1495278875226792566,10,5,-92,1495278875.22
1495278875227051677,10,3,-92,1495278875.22
1495278875276481636,10,5,-92,1495278875.27
1495278875276592823,10,3,-92,1495278875.27
1495278875323602851,10,5,83,1495278875.32
1495278875323661099,10,3,83,1495278875.32
