%time,field.DevID,field.MsgID,field.Data,field.Time
1495284671463899612,10,5,70,1495284671.46
1495284671464387942,10,3,70,1495284671.46
1495284671513157063,10,5,70,1495284671.51
1495284671513402206,10,3,70,1495284671.51
1495284671563671517,10,5,70,1495284671.56
1495284671564103276,10,3,70,1495284671.56
1495284671613079825,10,5,70,1495284671.61
1495284671613310441,10,3,70,1495284671.61
1495284671663509911,10,5,70,1495284671.66
1495284671664028832,10,3,70,1495284671.66
1495284671718911021,10,5,70,1495284671.71
1495284671719301364,10,3,70,1495284671.71
1495284671767042910,10,5,70,1495284671.76
1495284671767146903,10,3,70,1495284671.76
1495284671816675269,10,5,70,1495284671.81
1495284671816735542,10,3,70,1495284671.81
1495284671863428840,10,5,70,1495284671.86
1495284671866161101,10,3,70,1495284671.86
1495284671914486031,10,5,70,1495284671.91
1495284671914546513,10,3,70,1495284671.91
1495284671966378873,10,5,70,1495284671.96
1495284671966441520,10,3,70,1495284671.96
1495284672015856743,10,5,70,1495284672.01
1495284672015926095,10,3,70,1495284672.01
1495284672064713933,10,5,70,1495284672.06
1495284672064762054,10,3,70,1495284672.06
1495284672116269931,10,5,70,1495284672.11
1495284672116332439,10,3,70,1495284672.11
1495284672166485045,10,5,70,1495284672.16
1495284672167057604,10,3,70,1495284672.16
1495284672213415455,10,5,70,1495284672.21
1495284672216783550,10,3,70,1495284672.21
1495284672264455255,10,5,70,1495284672.26
1495284672266959414,10,3,70,1495284672.26
1495284672313339055,10,5,70,1495284672.31
1495284672316539322,10,3,70,1495284672.31
1495284672366341815,10,5,70,1495284672.36
1495284672366817364,10,3,70,1495284672.36
1495284672416461387,10,5,70,1495284672.41
1495284672416980447,10,3,70,1495284672.41
1495284672466352577,10,5,70,1495284672.46
1495284672466928698,10,3,70,1495284672.46
1495284672515975368,10,5,70,1495284672.51
1495284672516507559,10,3,70,1495284672.51
1495284672566169949,10,5,70,1495284672.56
1495284672566737969,10,3,70,1495284672.56
1495284672613418276,10,5,70,1495284672.61
1495284672616731896,10,3,70,1495284672.61
1495284672666174287,10,5,70,1495284672.66
1495284672666770242,10,3,70,1495284672.66
1495284672713490639,10,5,70,1495284672.71
1495284672716828982,10,3,70,1495284672.71
1495284672766151386,10,5,70,1495284672.76
1495284672766428656,10,3,70,1495284672.76
1495284672813392938,10,5,70,1495284672.81
1495284672816512119,10,3,70,1495284672.81
1495284672864747583,10,5,70,1495284672.86
1495284672865752389,10,3,70,1495284672.86
1495284672913306900,10,5,70,1495284672.91
1495284672916549841,10,3,70,1495284672.91
1495284672964605393,10,5,70,1495284672.96
1495284672966949685,10,3,70,1495284672.96
1495284673013441282,10,5,70,1495284673.01
1495284673016722425,10,3,70,1495284673.01
1495284673064452936,10,5,70,1495284673.06
1495284673066710975,10,3,70,1495284673.06
1495284673113312013,10,5,70,1495284673.11
1495284673116235639,10,3,70,1495284673.11
1495284673164648010,10,5,70,1495284673.16
1495284673165682779,10,3,70,1495284673.16
1495284673213567150,10,5,70,1495284673.21
1495284673216661258,10,3,70,1495284673.21
1495284673265162398,10,5,70,1495284673.26
1495284673265217293,10,3,70,1495284673.26
1495284673314897214,10,5,70,1495284673.31
1495284673314947849,10,3,70,1495284673.31
1495284673364616665,10,5,70,1495284673.36
1495284673364665275,10,3,70,1495284673.36
1495284673413348211,10,5,70,1495284673.41
1495284673413400173,10,3,70,1495284673.41
1495284673464469936,10,5,70,1495284673.46
1495284673464530837,10,3,70,1495284673.46
1495284673513351710,10,5,70,1495284673.51
1495284673513403183,10,3,70,1495284673.51
1495284673564461911,10,5,70,1495284673.56
1495284673564561225,10,3,70,1495284673.56
1495284673613384613,10,5,70,1495284673.61
1495284673613434340,10,3,70,1495284673.61
1495284673664120394,10,5,70,1495284673.66
1495284673664169632,10,3,70,1495284673.66
1495284673715227242,10,5,70,1495284673.71
1495284673715689103,10,3,70,1495284673.71
1495284673765607252,10,5,70,1495284673.76
1495284673765661170,10,3,70,1495284673.76
1495284673813583465,10,5,70,1495284673.81
1495284673813647789,10,3,70,1495284673.81
1495284673863452935,10,5,70,1495284673.86
1495284673863506364,10,3,70,1495284673.86
1495284673912884710,10,5,70,1495284673.91
1495284673912942399,10,3,70,1495284673.91
1495284673964267571,10,5,70,1495284673.96
1495284673964334479,10,3,70,1495284673.96
1495284674013614279,10,5,70,1495284674.01
1495284674013679301,10,3,70,1495284674.01
1495284674063651717,10,5,70,1495284674.06
1495284674063699698,10,3,70,1495284674.06
1495284674113531035,10,5,70,1495284674.11
1495284674113592076,10,3,70,1495284674.11
1495284674164559032,10,5,70,1495284674.16
1495284674164617350,10,3,70,1495284674.16
1495284674213602350,10,5,70,1495284674.21
1495284674213707601,10,3,70,1495284674.21
1495284674263724506,10,5,70,1495284674.26
1495284674263791134,10,3,70,1495284674.26
1495284674313933544,10,5,70,1495284674.31
1495284674314037189,10,3,70,1495284674.31
1495284674362986919,10,5,136,1495284674.36
1495284674363051173,10,3,70,1495284674.36
1495284674413889342,10,5,136,1495284674.41
1495284674413992078,10,3,70,1495284674.41
1495284674462929167,10,5,136,1495284674.46
1495284674462987136,10,3,70,1495284674.46
1495284674513684225,10,5,136,1495284674.51
1495284674513785215,10,3,70,1495284674.51
1495284674563306597,10,5,136,1495284674.56
1495284674563407308,10,3,70,1495284674.56
1495284674613940689,10,5,136,1495284674.61
1495284674614048105,10,3,70,1495284674.61
1495284674663548185,10,5,136,1495284674.66
1495284674663637442,10,3,70,1495284674.66
1495284674713947052,10,5,136,1495284674.71
1495284674714051185,10,3,70,1495284674.71
1495284674762775048,10,5,136,1495284674.76
1495284674763012509,10,3,70,1495284674.76
1495284674813609585,10,5,136,1495284674.81
1495284674814748348,10,3,70,1495284674.81
1495284674863539189,10,5,136,1495284674.86
1495284674863940637,10,3,70,1495284674.86
1495284674914697510,10,5,136,1495284674.91
