%time,field.DevID,field.MsgID,field.Data,field.Time
1495284162161633717,10,5,-91,1495284162.16
1495284162163277362,10,3,-91,1495284162.16
1495284162218893303,10,5,-91,1495284162.21
1495284162219455455,10,3,-91,1495284162.21
1495284162263724702,10,5,-91,1495284162.26
1495284162264394690,10,3,-91,1495284162.26
1495284162314257665,10,5,-91,1495284162.31
1495284162316730954,10,3,-91,1495284162.31
1495284162363749852,10,5,-91,1495284162.36
1495284162364755287,10,3,-91,1495284162.36
1495284162422394879,10,5,-91,1495284162.41
1495284162422916314,10,3,-91,1495284162.41
1495284162463380888,10,5,-91,1495284162.46
1495284162463440113,10,3,-91,1495284162.46
1495284162517162168,10,5,-91,1495284162.51
1495284162517228447,10,3,-91,1495284162.51
1495284162564415174,10,5,-91,1495284162.56
1495284162564530971,10,3,-91,1495284162.56
1495284162612991114,10,5,-91,1495284162.61
1495284162613479374,10,3,-91,1495284162.61
1495284162662669079,10,5,-91,1495284162.66
1495284162665480750,10,3,-91,1495284162.66
1495284162712387273,10,5,-91,1495284162.71
1495284162713240035,10,3,-91,1495284162.71
1495284162761141099,10,5,-91,1495284162.76
1495284162764301207,10,3,-91,1495284162.76
1495284162811069026,10,5,-91,1495284162.81
1495284162814021566,10,3,-91,1495284162.81
1495284162861325696,10,5,-91,1495284162.86
1495284162864380833,10,3,-91,1495284162.86
1495284162912779586,10,5,-91,1495284162.91
1495284162913030805,10,3,-91,1495284162.91
1495284162961319557,10,5,-91,1495284162.96
1495284162964543081,10,3,-91,1495284162.96
1495284163016988717,10,5,-91,1495284163.01
1495284163017312012,10,3,-91,1495284163.01
1495284163067962587,10,5,-91,1495284163.06
1495284163068312492,10,3,-91,1495284163.06
1495284163118504350,10,5,-91,1495284163.11
1495284163118910058,10,3,-91,1495284163.11
1495284163166634213,10,5,-91,1495284163.16
1495284163168640474,10,3,-91,1495284163.16
1495284163215025143,10,5,-91,1495284163.21
1495284163215964090,10,3,-91,1495284163.21
1495284163262883115,10,5,-91,1495284163.26
1495284163263448340,10,3,-91,1495284163.26
1495284163313729804,10,5,-91,1495284163.31
1495284163316043786,10,3,-91,1495284163.31
1495284163363061915,10,5,-91,1495284163.36
1495284163365658614,10,3,-91,1495284163.36
1495284163415460548,10,5,-91,1495284163.41
1495284163415875964,10,3,-91,1495284163.41
1495284163466002590,10,5,-91,1495284163.46
1495284163467441599,10,3,-91,1495284163.46
1495284163514484663,10,5,-91,1495284163.51
1495284163516788028,10,3,-91,1495284163.51
1495284163562807218,10,5,-91,1495284163.56
1495284163563202380,10,3,-91,1495284163.56
1495284163614187984,10,5,-91,1495284163.61
1495284163616525362,10,3,-91,1495284163.61
1495284163662989092,10,5,-91,1495284163.66
1495284163665175683,10,3,-91,1495284163.66
1495284163713813572,10,5,-91,1495284163.71
1495284163716310118,10,3,-91,1495284163.71
1495284163762989588,10,5,-91,1495284163.76
1495284163763435874,10,3,-91,1495284163.76
1495284163813770906,10,5,-91,1495284163.81
1495284163815588944,10,3,-91,1495284163.81
1495284163861721347,10,5,-91,1495284163.86
1495284163862051068,10,3,-91,1495284163.86
1495284163914948437,10,5,-91,1495284163.91
1495284163916747548,10,3,-91,1495284163.91
1495284163963051691,10,5,-91,1495284163.96
1495284163966012891,10,3,-91,1495284163.96
1495284164015856869,10,5,-91,1495284164.01
1495284164016477549,10,3,-91,1495284164.01
1495284164063248441,10,5,-91,1495284164.06
1495284164064236206,10,3,-91,1495284164.06
1495284164113779587,10,5,-91,1495284164.11
1495284164113841536,10,3,-91,1495284164.11
1495284164165685140,10,5,-91,1495284164.16
1495284164165750092,10,3,-91,1495284164.16
1495284164214214077,10,5,-91,1495284164.21
1495284164214316953,10,3,-91,1495284164.21
1495284164265234531,10,5,-91,1495284164.26
1495284164265300112,10,3,-91,1495284164.26
1495284164314339030,10,5,-91,1495284164.31
1495284164314404052,10,3,-91,1495284164.31
1495284164366802335,10,5,-91,1495284164.36
1495284164366884678,10,3,-91,1495284164.36
1495284164411788852,10,5,-91,1495284164.41
1495284164411856179,10,3,-91,1495284164.41
1495284164461757636,10,5,-91,1495284164.46
1495284164461830481,10,3,-91,1495284164.46
1495284164516130054,10,5,-91,1495284164.51
1495284164516252555,10,3,-91,1495284164.51
1495284164563464983,10,5,-91,1495284164.56
1495284164563615561,10,3,-91,1495284164.56
1495284164612986923,10,5,-91,1495284164.61
1495284164613047406,10,3,-91,1495284164.61
1495284164662448451,10,5,-91,1495284164.66
1495284164662514032,10,3,-91,1495284164.66
1495284164714611439,10,5,-91,1495284164.71
1495284164714667312,10,3,-91,1495284164.71
1495284164762788026,10,5,-91,1495284164.76
1495284164762854026,10,3,-91,1495284164.76
1495284164814392703,10,5,-91,1495284164.81
1495284164814455490,10,3,-91,1495284164.81
1495284164865750491,10,5,-91,1495284164.86
1495284164865848338,10,3,-91,1495284164.86
1495284164915330050,10,5,-91,1495284164.91
1495284164918612241,10,3,-91,1495284164.91
1495284164965162923,10,5,136,1495284164.96
1495284164965599571,10,3,-177,1495284164.96
1495284165017437168,10,5,136,1495284165.01
1495284165017507149,10,3,-177,1495284165.01
1495284165065976371,10,5,136,1495284165.06
1495284165066556403,10,3,-177,1495284165.06
1495284165116983416,10,5,136,1495284165.11
1495284165117814737,10,3,-177,1495284165.11
1495284165167219763,10,5,136,1495284165.16
1495284165167306366,10,3,-177,1495284165.16
1495284165217381379,10,5,136,1495284165.21
1495284165217789461,10,3,-177,1495284165.21
1495284165260720340,10,5,136,1495284165.26
1495284165261804207,10,3,-177,1495284165.26
1495284165320314440,10,5,136,1495284165.31
1495284165320371780,10,3,-177,1495284165.31
1495284165365148563,10,5,136,1495284165.36
1495284165365250811,10,3,-177,1495284165.36
1495284165413400649,10,5,136,1495284165.41
1495284165413485576,10,3,-177,1495284165.41
1495284165463767319,10,5,136,1495284165.46
1495284165465091999,10,3,-177,1495284165.46
1495284165518293946,10,5,136,1495284165.51
1495284165518390187,10,3,-177,1495284165.51
1495284165566857873,10,5,136,1495284165.56
1495284165566964591,10,3,-177,1495284165.56
1495284165616695146,10,5,136,1495284165.61
1495284165616784473,10,3,-177,1495284165.61
1495284165663259936,10,5,136,1495284165.66
1495284165663929435,10,3,-177,1495284165.66
1495284165716989744,10,5,136,1495284165.71
1495284165717086125,10,3,-177,1495284165.71
1495284165764522534,10,5,136,1495284165.76
1495284165764743093,10,3,-177,1495284165.76
1495284165816695090,10,5,136,1495284165.81
1495284165817764570,10,3,-177,1495284165.81
1495284165865356795,10,5,136,1495284165.86
1495284165865459183,10,3,-177,1495284165.86
1495284165915876348,10,5,136,1495284165.91
1495284165916466018,10,3,-177,1495284165.91
1495284165965393050,10,5,136,1495284165.96
1495284165966290720,10,3,-177,1495284165.96
1495284166015337041,10,5,136,1495284166.01
1495284166015803580,10,3,-177,1495284166.01
1495284166065028346,10,5,136,1495284166.06
1495284166065204276,10,3,-177,1495284166.06
1495284166116780457,10,5,136,1495284166.11
1495284166116866781,10,3,-177,1495284166.11
1495284166163191457,10,5,136,1495284166.16
1495284166164412841,10,3,-177,1495284166.16
1495284166216094902,10,5,136,1495284166.21
1495284166216168934,10,3,-177,1495284166.21
1495284166273129949,10,5,136,1495284166.26
1495284166273176742,10,3,-177,1495284166.26
1495284166314469493,10,5,136,1495284166.31
1495284166314622795,10,3,-177,1495284166.31
1495284166366327135,10,5,136,1495284166.36
1495284166366392646,10,3,-177,1495284166.36
1495284166415049392,10,5,136,1495284166.41
1495284166420405311,10,3,-177,1495284166.41
1495284166464236723,10,5,136,1495284166.46
1495284166464286031,10,3,-177,1495284166.46
1495284166518069406,10,5,136,1495284166.51
1495284166518148956,10,3,-177,1495284166.51
1495284166562347523,10,5,136,1495284166.56
1495284166563509612,10,3,-177,1495284166.56
1495284166614890098,10,5,136,1495284166.61
1495284166614988225,10,3,-177,1495284166.61
1495284166666163867,10,5,136,1495284166.66
1495284166666222534,10,3,-177,1495284166.66
1495284166714726537,10,5,136,1495284166.71
1495284166716280785,10,3,-177,1495284166.71
1495284166763618718,10,5,136,1495284166.76
1495284166763670401,10,3,-177,1495284166.76
1495284166816138875,10,5,136,1495284166.81
1495284166816694322,10,3,-177,1495284166.81
1495284166862249277,10,5,136,1495284166.86
1495284166862329176,10,3,-177,1495284166.86
1495284166915852742,10,5,136,1495284166.91
1495284166915995148,10,3,-177,1495284166.91
1495284166963514180,10,5,136,1495284166.96
1495284166963571729,10,3,-177,1495284166.96
1495284167016169688,10,5,136,1495284167.01
1495284167016277873,10,3,-177,1495284167.01
1495284167063716168,10,5,136,1495284167.06
1495284167063759749,10,3,-177,1495284167.06
1495284167115322521,10,5,136,1495284167.11
1495284167115562845,10,3,-177,1495284167.11
1495284167162536346,10,5,136,1495284167.16
1495284167162594873,10,3,-177,1495284167.16
1495284167214816109,10,5,136,1495284167.21
1495284167214921639,10,3,-177,1495284167.21
1495284167262445629,10,5,136,1495284167.26
1495284167262502270,10,3,-177,1495284167.26
1495284167316788852,10,5,136,1495284167.31
1495284167316856878,10,3,-177,1495284167.31
1495284167364374722,10,5,136,1495284167.36
1495284167364423681,10,3,-177,1495284167.36
1495284167414925215,10,5,136,1495284167.41
1495284167415020897,10,3,-177,1495284167.41
1495284167462704964,10,5,136,1495284167.46
1495284167462745961,10,3,-177,1495284167.46
1495284167517254289,10,5,136,1495284167.51
1495284167517369736,10,3,-177,1495284167.51
1495284167561719790,10,5,136,1495284167.56
1495284167561786139,10,3,-177,1495284167.56
1495284167614473425,10,5,136,1495284167.61
1495284167614574905,10,3,-177,1495284167.61
1495284167662142825,10,5,136,1495284167.66
1495284167663072902,10,3,-177,1495284167.66
1495284167714907356,10,5,136,1495284167.71
1495284167715007090,10,3,-177,1495284167.71
1495284167762584089,10,5,136,1495284167.76
1495284167762642128,10,3,-177,1495284167.76
1495284167815336119,10,5,136,1495284167.81
1495284167815437179,10,3,-177,1495284167.81
1495284167863526884,10,5,136,1495284167.86
1495284167863568370,10,3,-177,1495284167.86
1495284167914723059,10,5,136,1495284167.91
1495284167914823980,10,3,-177,1495284167.91
1495284167962409640,10,5,136,1495284167.96
1495284167962469843,10,3,-177,1495284167.96
1495284168014690171,10,5,136,1495284168.01
