%time,field.DevID,field.MsgID,field.Data,field.Time
1495802636185927415,10,5,-177,1495802636.18
1495802636186436348,10,3,136,1495802636.18
1495802636236362947,10,5,-177,1495802636.23
1495802636236584065,10,3,136,1495802636.23
1495802636285561941,10,5,-177,1495802636.28
1495802636285991535,10,3,136,1495802636.28
1495802636335572281,10,5,-177,1495802636.33
1495802636339256133,10,3,136,1495802636.33
1495802636391194648,10,5,-177,1495802636.38
1495802636391572489,10,3,136,1495802636.38
1495802636436039809,10,5,-177,1495802636.43
1495802636437053554,10,3,136,1495802636.43
1495802636484232739,10,5,-177,1495802636.48
1495802636484876256,10,3,136,1495802636.48
1495802636533653547,10,5,-177,1495802636.53
1495802636534298252,10,3,136,1495802636.53
1495802636585820515,10,5,-177,1495802636.58
1495802636586549727,10,3,136,1495802636.58
1495802636637017250,10,5,-177,1495802636.63
1495802636637690869,10,3,136,1495802636.63
1495802636684981729,10,5,-177,1495802636.68
1495802636685227431,10,3,136,1495802636.68
1495802636733547263,10,5,-177,1495802636.73
1495802636735950712,10,3,136,1495802636.73
1495802636783762589,10,5,-177,1495802636.78
1495802636784087211,10,3,136,1495802636.78
1495802636834905332,10,5,-177,1495802636.83
1495802636834965326,10,3,136,1495802636.83
1495802636883678433,10,5,-177,1495802636.88
1495802636887040872,10,3,136,1495802636.88
1495802636938389094,10,5,-177,1495802636.93
1495802636939207425,10,3,136,1495802636.93
1495802636988209606,10,5,-177,1495802636.98
1495802636990876284,10,3,136,1495802636.98
1495802637034689190,10,5,-177,1495802637.03
1495802637037103323,10,3,136,1495802637.03
1495802637084629269,10,5,-177,1495802637.08
1495802637085437542,10,3,136,1495802637.08
1495802637138786084,10,5,-177,1495802637.13
1495802637141554594,10,3,136,1495802637.13
1495802637187407630,10,5,-177,1495802637.18
1495802637187466855,10,3,136,1495802637.18
1495802637238819408,10,5,-177,1495802637.23
1495802637238913135,10,3,136,1495802637.23
1495802637285594629,10,5,-177,1495802637.28
1495802637288222059,10,3,136,1495802637.28
1495802637338027972,10,5,-177,1495802637.33
1495802637339803825,10,3,136,1495802637.33
1495802637390342095,10,5,-177,1495802637.38
1495802637390958584,10,3,136,1495802637.38
1495802637439053038,10,5,-177,1495802637.43
1495802637439315222,10,3,136,1495802637.43
1495802637489846231,10,5,-177,1495802637.48
1495802637490495406,10,3,136,1495802637.48
1495802637537663345,10,5,-177,1495802637.53
1495802637537731650,10,3,136,1495802637.53
1495802637583171435,10,5,-177,1495802637.58
1495802637583535308,10,3,136,1495802637.58
1495802637633932082,10,5,-177,1495802637.63
1495802637634571619,10,3,136,1495802637.63
1495802637684453661,10,5,-177,1495802637.68
1495802637687123690,10,3,136,1495802637.68
1495802637736140957,10,5,-177,1495802637.73
1495802637736349643,10,3,136,1495802637.73
1495802637789148467,10,5,136,1495802637.78
1495802637793655675,10,3,136,1495802637.78
1495802637837056095,10,5,136,1495802637.83
1495802637840396256,10,3,136,1495802637.83
1495802637886785396,10,5,136,1495802637.88
1495802637886987866,10,3,136,1495802637.88
1495802637937822192,10,5,136,1495802637.93
1495802637940965188,10,3,136,1495802637.93
1495802637983730406,10,5,136,1495802637.98
1495802637984353040,10,3,136,1495802637.98
1495802638033319671,10,5,136,1495802638.03
1495802638035719276,10,3,136,1495802638.03
1495802638086992416,10,5,-177,1495802638.08
1495802638087775756,10,3,136,1495802638.08
1495802638137038377,10,5,-177,1495802638.13
1495802638137390866,10,3,136,1495802638.13
1495802638188931848,10,5,-177,1495802638.18
1495802638189611543,10,3,136,1495802638.18
1495802638237473984,10,5,-177,1495802638.23
