%time,field.header.seq,field.header.stamp,field.header.frame_id,field.x,field.y,field.phi,field.theta,field.psi,field.u,field.v,field.p,field.q,field.r
1495802636065609252,337,0,,-32.5017623901,-17.9536647797,0.00723780225962,0.000189638871234,1.07785010338,-0.298593103886,0.0517880879343,-0.017999920994,-0.000273533165455,0.736331939697
1495802636148825631,338,0,,-32.5177879333,-17.9788303375,-0.0126397078857,-9.74284193944e-05,1.11518871784,-0.2941827178,0.0497040115297,-0.198775097728,-0.00287067284808,0.932736635208
1495802636249598918,339,0,,-32.3967056274,-17.9995441437,-0.0209534633905,-1.9350736693e-05,1.14982688427,-0.259090900421,0.0571592152119,-0.0831375494599,0.000780776783358,1.13670051098
1495802636259454152,340,0,,-32.4083404541,-18.0227451324,-0.0170978233218,3.06386355078e-05,1.18764436245,-0.255471795797,0.0457918047905,0.0385564006865,0.00049989373656,1.33494949341
1495802636300511748,341,0,,-32.4180488586,-18.0463466644,-0.0159088075161,-6.5378160798e-05,1.2227653265,-0.251966327429,0.0405240319669,0.0118901450187,-0.000960167963058,1.52428424358
1495802636354477829,342,0,,-32.4260101318,-18.0701656342,-0.0182554721832,-0.000118079595268,1.25800549984,-0.248480945826,0.0363959558308,-0.0234666336328,-0.000527014373802,1.70955526829
1495802636453413384,343,0,,-32.2996444702,-18.0748901367,-0.0209594815969,-0.000103949882032,1.29036271572,-0.211004063487,0.0508328415453,-0.0270400978625,0.000141297176015,1.89231681824
1495802636553269519,344,0,,-32.3053436279,-18.095369339,-0.0187705960125,-7.67079909565e-05,1.32278323174,-0.208419069648,0.0417979843915,0.0218888465315,0.000272418896202,2.07060861588
1495802636654381678,345,0,,-32.1436576843,-18.0941200256,-0.0194619931281,-0.000120625365525,1.36002969742,-0.17658649385,0.0521758086979,-0.00691397255287,-0.00043917374569,2.24292397499
1495802636759174196,346,0,,-32.1474533081,-18.1117172241,-0.018694896251,-0.000130233296659,1.40580964088,-0.174744099379,0.0432709753513,0.00767097808421,-9.60793186096e-05,2.4112663269
1495802636858885756,347,0,,-32.0105857849,-18.1061611176,-0.0205305144191,-0.000154081601067,1.45116388798,-0.147788882256,0.0524508394301,-0.018356192857,-0.000238483029534,2.57533526421
1495802636955737178,348,0,,-32.0125732422,-18.121301651,-0.0200160183012,-0.000143537006807,1.49029588699,-0.146573096514,0.0428361706436,0.0051449611783,0.000105445855297,2.73606300354
1495802637058737988,349,0,,-31.8957939148,-18.112613678,-0.0217250138521,-0.000165628327522,1.52424931526,-0.117991872132,0.0448689162731,-0.0170899499208,-0.000220913105295,2.89260601997
1495802637158574215,350,0,,-31.8963680267,-18.1249103546,-0.0225711800158,-0.000169230057509,1.5589247942,-0.117429159582,0.0369314774871,-0.0084616644308,-3.6017405364e-05,3.04633998871
1495802637248396461,351,0,,-31.7962779999,-18.1135616302,-0.0244859475642,-0.000179845592356,1.60289859772,-0.0916579738259,0.0347104258835,-0.0191476773471,-0.000106155297544,3.19685935974
1495802637260360273,352,0,,-31.7155513763,-18.1030349731,-0.0258765611798,-0.000185000462807,1.63932323456,-0.0737636834383,0.0325452126563,-0.0139061333612,-5.15486899531e-05,3.34477329254
1495802637300440652,353,0,,-31.7150020599,-18.1109046936,-0.0267049372196,-0.000194402120542,1.6859074831,-0.0741700977087,0.0268883574754,-0.00828374829143,-9.40166210057e-05,3.4895131588
1495802637359463172,354,0,,-31.7135791779,-18.1185665131,-0.0282004103065,-0.000205327931326,1.72861254215,-0.0745668560266,0.0226319562644,-0.0149547336623,-0.000109258071461,3.63118267059
1495802637461933322,355,0,,-31.6376571655,-18.1041851044,-0.0298342648894,-0.000204268624657,1.77914762497,-0.0549250468612,0.0334985814989,-0.0163385421038,1.05929966594e-05,3.77034401894
1495802637554112364,356,0,,-31.6366939545,-18.1102771759,-0.0281084235758,-0.000191321698367,1.82079946995,-0.0557366423309,0.0263967979699,0.0172584000975,0.000129469393869,3.90592026711
1495802637658035566,357,0,,-31.5723323822,-18.1028957367,-0.0287904068828,-0.000223942755838,1.85663449764,-0.0401841327548,0.0333780124784,-0.00681982096285,-0.00032621063292,4.03704404831
1495802637758264861,358,0,,-31.5716915131,-18.1077651978,-0.0284826643765,-0.000224738410907,1.88552677631,-0.0413105487823,0.0265665408224,0.00307742180303,-7.95654614194e-06,4.16532373428
1495802637857892124,359,0,,-31.5344791412,-18.078742981,-0.00873463600874,0.0285797081888,1.91119265556,0.209118410945,0.0178038440645,0.197480276227,0.288044452667,4.11759996414
1495802637960345798,360,0,,-31.5698833466,-18.0426769257,-0.00973730161786,0.0407036244869,1.94363892078,0.505165338516,0.0152356382459,-0.0100266644731,0.121239177883,4.05572652817
1495802638058656551,361,0,,-31.5654335022,-17.9906482697,-0.0156005006284,0.0414539314806,1.97928750515,0.608530282974,0.0203975476325,-0.0586319826543,0.00750304013491,4.00209236145
1495802638160579708,362,0,,-31.6095657349,-17.952337265,-0.036071036011,0.0110964020714,2.0134510994,0.584072589874,0.0203043818474,-0.20470534265,-0.303575277328,4.12652921677
1495802638249920679,363,0,,-31.5899448395,-17.9366950989,-0.035231679678,-0.0019547145348,2.03537917137,0.441698282957,0.0196520518512,0.00839355029166,-0.130511164665,4.26298189163
1495802638264217188,364,0,,-31.6249275208,-17.9110240936,-0.030100857839,-0.00294356117956,2.06237053871,0.433656126261,0.0148374279961,0.0513082109392,-0.00988846737891,4.38946294785
1495802638302567246,365,0,,-31.6599464417,-17.8872661591,-0.0312971398234,-0.00139993964694,2.0714571476,0.422959774733,0.0136247118935,-0.0119627984241,0.0154362153262,4.50930309296
1495802638358031354,366,0,,-31.7155513763,-17.8477458954,-0.0163300745189,0.0241365749389,2.07153868675,0.682185292244,0.00287443865091,0.149670645595,0.255365133286,4.48013544083
1495802638459933557,367,0,,-31.6978416443,-17.8283119202,-0.0197511762381,0.03257201612,2.08696174622,0.674066126347,0.0283909216523,-0.0342110097408,0.0843544155359,4.45206308365
1495802638559133744,368,0,,-31.7774677277,-17.7739105225,-0.0141918156296,0.0386233888566,2.10085892677,0.964241981506,0.0154255339876,0.055593598634,0.0605137161911,4.39262914658
1495802638660534974,369,0,,-31.7787361145,-17.7487277985,-0.0137782981619,0.0397037789226,2.10980153084,0.941088378429,0.0283036381006,0.0041351779364,0.010803909041,4.33091449738
1495802638760779007,370,0,,-31.8805656433,-17.6804790497,-0.0118591822684,0.0392840020359,2.12455368042,1.22572100163,0.0173880532384,0.0191911514848,-0.00419775769114,4.27137613297
1495802638861201695,371,0,,-31.8770523071,-17.6658878326,-0.024776738137,0.0229512862861,2.12479734421,1.03540468216,0.0521512851119,-0.129175558686,-0.163327157497,4.30798482895
1495802638959139357,372,0,,-31.9639663696,-17.6143188477,-0.0288933999836,0.00323364627548,2.13573718071,1.00987505913,0.0386911667883,-0.0411666221917,-0.197176396847,4.42993879318
1495802639061450134,373,0,,-31.9284496307,-17.6277694702,-0.0271631479263,-0.00279198377393,2.13320922852,0.783264458179,0.0618402138352,0.0173025168478,-0.0602563023567,4.55010318756
1495802639160089704,374,0,,-32.0221633911,-17.5735092163,-0.000707422848791,0.0265690498054,2.12465786934,1.08225226402,0.0374282635748,0.264557272196,0.293610334396,4.48995399475
1495802639236155589,375,0,,-31.9539699554,-17.565738678,-0.00374901946634,0.0397635623813,2.13675808907,1.07423663139,0.0755413472652,-0.0304159671068,0.131945133209,4.41265916824
1495802639261228121,376,0,,-31.90716362,-17.5572910309,-0.00403577461839,0.0411382876337,2.12907505035,1.09794521332,0.0935194268823,-0.00286755152047,0.0137472543865,4.34424257278
