%time,field.DevID,field.MsgID,field.Data,field.Time
1495718257000946350,10,5,136,1495718257.0
1495718257001609702,10,3,-110,1495718257.0
1495718257045993140,10,5,136,1495718257.04
1495718257046047756,10,3,103,1495718257.04
1495718257097560242,10,5,136,1495718257.09
1495718257097741829,10,3,124,1495718257.09
1495718257145949077,10,5,-113,1495718257.14
1495718257146001667,10,3,136,1495718257.14
1495718257196742687,10,5,-111,1495718257.19
1495718257196933633,10,3,136,1495718257.19
1495718257244782525,10,5,-156,1495718257.24
1495718257245193192,10,3,136,1495718257.24
1495718257295081728,10,5,-155,1495718257.29
1495718257295277563,10,3,136,1495718257.29
1495718257345613294,10,5,-153,1495718257.34
1495718257345983802,10,3,136,1495718257.34
1495718257397614460,10,5,84,1495718257.4
1495718257397813996,10,3,136,1495718257.4
1495718257443999339,10,5,95,1495718257.44
1495718257444397923,10,3,136,1495718257.44
1495718257494171431,10,5,84,1495718257.49
1495718257494579933,10,3,136,1495718257.49
1495718257543985936,10,5,136,1495718257.54
1495718257544399117,10,3,136,1495718257.54
1495718257594000536,10,5,136,1495718257.59
1495718257594436416,10,3,136,1495718257.59
1495718257644028686,10,5,136,1495718257.64
1495718257644806089,10,3,136,1495718257.64
1495718257694216562,10,5,136,1495718257.69
1495718257694622759,10,3,136,1495718257.69
1495718257744270414,10,5,-131,1495718257.74
1495718257744595664,10,3,136,1495718257.74
1495718257794378322,10,5,-133,1495718257.79
1495718257795068354,10,3,136,1495718257.79
1495718257845299392,10,5,-177,1495718257.84
1495718257845931735,10,3,136,1495718257.84
1495718257895093504,10,5,-177,1495718257.89
1495718257895312456,10,3,136,1495718257.89
1495718257944972123,10,5,-177,1495718257.94
1495718257945353806,10,3,136,1495718257.94
1495718257995600279,10,5,-177,1495718257.99
1495718257995986711,10,3,136,1495718257.99
1495718258043978917,10,5,-168,1495718258.04
1495718258044313666,10,3,136,1495718258.04
1495718258094254095,10,5,-166,1495718258.09
1495718258094452235,10,3,136,1495718258.09
1495718258144061267,10,5,85,1495718258.14
1495718258144407121,10,3,136,1495718258.14
1495718258194313467,10,5,86,1495718258.19
1495718258194912775,10,3,136,1495718258.19
1495718258245496931,10,5,-130,1495718258.24
1495718258246092398,10,3,136,1495718258.24
1495718258294560084,10,5,-137,1495718258.29
1495718258294615049,10,3,136,1495718258.29
1495718258344011763,10,5,-157,1495718258.34
1495718258344364043,10,3,136,1495718258.34
1495718258397725298,10,5,-177,1495718258.39
1495718258398130168,10,3,136,1495718258.39
1495718258444503663,10,5,-177,1495718258.44
1495718258445347834,10,3,136,1495718258.44
1495718258494131342,10,5,-177,1495718258.49
1495718258494812225,10,3,136,1495718258.49
1495718258544803847,10,5,-177,1495718258.54
1495718258545464616,10,3,136,1495718258.54
1495718258595474327,10,5,-177,1495718258.59
1495718258596063299,10,3,136,1495718258.59
1495718258645251397,10,5,-177,1495718258.64
1495718258646093264,10,3,136,1495718258.64
1495718258695258385,10,5,-177,1495718258.69
1495718258696142995,10,3,136,1495718258.69
1495718258745034757,10,5,-177,1495718258.74
1495718258745327811,10,3,136,1495718258.74
1495718258797265910,10,5,-177,1495718258.79
1495718258797588646,10,3,136,1495718258.79
1495718258845447456,10,5,-113,1495718258.84
1495718258845879634,10,3,136,1495718258.84
1495718258895012418,10,5,-98,1495718258.89
1495718258897258933,10,3,136,1495718258.89
1495718258945372733,10,5,74,1495718258.94
1495718258945987406,10,3,136,1495718258.94
1495718258997603606,10,5,77,1495718258.99
1495718258998636419,10,3,136,1495718258.99
1495718259045200930,10,5,-120,1495718259.04
1495718259045774606,10,3,136,1495718259.04
1495718259095079340,10,5,-116,1495718259.09
1495718259095737943,10,3,136,1495718259.09
1495718259144885045,10,5,-110,1495718259.14
1495718259145327140,10,3,136,1495718259.14
1495718259194991137,10,5,-105,1495718259.19
1495718259195602318,10,3,136,1495718259.19
1495718259245424017,10,5,-177,1495718259.24
1495718259246206309,10,3,136,1495718259.24
1495718259294844268,10,5,-177,1495718259.29
1495718259295092065,10,3,136,1495718259.29
1495718259344891065,10,5,-159,1495718259.34
1495718259345227421,10,3,136,1495718259.34
1495718259394967824,10,5,84,1495718259.39
1495718259395298243,10,3,136,1495718259.39
1495718259444833802,10,5,-121,1495718259.44
1495718259445485421,10,3,136,1495718259.44
1495718259494716542,10,5,-141,1495718259.49
1495718259494919990,10,3,136,1495718259.49
1495718259544912451,10,5,90,1495718259.54
1495718259545471111,10,3,136,1495718259.54
1495718259594869083,10,5,101,1495718259.59
1495718259595057235,10,3,136,1495718259.59
1495718259643969810,10,5,133,1495718259.64
1495718259644578546,10,3,136,1495718259.64
1495718259695413782,10,5,133,1495718259.69
1495718259696006664,10,3,136,1495718259.69
1495718259744904363,10,5,136,1495718259.74
1495718259745560033,10,3,136,1495718259.74
1495718259794819998,10,5,136,1495718259.79
1495718259795419725,10,3,136,1495718259.79
1495718259844897106,10,5,136,1495718259.84
1495718259845645665,10,3,136,1495718259.84
1495718259893997415,10,5,136,1495718259.89
1495718259894052380,10,3,136,1495718259.89
1495718259944000212,10,5,115,1495718259.94
1495718259944372466,10,3,136,1495718259.94
1495718259994271828,10,5,111,1495718259.99
1495718259994613142,10,3,136,1495718259.99
1495718260044812333,10,5,-155,1495718260.04
1495718260045452987,10,3,136,1495718260.04
1495718260094981981,10,5,-159,1495718260.09
1495718260102044262,10,3,136,1495718260.09
1495718260145015648,10,5,136,1495718260.14
1495718260145752055,10,3,136,1495718260.14
1495718260195117690,10,5,136,1495718260.19
1495718260195488896,10,3,136,1495718260.19
1495718260244937852,10,5,136,1495718260.24
1495718260245657217,10,3,136,1495718260.24
1495718260294950566,10,5,136,1495718260.29
1495718260295345030,10,3,136,1495718260.29
1495718260344991078,10,5,136,1495718260.34
1495718260345392316,10,3,136,1495718260.34
1495718260394029227,10,5,136,1495718260.39
1495718260394225621,10,3,136,1495718260.39
1495718260445012387,10,5,136,1495718260.44
1495718260445704374,10,3,136,1495718260.44
1495718260494950301,10,5,136,1495718260.49
1495718260495314104,10,3,136,1495718260.49
1495718260544957708,10,5,136,1495718260.54
1495718260545339879,10,3,136,1495718260.54
1495718260595039705,10,5,136,1495718260.59
1495718260595418873,10,3,136,1495718260.59
1495718260643932654,10,5,136,1495718260.64
1495718260644583086,10,3,136,1495718260.64
1495718260695559401,10,5,136,1495718260.69
1495718260695898690,10,3,136,1495718260.69
1495718260745350369,10,5,136,1495718260.74
1495718260745609830,10,3,136,1495718260.74
1495718260794386424,10,5,136,1495718260.79
1495718260795083719,10,3,136,1495718260.79
1495718260844904929,10,5,136,1495718260.84
1495718260845582948,10,3,136,1495718260.84
1495718260894895923,10,5,136,1495718260.89
1495718260895152380,10,3,136,1495718260.89
1495718260944915621,10,5,136,1495718260.94
1495718260945576390,10,3,136,1495718260.94
1495718260994895022,10,5,136,1495718260.99
1495718260995585543,10,3,136,1495718260.99
1495718261044946778,10,5,136,1495718261.04
1495718261045665794,10,3,136,1495718261.04
1495718261094515860,10,5,136,1495718261.09
1495718261095212876,10,3,136,1495718261.09
1495718261144029000,10,5,136,1495718261.14
1495718261144085432,10,3,136,1495718261.14
1495718261194183144,10,5,136,1495718261.19
1495718261194799283,10,3,136,1495718261.19
1495718261244941903,10,5,136,1495718261.24
1495718261245717490,10,3,136,1495718261.24
1495718261295892306,10,5,136,1495718261.29
1495718261296559919,10,3,136,1495718261.29
1495718261344956995,10,5,136,1495718261.34
1495718261345767294,10,3,136,1495718261.34
1495718261395023767,10,5,136,1495718261.39
1495718261395366688,10,3,136,1495718261.39
1495718261444951275,10,5,136,1495718261.44
1495718261445639910,10,3,136,1495718261.44
1495718261494877247,10,5,136,1495718261.49
1495718261495401266,10,3,136,1495718261.49
1495718261544924673,10,5,136,1495718261.54
1495718261545580762,10,3,136,1495718261.54
1495718261594968187,10,5,136,1495718261.59
1495718261595568334,10,3,136,1495718261.59
1495718261646232458,10,5,136,1495718261.64
1495718261646855931,10,3,136,1495718261.64
1495718261694023312,10,5,136,1495718261.69
1495718261694626671,10,3,136,1495718261.69
1495718261744183880,10,5,136,1495718261.74
1495718261744786680,10,3,136,1495718261.74
1495718261795091960,10,5,136,1495718261.79
1495718261795687217,10,3,136,1495718261.79
1495718261844951792,10,5,136,1495718261.84
1495718261845648948,10,3,136,1495718261.84
1495718261894837954,10,5,136,1495718261.89
1495718261895218240,10,3,136,1495718261.89
1495718261943971647,10,5,136,1495718261.94
1495718261944029475,10,3,136,1495718261.94
1495718261994071523,10,5,136,1495718261.99
1495718261994414653,10,3,136,1495718261.99
1495718262044223082,10,5,136,1495718262.04
1495718262044867647,10,3,136,1495718262.04
1495718262095022768,10,5,136,1495718262.09
1495718262095270705,10,3,136,1495718262.09
1495718262145376239,10,5,136,1495718262.14
1495718262145721185,10,3,136,1495718262.14
1495718262194801239,10,5,136,1495718262.19
1495718262195058744,10,3,136,1495718262.19
1495718262245021871,10,5,136,1495718262.24
1495718262245781046,10,3,136,1495718262.24
1495718262295090040,10,5,136,1495718262.29
1495718262295874357,10,3,136,1495718262.29
1495718262345851872,10,5,136,1495718262.34
1495718262346335453,10,3,136,1495718262.34
1495718262395371996,10,5,136,1495718262.39
1495718262395670986,10,3,136,1495718262.39
1495718262445843707,10,5,136,1495718262.44
1495718262446165257,10,3,136,1495718262.44
1495718262494987247,10,5,136,1495718262.49
1495718262495431996,10,3,136,1495718262.49
1495718262544940667,10,5,136,1495718262.54
1495718262545651721,10,3,136,1495718262.54
1495718262595306988,10,5,136,1495718262.59
1495718262596028588,10,3,136,1495718262.59
1495718262645606820,10,5,136,1495718262.64
1495718262645812363,10,3,136,1495718262.64
1495718262695333814,10,5,136,1495718262.69
1495718262695780309,10,3,136,1495718262.69
1495718262745157817,10,5,136,1495718262.74
1495718262745423284,10,3,136,1495718262.74
1495718262795316849,10,5,136,1495718262.79
1495718262795932989,10,3,136,1495718262.79
1495718262845212789,10,5,136,1495718262.84
1495718262845647691,10,3,136,1495718262.84
1495718262895220755,10,5,136,1495718262.89
1495718262895596012,10,3,136,1495718262.89
1495718262944957596,10,5,136,1495718262.94
1495718262945248695,10,3,136,1495718262.94
1495718262994839149,10,5,136,1495718262.99
1495718262995435314,10,3,136,1495718262.99
1495718263044948454,10,5,136,1495718263.04
1495718263045339565,10,3,136,1495718263.04
1495718263094008533,10,5,136,1495718263.09
1495718263094617130,10,3,136,1495718263.09
1495718263144127756,10,5,136,1495718263.14
1495718263144296283,10,3,136,1495718263.14
1495718263194924439,10,5,136,1495718263.19
1495718263195520325,10,3,136,1495718263.19
1495718263243993388,10,5,136,1495718263.24
1495718263244048772,10,3,136,1495718263.24
1495718263294930662,10,5,136,1495718263.29
1495718263294978713,10,3,136,1495718263.29
1495718263344269897,10,5,136,1495718263.34
1495718263344500722,10,3,136,1495718263.34
1495718263394259913,10,5,136,1495718263.39
1495718263394946104,10,3,136,1495718263.39
1495718263444290996,10,5,136,1495718263.44
1495718263444546475,10,3,136,1495718263.44
1495718263494013241,10,5,136,1495718263.49
1495718263494071838,10,3,136,1495718263.49
1495718263544820121,10,5,136,1495718263.54
1495718263545222895,10,3,136,1495718263.54
1495718263594910848,10,5,136,1495718263.59
1495718263595506035,10,3,136,1495718263.59
1495718263644998432,10,5,136,1495718263.64
1495718263645423626,10,3,136,1495718263.64
1495718263694846182,10,5,136,1495718263.69
1495718263695212150,10,3,136,1495718263.69
1495718263745019741,10,5,136,1495718263.74
1495718263745435017,10,3,136,1495718263.74
1495718263794842348,10,5,136,1495718263.79
1495718263795177865,10,3,136,1495718263.79
1495718263844952491,10,5,136,1495718263.84
1495718263845607881,10,3,136,1495718263.84
1495718263894128507,10,5,136,1495718263.89
1495718263894191015,10,3,136,1495718263.89
1495718263944637444,10,5,136,1495718263.94
1495718263945273837,10,3,116,1495718263.94
1495718263994777339,10,5,136,1495718263.99
1495718263995030374,10,3,118,1495718263.99
1495718264044939025,10,5,136,1495718264.04
1495718264045410733,10,3,116,1495718264.04
1495718264094816667,10,5,136,1495718264.09
1495718264095060622,10,3,120,1495718264.09
1495718264144851521,10,5,136,1495718264.14
1495718264145283210,10,3,134,1495718264.14
1495718264194841188,10,5,136,1495718264.19
1495718264195187741,10,3,136,1495718264.19
1495718264244944836,10,5,136,1495718264.24
1495718264245593173,10,3,136,1495718264.24
1495718264294805157,10,5,136,1495718264.29
1495718264295042408,10,3,136,1495718264.29
1495718264344096202,10,5,136,1495718264.34
1495718264344142995,10,3,136,1495718264.34
1495718264394435354,10,5,136,1495718264.39
1495718264395026142,10,3,136,1495718264.39
1495718264444927529,10,5,136,1495718264.44
1495718264445607993,10,3,136,1495718264.44
1495718264494784288,10,5,136,1495718264.49
1495718264494996746,10,3,136,1495718264.49
1495718264544945416,10,5,136,1495718264.54
1495718264545589702,10,3,136,1495718264.54
1495718264594856581,10,5,136,1495718264.59
1495718264595450092,10,3,136,1495718264.59
1495718264644971194,10,5,136,1495718264.64
1495718264645686159,10,3,136,1495718264.64
1495718264694955553,10,5,136,1495718264.69
1495718264695555630,10,3,136,1495718264.69
1495718264744903455,10,5,136,1495718264.74
1495718264745561989,10,3,136,1495718264.74
1495718264793986303,10,5,136,1495718264.79
1495718264794234170,10,3,136,1495718264.79
1495718264843989868,10,5,136,1495718264.84
1495718264844178021,10,3,136,1495718264.84
1495718264894426589,10,5,136,1495718264.89
