%time,field.DevID,field.MsgID,field.Data,field.Time
1495801448163309642,10,5,-177,1495801448.16
1495801448163667927,10,3,136,1495801448.16
1495801448214003239,10,5,-177,1495801448.21
1495801448214384154,10,3,136,1495801448.21
1495801448260646810,10,5,-177,1495801448.26
1495801448260846346,10,3,136,1495801448.26
1495801448312666067,10,5,-177,1495801448.31
1495801448313382011,10,3,136,1495801448.31
1495801448360673219,10,5,-177,1495801448.36
1495801448361446782,10,3,136,1495801448.36
1495801448411157991,10,5,-177,1495801448.41
1495801448411788238,10,3,136,1495801448.41
1495801448460423892,10,5,-177,1495801448.46
1495801448461027669,10,3,136,1495801448.46
1495801448511204510,10,5,-177,1495801448.51
1495801448511910885,10,3,136,1495801448.51
1495801448560236793,10,5,-177,1495801448.56
1495801448561768622,10,3,136,1495801448.56
1495801448611403077,10,5,-177,1495801448.61
1495801448611669941,10,3,136,1495801448.61
1495801448663799475,10,5,-177,1495801448.66
1495801448664128148,10,3,136,1495801448.66
1495801448712604075,10,5,-177,1495801448.71
1495801448712667840,10,3,136,1495801448.71
1495801448761299861,10,5,-177,1495801448.76
1495801448761911461,10,3,136,1495801448.76
1495801448812356563,10,5,-177,1495801448.81
1495801448812413414,10,3,136,1495801448.81
1495801448861189519,10,5,-177,1495801448.86
1495801448861789385,10,3,136,1495801448.86
1495801448909486931,10,5,-177,1495801448.91
1495801448909668449,10,3,136,1495801448.91
1495801448961742323,10,5,-177,1495801448.96
1495801448962427535,10,3,136,1495801448.96
1495801449012048578,10,5,-177,1495801449.01
1495801449012451772,10,3,136,1495801449.01
1495801449063487520,10,5,-177,1495801449.06
1495801449063680352,10,3,136,1495801449.06
1495801449111878730,10,5,-177,1495801449.11
1495801449112159632,10,3,136,1495801449.11
1495801449162400728,10,5,-177,1495801449.16
1495801449162622195,10,3,136,1495801449.16
1495801449213765363,10,5,-177,1495801449.21
1495801449214314175,10,3,136,1495801449.21
1495801449260956070,10,5,-177,1495801449.26
1495801449261327486,10,3,136,1495801449.26
1495801449310774765,10,5,-177,1495801449.31
1495801449311409273,10,3,136,1495801449.31
1495801449360979262,10,5,-177,1495801449.36
1495801449361228246,10,3,136,1495801449.36
1495801449412437132,10,5,-177,1495801449.41
1495801449414989273,10,3,136,1495801449.41
1495801449464935710,10,5,-177,1495801449.46
1495801449464984320,10,3,136,1495801449.46
1495801449509565126,10,5,-177,1495801449.51
1495801449510131190,10,3,136,1495801449.51
1495801449559780591,10,5,-177,1495801449.56
1495801449560191049,10,3,136,1495801449.56
1495801449613715800,10,5,-177,1495801449.61
1495801449617948112,10,3,136,1495801449.61
1495801449662254514,10,5,-177,1495801449.66
1495801449662807937,10,3,136,1495801449.66
1495801449711498905,10,5,-177,1495801449.71
1495801449712154505,10,3,136,1495801449.71
1495801449759988451,10,5,-177,1495801449.76
1495801449760601448,10,3,136,1495801449.76
1495801449810701046,10,5,-177,1495801449.81
1495801449811522590,10,3,136,1495801449.81
1495801449864175514,10,5,79,1495801449.86
1495801449864463190,10,3,136,1495801449.86
1495801449914031015,10,5,82,1495801449.91
1495801449914819453,10,3,136,1495801449.91
1495801449963216180,10,5,109,1495801449.96
1495801449963738733,10,3,136,1495801449.96
1495801450013025866,10,5,103,1495801450.01
1495801450013629225,10,3,136,1495801450.01
1495801450062802308,10,5,104,1495801450.06
1495801450063711782,10,3,136,1495801450.06
1495801450110348368,10,5,101,1495801450.11
1495801450110692965,10,3,136,1495801450.11
1495801450160654488,10,5,-97,1495801450.16
1495801450160988749,10,3,136,1495801450.16
1495801450211554256,10,5,-104,1495801450.21
1495801450211936986,10,3,136,1495801450.21
1495801450260023408,10,5,-177,1495801450.26
1495801450260356411,10,3,136,1495801450.26
1495801450312945709,10,5,-177,1495801450.31
1495801450313285627,10,3,136,1495801450.31
1495801450361340760,10,5,106,1495801450.36
1495801450361676557,10,3,136,1495801450.36
1495801450412180747,10,5,136,1495801450.41
1495801450412817909,10,3,136,1495801450.41
1495801450460465728,10,5,136,1495801450.46
1495801450461685716,10,3,136,1495801450.46
1495801450513315882,10,5,136,1495801450.51
1495801450513562352,10,3,136,1495801450.51
1495801450563388939,10,5,136,1495801450.56
1495801450563632686,10,3,136,1495801450.56
1495801450613628149,10,5,136,1495801450.61
1495801450614637846,10,3,136,1495801450.61
1495801450661093822,10,5,136,1495801450.66
1495801450662350547,10,3,136,1495801450.66
1495801450713359131,10,5,136,1495801450.71
1495801450713729639,10,3,136,1495801450.71
1495801450761259775,10,5,136,1495801450.76
1495801450761715560,10,3,136,1495801450.76
1495801450813048411,10,5,136,1495801450.81
1495801450814041065,10,3,136,1495801450.81
1495801450863849284,10,5,136,1495801450.86
1495801450864492173,10,3,136,1495801450.86
1495801450911424608,10,5,136,1495801450.91
1495801450911819560,10,3,136,1495801450.91
1495801450961228777,10,5,136,1495801450.96
1495801450961598027,10,3,136,1495801450.96
1495801451015817703,10,5,136,1495801451.01
1495801451015878814,10,3,136,1495801451.01
1495801451063519230,10,5,136,1495801451.06
1495801451064362773,10,3,136,1495801451.06
1495801451109791736,10,5,136,1495801451.11
1495801451110063977,10,3,136,1495801451.11
1495801451160104347,10,5,136,1495801451.16
1495801451160748004,10,3,136,1495801451.16
1495801451210958718,10,5,136,1495801451.21
1495801451211146102,10,3,136,1495801451.21
1495801451263402609,10,5,136,1495801451.26
1495801451263636228,10,3,136,1495801451.26
1495801451319222834,10,5,136,1495801451.31
1495801451319691399,10,3,136,1495801451.31
1495801451363661308,10,5,136,1495801451.36
1495801451363776826,10,3,136,1495801451.36
1495801451419165573,10,5,136,1495801451.41
1495801451419549770,10,3,136,1495801451.41
1495801451462577447,10,5,136,1495801451.46
1495801451463197567,10,3,136,1495801451.46
1495801451511158345,10,5,136,1495801451.51
1495801451511906485,10,3,136,1495801451.51
1495801451564244148,10,5,136,1495801451.56
1495801451564437679,10,3,136,1495801451.56
1495801451616730640,10,5,136,1495801451.61
1495801451617284271,10,3,136,1495801451.61
1495801451662601698,10,5,136,1495801451.66
1495801451664041266,10,3,136,1495801451.66
1495801451712768551,10,5,136,1495801451.71
1495801451713092824,10,3,136,1495801451.71
1495801451759580091,10,5,136,1495801451.76
1495801451759888370,10,3,136,1495801451.76
1495801451809625769,10,5,136,1495801451.81
1495801451810110887,10,3,136,1495801451.81
1495801451863776512,10,5,136,1495801451.86
1495801451864387623,10,3,136,1495801451.86
1495801451913136491,10,5,136,1495801451.91
1495801451914479399,10,3,136,1495801451.91
1495801451959731451,10,5,136,1495801451.96
1495801451960083451,10,3,-177,1495801451.96
1495801452009781113,10,5,136,1495801452.01
1495801452010621303,10,3,-177,1495801452.01
1495801452060910518,10,5,136,1495801452.06
1495801452061453184,10,3,-177,1495801452.06
1495801452112338356,10,5,136,1495801452.11
1495801452112547321,10,3,-177,1495801452.11
1495801452164476482,10,5,136,1495801452.16
1495801452169615611,10,3,-177,1495801452.16
1495801452212681425,10,5,136,1495801452.21
1495801452213279686,10,3,-177,1495801452.21
1495801452260925410,10,5,136,1495801452.26
1495801452261779639,10,3,-94,1495801452.26
1495801452310819604,10,5,136,1495801452.31
1495801452311214835,10,3,79,1495801452.31
1495801452362999351,10,5,136,1495801452.36
1495801452363630157,10,3,136,1495801452.36
1495801452412715240,10,5,136,1495801452.41
1495801452413042167,10,3,136,1495801452.41
1495801452459633427,10,5,136,1495801452.46
1495801452464256852,10,3,136,1495801452.46
1495801452509678618,10,5,136,1495801452.51
1495801452510366765,10,3,136,1495801452.51
1495801452562877913,10,5,136,1495801452.56
1495801452563215526,10,3,136,1495801452.56
1495801452619156926,10,5,136,1495801452.61
1495801452619222647,10,3,136,1495801452.61
