%time,field.timestamp,field.delx,field.dely,field.longitude,field.latitude
1495100716187156991,094516.20,61.7276285374,-492.107531018,9.97777376667,57.0152619167
1495100716371043148,094516.40,61.7529866741,-492.153883637,9.977773,57.015262145
1495100716570643328,094516.60,61.7548376337,-492.182099083,9.97777253333,57.0152621617
1495100716775396738,094516.80,61.7600203182,-492.212329728,9.97777203333,57.0152622083
1495100716968386987,094517.00,61.7722366469,-492.250621542,9.9777714,57.0152623183
1495100717176291924,094517.20,61.7750130852,-492.283875425,9.97777085,57.0152623433
1495100717375321071,094517.40,61.7776044289,-492.332244797,9.97777005,57.0152623667
1495100717577742971,094517.60,61.7937077713,-492.365497886,9.9777695,57.0152625117
1495100717772721605,094517.80,61.8044433324,-492.377589628,9.9777693,57.0152626083
1495100717963799608,094518.00,61.8112918805,-492.429989539,9.97776843333,57.01526267
1495100718183433611,094518.20,61.8199913867,-492.461227673,9.97776791667,57.0152627483
1495100718371327261,094518.40,61.8357245378,-492.476342211,9.97776766667,57.01526289
1495100718573446685,094518.60,61.8510874975,-492.507579947,9.97776715,57.0152630283
1495100718780990534,094518.80,61.8594168117,-492.529748816,9.97776678333,57.0152631033
1495100718969012492,094519.00,61.8681163187,-492.555948457,9.97776635,57.0152631817
1495100719173617766,094519.20,61.8747797707,-492.584163617,9.97776588333,57.0152632417
1495100719374430595,094519.40,61.8903278258,-492.615401341,9.97776536667,57.0152633817
1495100719573487124,094519.60,61.8966210858,-492.637570332,9.977765,57.0152634383
1495100719792466508,094519.80,61.9006931948,-492.664777947,9.97776455,57.015263475
1495100719976088110,094520.00,61.9199431676,-492.69601545,9.97776403333,57.0152636483
1495100720175458228,094520.20,61.9412291953,-492.719191245,9.97776365,57.01526384
1495100720376993906,094520.40,61.9462267852,-492.742368011,9.97776326667,57.015263885
1495100720570063154,094520.60,61.9662171407,-492.766551581,9.97776286667,57.015264065
1495100720798389328,094520.80,61.9701041544,-492.782674524,9.9777626,57.0152641
1495100720966996872,094521.00,61.990834894,-492.816935034,9.97776203333,57.0152642867
1495100721171367410,094521.20,62.0052723736,-492.841118934,9.97776163333,57.0152644167
1495100721374154512,094521.40,62.0173036069,-492.862279884,9.97776128333,57.015264525
