%time,field.xn,field.yn,field.xbd,field.ybd,field.xbdd,field.ybdd
1495100716424869205,61.3302650452,-488.784881592,3.07499718666,-24.5081539154,-0.000327120069414,0.000814881699625
1495100716474922563,61.7263183594,-491.865081787,-21.8649806976,11.4856681824,-0.00662234984338,0.000867934781127
1495100716524802579,61.7782249451,-492.223480225,-21.6296463013,12.2086782455,-0.0037314677611,-0.000428182858741
1495100716574645790,61.743183136,-492.161712646,-21.8847332001,12.3410015106,0.00642119068652,-0.000414836395066
1495100716624744201,61.7626037598,-492.259674072,-20.7565040588,14.2112808228,0.00648935791105,-0.000420030148234
1495100716674858041,61.7554931641,-492.174316406,-20.6898765564,14.1675815582,0.00401347083971,-0.000488633231726
1495100716724746723,61.7570800781,-492.255645752,-20.8817520142,13.8830661774,0.00405982043594,-0.000485322758323
1495100716774558294,61.7502479553,-492.18157959,-20.9467792511,13.8870534897,0.00677974987775,-0.000474984874018
1495100716824910850,61.7588424683,-492.276733398,-20.6227016449,14.3847055435,0.00680961925536,-0.000475493463455
1495100716874978594,61.761051178,-492.215423584,-20.5529937744,14.4167823792,0.00413173949346,-0.000492007879075
1495100716924736254,61.7610588074,-492.272064209,-20.8047428131,14.043258667,0.00413382053375,-0.000492796185426
1495100716974431826,61.7677764893,-492.254577637,-20.8628253937,14.0684432983,0.00649094441906,-0.000478475820273
1495100717024490078,61.7711524963,-492.304229736,-20.4181041718,14.7262382507,0.00648900819942,-0.000479825073853
1495100717074941949,61.7716217041,-492.262512207,-20.234746933,14.954419136,0.00620441092178,-0.00050414405996
1495100717124682140,61.7698936462,-492.301971436,-20.2346115112,14.9571704865,0.00616485113278,-0.000511752848979
1495100717174601764,61.7723426819,-492.270050049,-20.2049179077,14.8797330856,0.00507661141455,-0.000514346756972
1495100717224626142,61.774105072,-492.333374023,-20.3660106659,14.6605386734,0.00504638999701,-0.000511543592438
1495100717274554836,61.7740440369,-492.306182861,-20.6301689148,14.2929172516,0.00532008614391,-0.000503501913045
1495100717324682084,61.774017334,-492.333251953,-20.3530864716,14.6910915375,0.00532199535519,-0.000490537611768
1495100717374511749,61.7774505615,-492.305053711,-20.3226089478,14.7654733658,0.00428812764585,-0.000502645038068
1495100717424806974,61.7769851685,-492.371673584,-20.2787265778,14.8240919113,0.00425113644451,-0.000505034578964
1495100717474561202,61.7801055908,-492.347808838,-20.2764091492,14.9620723724,0.00419984431937,-0.00050207064487
1495100717524742729,61.7774658203,-492.366271973,-19.1027336121,16.4665164948,0.00415820162743,-0.000507142860442
1495100717575288887,61.7830276489,-492.348419189,-19.1281967163,16.4768295288,0.00531173124909,-0.000561016029678
1495100717624481173,61.7869529724,-492.395263672,-17.6376934052,18.1044940948,0.00522960256785,-0.000559978070669
1495100717674773461,61.8032531738,-492.388092041,-17.6302337646,18.0033931732,0.00498771341518,-0.000622299558017
1495100717724781293,61.7852973938,-492.402313232,-17.5995559692,18.0357818604,0.00481162546203,-0.00061703188112
1495100717774573586,61.802936554,-492.396820068,-17.5722198486,17.9040470123,0.00369626935571,-0.000622974708676
1495100717824774169,61.7986335754,-492.419128418,-18.5714187622,16.8477058411,0.00344059546478,-0.000618115649559
1495100717874807700,61.8052444458,-492.411102295,-18.65117836,16.8349704742,0.00633245985955,-0.000580371823162
1495100717924699099,61.8001251221,-492.4190979,-19.2747859955,16.1019439697,0.00606817472726,-0.000580951280426
1495100717974572553,61.808757782,-492.454101562,-19.2863521576,16.2305660248,0.00640867603943,-0.000549872464035
1495100718024744509,61.8093910217,-492.462890625,-19.686712265,15.7220249176,0.00616085249931,-0.000555340142455
1495100718074755756,61.8094482422,-492.450714111,-19.6605224609,15.887260437,0.00518946209922,-0.000530915218405
1495100718124707848,61.8126296997,-492.453308105,-19.2244033813,16.415971756,0.00497329421341,-0.00053751654923
1495100718175188849,61.8109359741,-492.449981689,-19.2269973755,16.4278106689,0.00522965053096,-0.000556140148547
1495100718224483593,61.8192138672,-492.483154297,-17.3237304688,18.4368572235,0.00502966158092,-0.000557465886232
1495100718274568099,61.8254814148,-492.487121582,-17.8684425354,17.8159065247,0.005059230607,-0.000632786832284
1495100718324707578,61.8137168884,-492.490875244,-15.9300298691,19.6006240845,0.00485722813755,-0.000608451024164
1495100718374555327,61.8504180908,-492.511199951,-15.8388824463,19.4227867126,0.00126741302665,-0.00067984481575
1495100718424701306,61.8316574097,-492.514984131,-17.1429424286,18.2531642914,0.000868291652296,-0.000671554880682
1495100718474590676,61.8367805481,-492.513702393,-17.3308963776,18.2386951447,0.00776234967634,-0.000629794318229
1495100718524703403,61.8278541565,-492.51473999,-17.0157470703,18.5250892639,0.00734126241878,-0.000630412367173
1495100718574451910,61.8396263123,-492.507354736,-16.9615001678,18.6662788391,0.00534730544314,-0.00063571886858
1495100718624616176,61.8459320068,-492.535369873,-17.6940460205,17.9437561035,0.00487067783251,-0.000640667392872
1495100718677828464,61.8497276306,-492.532928467,-17.7461853027,18.0475673676,0.00666081206873,-0.000610522285569
1495100718724517988,61.8483467102,-492.531219482,-16.8972187042,18.8518428802,0.00619978224859,-0.00061506871134
1495100718775229470,61.8520278931,-492.532287598,-16.8935661316,18.8694572449,0.00628510350361,-0.000643512466922
1495100718824489293,61.8552513123,-492.55078125,-17.7677612305,18.0209503174,0.00578534556553,-0.000643385923468
1495100718874809591,61.8607292175,-492.55682373,-17.7065696716,17.9812374115,0.00313036120497,-0.000613934826106
1495100718924695331,61.8633804321,-492.55368042,-16.9874477386,18.6696739197,0.00266428291798,-0.000613294309005
1495100718974454590,61.8690376282,-492.586517334,-17.0283660889,18.5660686493,0.00440141558647,-0.00064210157143
1495100719024738916,61.8689651489,-492.585754395,-16.8322105408,18.7362041473,0.0039278161712,-0.000637595308945
1495100719074557684,61.8702201843,-492.592041016,-16.8264503479,18.6844234467,0.00377603410743,-0.000645770924166
1495100719125652520,61.8700828552,-492.5887146,-15.9977722168,19.3990631104,0.00330237927847,-0.000643684994429
1495100719174745772,61.8775444031,-492.624847412,-16.0141201019,19.269947052,0.00398368481547,-0.000674307346344
1495100719224537024,61.8733482361,-492.627655029,-16.0467758179,19.1916904449,0.00478744739667,-0.000671372225042
1495100719274918361,61.8735771179,-492.626647949,-16.7277698517,18.7389373779,0.00659179175273,-0.000665162631776
1495100719324747595,61.8704071045,-492.623046875,-16.7862796783,18.6717987061,0.00616636732593,-0.00064904964529
1495100719374726653,61.8902244568,-492.642944336,-16.7639446259,18.9102706909,0.00531978905201,-0.000638575293124
1495100719424447359,61.8890686035,-492.640960693,-17.0744361877,18.5997104645,0.00481647346169,-0.000647430308163
1495100719474685379,61.8884925842,-492.630706787,-17.118473053,18.8749713898,0.00641598692164,-0.000625990389381
1495100719524690765,61.8891601562,-492.625671387,-15.3301477432,20.3785152435,0.00593014014885,-0.000636460550595
1495100719574529017,61.9003677368,-492.647186279,-15.2948789597,20.4365501404,0.00480588851497,-0.000688538071699
1495100719624876198,61.8943634033,-492.645080566,-13.2520742416,21.8514404297,0.00424563093111,-0.000689223234076
1495100719674757684,61.9028091431,-492.661315918,-13.2879266739,21.6152648926,0.00579469790682,-0.00074880028842
1495100719724736660,61.8901405334,-492.658172607,-11.4283638,22.6782512665,0.00511668529361,-0.000738708127756
1495100719774762155,61.9098091125,-492.682861328,-11.3460941315,22.2872867584,0.00198594294488,-0.000791441474576
1495100719824573732,61.8977050781,-492.704345703,-14.2173233032,20.5564479828,0.00115347339306,-0.000775969587266
1495100719874548031,61.9020881653,-492.718933105,-14.2912387848,20.404838562,0.00368428439833,-0.000719242380001
1495100719924722646,61.9035263062,-492.714080811,-16.3480300903,18.7852840424,0.00290711643174,-0.00071530934656
1495100719974580096,61.8913421631,-492.709686279,-16.4794940948,18.993850708,0.00776529544964,-0.000649373745546
1495100720024760568,61.920463562,-492.730133057,-17.8245449066,17.7096691132,0.00712027214468,-0.000658627599478
1495100720074765603,61.914150238,-492.720397949,-17.7146568298,18.1161708832,0.00281389500014,-0.000597391626798
1495100720124794101,61.9317359924,-492.709625244,-16.6841526031,19.0662899017,0.00230682035908,-0.000613624288235
1495100720174453840,61.9117584229,-492.708312988,-16.8131771088,19.2555408478,0.00760685512796,-0.000640957558062
1495100720224800047,61.9413375854,-492.721740723,-13.6562490463,21.6674995422,0.00715954648331,-0.000647003937047
1495100720275701351,61.9444236755,-492.72555542,-13.5848255157,21.7469348907,0.00462256651372,-0.000731037056539
1495100720324757868,61.9419441223,-492.730865479,-10.4648485184,23.2593154907,0.00285022938624,-0.000738681876101
1495100720374504483,61.9518890381,-492.753509521,-10.4757528305,22.9250679016,0.00327774463221,-0.000805071147624
1495100720424762130,61.9420509338,-492.771118164,-10.8924617767,22.7297420502,0.00262813782319,-0.000791266851593
1495100720474932619,61.9511871338,-492.785888672,-10.9593191147,22.5628795624,0.00478408532217,-0.000790433667134
1495100720524716884,61.9431343079,-492.782012939,-12.5200977325,21.7256240845,0.00406980048865,-0.000784453237429
1495100720574596344,61.9624214172,-492.805145264,-12.5772428513,21.8012161255,0.0062309242785,-0.000751764746383
1495100720624698313,61.9654922485,-492.80166626,-14.1789808273,20.7750778198,0.00553697487339,-0.000755352783017
1495100720674784080,61.9617843628,-492.797424316,-14.1645545959,20.9702091217,0.00476710451767,-0.000711120082997
1495100720724741903,61.9715156555,-492.790405273,-14.7865285873,20.5109272003,0.00415795296431,-0.000719310133718
1495100720774546421,61.9575805664,-492.788726807,-14.8581161499,20.6728973389,0.00707695353776,-0.000696836039424
1495100720824539999,61.9729537964,-492.796295166,-14.6476659775,20.8130435944,0.00656163645908,-0.000703244761098
1495100720874456678,61.9654197693,-492.802246094,-14.6023464203,20.8442764282,0.00462186895311,-0.000706864113454
1495100720924716424,61.9758529663,-492.795928955,-13.2072610855,21.7739982605,0.00417116610333,-0.000707869767211
1495100720974332789,61.9895896912,-492.838897705,-13.1853780746,21.6609840393,0.0035054476466,-0.000745639903471
1495100721024748205,61.9949111938,-492.837127686,-13.1402387619,21.6831703186,0.00306969252415,-0.00074054475408
1495100721074826715,61.9873199463,-492.845397949,-13.2246189117,21.6144180298,0.00621219212189,-0.000743894313928
1495100721124790053,61.9912948608,-492.841156006,-12.1298084259,22.2530384064,0.00580795109272,-0.000741320545785
1495100721174487291,62.0064811707,-492.873626709,-12.0630455017,22.1388988495,0.00342883751728,-0.000768722267821
1495100721224806123,62.0060043335,-492.875823975,-12.5109462738,21.8281002045,0.00416651880369,-0.000766466895584
1495100721275002099,62.004524231,-492.880096436,-13.4393835068,21.2695217133,0.0045760339126,-0.000755425426178
1495100721324801100,62.0049095154,-492.875030518,-13.4717359543,21.2741699219,0.00427902908996,-0.000734455883503
1495100721377978041,62.0061645508,-492.876342773,-13.4775409698,21.3112239838,0.00463959900662,-0.000733961933292
1495100721424741741,62.0169067383,-492.892425537,-14.0290155411,20.9406871796,0.00423381803557,-0.000735305191483
