%time,field.DevID,field.MsgID,field.Data,field.Time
1495895521673507284,10,5,-349,1495895521.67
1495895521673915088,10,3,268,1495895521.67
1495895521721945497,10,5,-349,1495895521.72
1495895521723226596,10,3,268,1495895521.72
1495895521772317476,10,5,-349,1495895521.77
1495895521772691825,10,3,268,1495895521.77
1495895521822192955,10,5,-349,1495895521.82
1495895521822477000,10,3,268,1495895521.82
1495895521872531408,10,5,-334,1495895521.87
1495895521872870836,10,3,257,1495895521.87
1495895521922255049,10,5,-349,1495895521.92
1495895521922586446,10,3,268,1495895521.92
1495895521971218257,10,5,-349,1495895521.97
1495895521971555032,10,3,268,1495895521.97
1495895522020884418,10,5,-142,1495895522.02
1495895522021196958,10,3,113,1495895522.02
1495895522070798656,10,5,-349,1495895522.07
1495895522072850734,10,3,268,1495895522.07
1495895522120282883,10,5,-349,1495895522.12
1495895522120641099,10,3,268,1495895522.12
1495895522172142622,10,5,-349,1495895522.17
1495895522172777549,10,3,268,1495895522.17
1495895522220484663,10,5,-349,1495895522.22
1495895522221077406,10,3,268,1495895522.22
1495895522270240504,10,5,-349,1495895522.27
1495895522270818511,10,3,268,1495895522.27
1495895522320145312,10,5,-349,1495895522.32
1495895522320185820,10,3,268,1495895522.32
1495895522370095029,10,5,268,1495895522.37
1495895522370495639,10,3,-349,1495895522.37
1495895522420118009,10,5,-349,1495895522.42
1495895522420833672,10,3,268,1495895522.42
1495895522470301484,10,5,268,1495895522.47
1495895522470985719,10,3,-349,1495895522.47
1495895522523316468,10,5,-349,1495895522.52
1495895522523922970,10,3,268,1495895522.52
1495895522570155525,10,5,268,1495895522.57
1495895522572982562,10,3,-349,1495895522.57
1495895522620111459,10,5,-349,1495895522.62
1495895522620752393,10,3,268,1495895522.62
1495895522672204397,10,5,-349,1495895522.67
1495895522672439064,10,3,268,1495895522.67
1495895522722223746,10,5,-349,1495895522.72
1495895522722842889,10,3,268,1495895522.72
1495895522772268516,10,5,-349,1495895522.77
1495895522772944020,10,3,268,1495895522.77
1495895522823056887,10,5,-349,1495895522.82
1495895522826119150,10,3,268,1495895522.82
1495895522872275856,10,5,-349,1495895522.87
1495895522872545932,10,3,268,1495895522.87
1495895522921803245,10,5,-349,1495895522.92
1495895522922324820,10,3,268,1495895522.92
1495895522973366717,10,5,-349,1495895522.97
1495895522973953245,10,3,268,1495895522.97
1495895523020365780,10,5,-349,1495895523.02
1495895523021194168,10,3,268,1495895523.02
1495895523072539246,10,5,-349,1495895523.07
1495895523072749538,10,3,268,1495895523.07
1495895523122152469,10,5,-349,1495895523.12
1495895523122648202,10,3,268,1495895523.12
1495895523170667993,10,5,-349,1495895523.17
1495895523171287975,10,3,268,1495895523.17
1495895523220059819,10,5,-349,1495895523.22
1495895523220364955,10,3,268,1495895523.22
1495895523272421995,10,5,-349,1495895523.27
1495895523272681455,10,3,268,1495895523.27
1495895523320316564,10,5,268,1495895523.32
1495895523320369923,10,3,-349,1495895523.32
1495895523372324431,10,5,-238,1495895523.37
1495895523372540729,10,3,268,1495895523.37
1495895523422536124,10,5,268,1495895523.42
1495895523422874086,10,3,-349,1495895523.42
1495895523472866967,10,5,-349,1495895523.47
1495895523473104986,10,3,268,1495895523.47
1495895523523893566,10,5,268,1495895523.52
1495895523524082347,10,3,-349,1495895523.52
1495895523572588866,10,5,-349,1495895523.57
1495895523572965870,10,3,268,1495895523.57
1495895523620307644,10,5,-349,1495895523.62
1495895523620658526,10,3,268,1495895523.62
1495895523672884791,10,5,-349,1495895523.67
1495895523673479419,10,3,268,1495895523.67
1495895523722659835,10,5,268,1495895523.72
1495895523722757054,10,3,-349,1495895523.72
1495895523773280798,10,5,-114,1495895523.77
1495895523773516023,10,3,268,1495895523.77
1495895523824127555,10,5,-247,1495895523.82
1495895523824387783,10,3,268,1495895523.82
1495895523870781607,10,5,-232,1495895523.87
1495895523871016414,10,3,268,1495895523.87
1495895523924011000,10,5,179,1495895523.92
1495895523926288033,10,3,268,1495895523.92
1495895523972645118,10,5,191,1495895523.97
1495895523973287588,10,3,268,1495895523.97
1495895524020525434,10,5,224,1495895524.02
1495895524020854806,10,3,268,1495895524.02
1495895524072138635,10,5,229,1495895524.07
1495895524072339010,10,3,268,1495895524.07
1495895524120001561,10,5,268,1495895524.12
1495895524120180076,10,3,-349,1495895524.12
1495895524172869459,10,5,218,1495895524.17
1495895524173265460,10,3,268,1495895524.17
1495895524219949539,10,5,268,1495895524.22
1495895524220613450,10,3,-349,1495895524.22
1495895524273450613,10,5,114,1495895524.27
1495895524274158384,10,3,268,1495895524.27
1495895524320056544,10,5,166,1495895524.32
1495895524320459877,10,3,268,1495895524.32
1495895524370085461,10,5,85,1495895524.37
1495895524370780032,10,3,268,1495895524.37
1495895524420485027,10,5,224,1495895524.42
1495895524420540551,10,3,268,1495895524.42
1495895524472436535,10,5,236,1495895524.47
1495895524472766046,10,3,268,1495895524.47
1495895524523028647,10,5,268,1495895524.52
1495895524523444482,10,3,-349,1495895524.52
1495895524572283515,10,5,268,1495895524.57
1495895524572494644,10,3,268,1495895524.57
1495895524620264204,10,5,268,1495895524.62
1495895524620323220,10,3,-349,1495895524.62
1495895524669696676,10,5,196,1495895524.67
1495895524669893767,10,3,268,1495895524.67
1495895524720000767,10,5,268,1495895524.72
1495895524720256735,10,3,-349,1495895524.72
1495895524773038307,10,5,218,1495895524.77
1495895524773637545,10,3,268,1495895524.77
1495895524822717459,10,5,255,1495895524.82
1495895524823427047,10,3,268,1495895524.82
1495895524869967740,10,5,268,1495895524.87
1495895524870308775,10,3,262,1495895524.87
1495895524919805853,10,5,268,1495895524.92
1495895524920232164,10,3,-349,1495895524.92
1495895524970062315,10,5,268,1495895524.97
1495895524970407820,10,3,218,1495895524.97
1495895525020203190,10,5,268,1495895525.02
1495895525020748022,10,3,-349,1495895525.02
1495895525070120499,10,5,268,1495895525.07
1495895525070662607,10,3,-349,1495895525.07
1495895525122424849,10,5,268,1495895525.12
1495895525122731872,10,3,-349,1495895525.12
1495895525170057927,10,5,268,1495895525.17
1495895525170694739,10,3,268,1495895525.17
1495895525220122883,10,5,268,1495895525.22
1495895525220727568,10,3,268,1495895525.22
1495895525270114293,10,5,268,1495895525.27
1495895525270690483,10,3,268,1495895525.27
1495895525319891507,10,5,268,1495895525.32
1495895525320087132,10,3,-349,1495895525.32
1495895525369690782,10,5,268,1495895525.37
1495895525370914889,10,3,142,1495895525.37
1495895525419949622,10,5,268,1495895525.42
1495895525420640702,10,3,-349,1495895525.42
1495895525472490802,10,5,268,1495895525.47
1495895525473129222,10,3,230,1495895525.47
1495895525520162507,10,5,268,1495895525.52
1495895525520460450,10,3,-349,1495895525.52
1495895525570070457,10,5,268,1495895525.57
1495895525570630026,10,3,249,1495895525.57
1495895525621552496,10,5,268,1495895525.62
1495895525621941582,10,3,-349,1495895525.62
1495895525670382934,10,5,268,1495895525.67
1495895525675135848,10,3,147,1495895525.67
1495895525720056921,10,5,268,1495895525.72
1495895525720116775,10,3,-349,1495895525.72
1495895525770457745,10,5,268,1495895525.77
1495895525770765327,10,3,-329,1495895525.77
1495895525820736553,10,5,268,1495895525.82
1495895525820923519,10,3,-349,1495895525.82
1495895525870278190,10,5,268,1495895525.87
1495895525870974997,10,3,-349,1495895525.87
1495895525920798091,10,5,268,1495895525.92
1495895525921377913,10,3,-349,1495895525.92
1495895525972080242,10,5,268,1495895525.97
1495895525974256146,10,3,-349,1495895525.97
1495895526025553168,10,5,268,1495895526.02
1495895526025746488,10,3,-349,1495895526.02
1495895526073887670,10,5,268,1495895526.07
1495895526074121080,10,3,-349,1495895526.07
1495895526123659080,10,5,268,1495895526.12
1495895526123860711,10,3,-349,1495895526.12
1495895526172684799,10,5,268,1495895526.17
1495895526172747726,10,3,-349,1495895526.17
1495895526222211212,10,5,268,1495895526.22
1495895526222397409,10,3,-349,1495895526.22
1495895526272054562,10,5,268,1495895526.27
1495895526272694307,10,3,-349,1495895526.27
1495895526322045482,10,5,268,1495895526.32
1495895526322237126,10,3,-349,1495895526.32
1495895526374877969,10,5,268,1495895526.37
1495895526375181499,10,3,-349,1495895526.37
1495895526419942711,10,5,268,1495895526.42
1495895526420251898,10,3,-349,1495895526.42
1495895526470193165,10,5,268,1495895526.47
1495895526470403807,10,3,-349,1495895526.47
1495895526524313314,10,5,268,1495895526.52
1495895526524534640,10,3,-349,1495895526.52
1495895526571851832,10,5,268,1495895526.57
1495895526572223388,10,3,-349,1495895526.57
1495895526620002298,10,5,268,1495895526.62
1495895526620631777,10,3,-349,1495895526.62
1495895526670427074,10,5,268,1495895526.67
1495895526671020165,10,3,-349,1495895526.67
1495895526720527583,10,5,268,1495895526.72
1495895526720567951,10,3,-349,1495895526.72
1495895526771660894,10,5,268,1495895526.77
1495895526772341288,10,3,-349,1495895526.77
1495895526822141896,10,5,268,1495895526.82
1495895526824854320,10,3,-349,1495895526.82
1495895526870585556,10,5,268,1495895526.87
1495895526873033909,10,3,-349,1495895526.87
1495895526921639046,10,5,268,1495895526.92
1495895526922223687,10,3,-349,1495895526.92
1495895526971975264,10,5,268,1495895526.97
1495895526972172146,10,3,-349,1495895526.97
1495895527022179622,10,5,268,1495895527.02
1495895527022341933,10,3,-349,1495895527.02
1495895527069900986,10,5,268,1495895527.07
1495895527070262065,10,3,-349,1495895527.07
1495895527121790615,10,5,268,1495895527.12
1495895527122401097,10,3,-349,1495895527.12
1495895527170733788,10,5,268,1495895527.17
1495895527170783725,10,3,-349,1495895527.17
1495895527220062335,10,5,268,1495895527.22
1495895527220763193,10,3,-349,1495895527.22
1495895527271686773,10,5,268,1495895527.27
1495895527272194660,10,3,-349,1495895527.27
1495895527322153321,10,5,268,1495895527.32
1495895527322978917,10,3,-349,1495895527.32
1495895527371843082,10,5,268,1495895527.37
1495895527372107850,10,3,-349,1495895527.37
1495895527421220172,10,5,268,1495895527.42
1495895527421554432,10,3,-349,1495895527.42
1495895527472784836,10,5,268,1495895527.47
1495895527475156509,10,3,-349,1495895527.47
1495895527521618000,10,5,268,1495895527.52
1495895527522218565,10,3,-349,1495895527.52
1495895527570268523,10,5,268,1495895527.57
1495895527570872648,10,3,-349,1495895527.57
1495895527620587009,10,5,268,1495895527.62
1495895527620779282,10,3,-349,1495895527.62
1495895527670779284,10,5,268,1495895527.67
1495895527673408947,10,3,-349,1495895527.67
1495895527720933917,10,5,268,1495895527.72
