%time,field.DevID,field.MsgID,field.Data,field.Time
1495632723662135435,10,5,202,1495632723.66
1495632723662383511,10,3,202,1495632723.66
1495632723712230628,10,5,202,1495632723.71
1495632723712559720,10,3,202,1495632723.71
1495632723760952537,10,5,202,1495632723.76
1495632723762807101,10,3,202,1495632723.76
1495632723810323828,10,5,202,1495632723.81
1495632723810579587,10,3,202,1495632723.81
1495632723860206916,10,5,202,1495632723.86
1495632723862488771,10,3,202,1495632723.86
1495632723910489358,10,5,202,1495632723.91
1495632723910845619,10,3,202,1495632723.91
1495632723960508988,10,5,202,1495632723.96
1495632723961081407,10,3,202,1495632723.96
1495632724010339210,10,5,202,1495632724.01
1495632724010537280,10,3,202,1495632724.01
1495632724060669002,10,5,202,1495632724.06
1495632724061047752,10,3,202,1495632724.06
1495632724110263299,10,5,202,1495632724.11
1495632724110608245,10,3,202,1495632724.11
1495632724160374422,10,5,202,1495632724.16
1495632724160716784,10,3,202,1495632724.16
1495632724210557199,10,5,202,1495632724.21
1495632724210916672,10,3,202,1495632724.21
1495632724260090312,10,5,202,1495632724.26
1495632724260408718,10,3,202,1495632724.26
1495632724310243965,10,5,202,1495632724.31
1495632724310804580,10,3,202,1495632724.31
1495632724360202970,10,5,202,1495632724.36
1495632724362896749,10,3,202,1495632724.36
1495632724410356764,10,5,202,1495632724.41
1495632724410521310,10,3,202,1495632724.41
1495632724460255081,10,5,202,1495632724.46
1495632724460455386,10,3,202,1495632724.46
1495632724510585293,10,5,202,1495632724.51
1495632724510843287,10,3,202,1495632724.51
1495632724560992822,10,5,202,1495632724.56
1495632724563533090,10,3,202,1495632724.56
1495632724611108973,10,5,202,1495632724.61
1495632724613130530,10,3,202,1495632724.61
1495632724662323307,10,5,202,1495632724.66
1495632724662693186,10,3,202,1495632724.66
1495632724713124388,10,5,202,1495632724.71
1495632724713391740,10,3,202,1495632724.71
1495632724761033762,10,5,202,1495632724.76
1495632724763287888,10,3,202,1495632724.76
1495632724810512958,10,5,202,1495632724.81
1495632724811205783,10,3,202,1495632724.81
1495632724862148224,10,5,202,1495632724.86
1495632724862521526,10,3,202,1495632724.86
1495632724910308051,10,5,202,1495632724.91
1495632724910928381,10,3,202,1495632724.91
1495632724960203572,10,5,202,1495632724.96
1495632724960810353,10,3,202,1495632724.96
1495632725010270832,10,5,202,1495632725.01
1495632725010861480,10,3,202,1495632725.01
1495632725060312392,10,5,202,1495632725.06
1495632725060649656,10,3,202,1495632725.06
1495632725110386429,10,5,202,1495632725.11
1495632725112812927,10,3,202,1495632725.11
1495632725160174815,10,5,202,1495632725.16
1495632725160770352,10,3,202,1495632725.16
1495632725210301719,10,5,202,1495632725.21
1495632725210890411,10,3,202,1495632725.21
1495632725260265543,10,5,202,1495632725.26
1495632725260644013,10,3,202,1495632725.26
1495632725310366606,10,5,202,1495632725.31
1495632725310951666,10,3,202,1495632725.31
1495632725360269320,10,5,202,1495632725.36
1495632725360868907,10,3,202,1495632725.36
1495632725410379604,10,5,202,1495632725.41
1495632725410983591,10,3,202,1495632725.41
1495632725460240133,10,5,202,1495632725.46
1495632725460484507,10,3,202,1495632725.46
1495632725510430175,10,5,202,1495632725.51
1495632725510808785,10,3,202,1495632725.51
1495632725560324160,10,5,202,1495632725.56
1495632725560915507,10,3,202,1495632725.56
1495632725610151657,10,5,202,1495632725.61
1495632725610354546,10,3,202,1495632725.61
1495632725660256005,10,5,202,1495632725.66
1495632725660633497,10,3,202,1495632725.66
1495632725711645639,10,5,202,1495632725.71
1495632725712235518,10,3,202,1495632725.71
1495632725763049659,10,5,202,1495632725.76
1495632725763642681,10,3,202,1495632725.76
1495632725810320685,10,5,202,1495632725.81
1495632725810710329,10,3,202,1495632725.81
1495632725860175910,10,5,202,1495632725.86
1495632725860498716,10,3,202,1495632725.86
1495632725910331447,10,5,202,1495632725.91
1495632725910663263,10,3,202,1495632725.91
1495632725960210975,10,5,202,1495632725.96
1495632725960809514,10,3,202,1495632725.96
1495632726011497036,10,5,202,1495632726.01
1495632726011987811,10,3,202,1495632726.01
1495632726060247928,10,5,202,1495632726.06
1495632726060589313,10,3,202,1495632726.06
1495632726110334816,10,5,202,1495632726.11
1495632726110931331,10,3,202,1495632726.11
1495632726160218814,10,5,202,1495632726.16
1495632726160814421,10,3,202,1495632726.16
1495632726210226011,10,5,202,1495632726.21
1495632726210866315,10,3,202,1495632726.21
1495632726260267640,10,5,202,1495632726.26
1495632726260606090,10,3,202,1495632726.26
1495632726311183471,10,5,202,1495632726.31
1495632726311435668,10,3,202,1495632726.31
1495632726360263805,10,5,202,1495632726.36
1495632726360636618,10,3,202,1495632726.36
1495632726410283710,10,5,202,1495632726.41
1495632726410532485,10,3,202,1495632726.41
1495632726460412571,10,5,202,1495632726.46
1495632726460768343,10,3,202,1495632726.46
1495632726511157363,10,5,202,1495632726.51
1495632726513613403,10,3,202,1495632726.51
1495632726560976198,10,5,202,1495632726.56
1495632726563408633,10,3,202,1495632726.56
1495632726611437296,10,5,202,1495632726.61
1495632726613358701,10,3,202,1495632726.61
1495632726660242595,10,5,202,1495632726.66
1495632726660835129,10,3,202,1495632726.66
1495632726710642789,10,5,202,1495632726.71
1495632726711232179,10,3,202,1495632726.71
1495632726760930261,10,5,202,1495632726.76
1495632726761140554,10,3,202,1495632726.76
1495632726810286047,10,5,202,1495632726.81
1495632726810885005,10,3,202,1495632726.81
1495632726860277878,10,5,202,1495632726.86
1495632726860524557,10,3,202,1495632726.86
1495632726911016381,10,5,202,1495632726.91
1495632726911261105,10,3,202,1495632726.91
1495632726961070930,10,5,202,1495632726.96
1495632726963282595,10,3,202,1495632726.96
1495632727011233594,10,5,202,1495632727.01
1495632727011608852,10,3,202,1495632727.01
1495632727061062906,10,5,202,1495632727.06
1495632727063297201,10,3,202,1495632727.06
1495632727110368828,10,5,202,1495632727.11
1495632727110977356,10,3,202,1495632727.11
1495632727160246124,10,5,202,1495632727.16
1495632727160857585,10,3,202,1495632727.16
1495632727210328188,10,5,202,1495632727.21
1495632727210920094,10,3,202,1495632727.21
1495632727261322734,10,5,202,1495632727.26
1495632727261967159,10,3,202,1495632727.26
1495632727310380996,10,5,202,1495632727.31
1495632727310705338,10,3,202,1495632727.31
1495632727361359753,10,5,202,1495632727.36
1495632727362044058,10,3,202,1495632727.36
1495632727410343566,10,5,202,1495632727.41
1495632727410720010,10,3,202,1495632727.41
1495632727460293981,10,5,202,1495632727.46
1495632727460889866,10,3,202,1495632727.46
1495632727510340778,10,5,202,1495632727.51
1495632727510685794,10,3,202,1495632727.51
1495632727560751379,10,5,202,1495632727.56
1495632727563130524,10,3,202,1495632727.56
1495632727611223583,10,5,202,1495632727.61
1495632727611561126,10,3,202,1495632727.61
1495632727660397920,10,5,202,1495632727.66
1495632727660733159,10,3,202,1495632727.66
1495632727711074757,10,5,202,1495632727.71
1495632727711665894,10,3,202,1495632727.71
1495632727761069385,10,5,202,1495632727.76
1495632727761702915,10,3,202,1495632727.76
1495632727812997352,10,5,202,1495632727.81
1495632727813487498,10,3,202,1495632727.81
1495632727861320677,10,5,202,1495632727.86
1495632727863490715,10,3,202,1495632727.86
1495632727911109060,10,5,202,1495632727.91
1495632727911479918,10,3,202,1495632727.91
1495632727961064783,10,5,202,1495632727.96
1495632727963593248,10,3,202,1495632727.96
1495632728010302400,10,5,202,1495632728.01
1495632728010562140,10,3,202,1495632728.01
1495632728060297726,10,5,202,1495632728.06
1495632728060500336,10,3,202,1495632728.06
1495632728110419392,10,5,202,1495632728.11
1495632728110975120,10,3,202,1495632728.11
1495632728160266863,10,5,202,1495632728.16
1495632728160466330,10,3,202,1495632728.16
1495632728210303255,10,5,202,1495632728.21
1495632728210502791,10,3,202,1495632728.21
1495632728260445527,10,5,202,1495632728.26
1495632728260754994,10,3,202,1495632728.26
1495632728311351510,10,5,202,1495632728.31
1495632728311940830,10,3,202,1495632728.31
1495632728361085207,10,5,202,1495632728.36
1495632728363579378,10,3,202,1495632728.36
1495632728410337978,10,5,191,1495632728.41
1495632728410677337,10,3,191,1495632728.41
1495632728460286088,10,5,177,1495632728.46
1495632728460481783,10,3,177,1495632728.46
1495632728510872690,10,5,148,1495632728.51
1495632728511198081,10,3,148,1495632728.51
1495632728560269684,10,5,134,1495632728.56
1495632728560469360,10,3,134,1495632728.56
1495632728610158918,10,5,103,1495632728.61
1495632728610751452,10,3,103,1495632728.61
1495632728660084961,10,5,88,1495632728.66
1495632728660426555,10,3,88,1495632728.66
1495632728710379906,10,5,-96,1495632728.71
1495632728710981449,10,3,-96,1495632728.71
1495632728760257828,10,5,-116,1495632728.76
1495632728760886191,10,3,-116,1495632728.76
1495632728810667520,10,5,-143,1495632728.81
1495632728811208929,10,3,-143,1495632728.81
1495632728860523788,10,5,-163,1495632728.86
1495632728861046410,10,3,-163,1495632728.86
1495632728911171638,10,5,-185,1495632728.91
1495632728911501638,10,3,-185,1495632728.91
1495632728961103057,10,5,-205,1495632728.96
1495632728961693705,10,3,-205,1495632728.96
1495632729011181494,10,5,-221,1495632729.01
1495632729011560871,10,3,-221,1495632729.01
1495632729060168168,10,5,-241,1495632729.06
1495632729060827470,10,3,-241,1495632729.06
1495632729110320706,10,5,-251,1495632729.11
1495632729111481120,10,3,-251,1495632729.11
1495632729161412400,10,5,-263,1495632729.16
1495632729161979791,10,3,-263,1495632729.16
1495632729213274445,10,5,-263,1495632729.21
1495632729213644883,10,3,-263,1495632729.21
1495632729261844448,10,5,-263,1495632729.26
1495632729264430808,10,3,-263,1495632729.26
1495632729312375242,10,5,-263,1495632729.31
1495632729312585395,10,3,-263,1495632729.31
1495632729360310807,10,5,-259,1495632729.36
1495632729360947270,10,3,-259,1495632729.36
1495632729410371641,10,5,-241,1495632729.41
1495632729410810733,10,3,-241,1495632729.41
1495632729460211152,10,5,-256,1495632729.46
1495632729460446936,10,3,-256,1495632729.46
1495632729510386035,10,5,-234,1495632729.51
1495632729510847546,10,3,-234,1495632729.51
1495632729560215836,10,5,-247,1495632729.56
1495632729560918858,10,3,-247,1495632729.56
1495632729610383179,10,5,-222,1495632729.61
1495632729611123078,10,3,-222,1495632729.61
1495632729660344701,10,5,-233,1495632729.66
1495632729660988568,10,3,-233,1495632729.66
1495632729710196083,10,5,-205,1495632729.71
1495632729710412382,10,3,-205,1495632729.71
1495632729760183447,10,5,-214,1495632729.76
1495632729762626425,10,3,-214,1495632729.76
1495632729810282555,10,5,-181,1495632729.81
1495632729810535729,10,3,-181,1495632729.81
1495632729860455204,10,5,-188,1495632729.86
1495632729860902397,10,3,-188,1495632729.86
1495632729911235896,10,5,-159,1495632729.91
1495632729911867889,10,3,-159,1495632729.91
1495632729961034823,10,5,-164,1495632729.96
1495632729961666048,10,3,-164,1495632729.96
1495632730011400446,10,5,-131,1495632730.01
1495632730011733728,10,3,-131,1495632730.01
1495632730061022677,10,5,-134,1495632730.06
1495632730061282277,10,3,-134,1495632730.06
1495632730111299043,10,5,-106,1495632730.11
1495632730111983069,10,3,-106,1495632730.11
1495632730161016679,10,5,-109,1495632730.16
1495632730163210814,10,3,-109,1495632730.16
1495632730211399484,10,5,79,1495632730.21
1495632730214414114,10,3,79,1495632730.21
1495632730262749939,10,5,98,1495632730.26
1495632730263421252,10,3,98,1495632730.26
1495632730311395440,10,5,131,1495632730.31
1495632730312024569,10,3,131,1495632730.31
1495632730362439573,10,5,133,1495632730.36
1495632730363155305,10,3,133,1495632730.36
1495632730411058672,10,5,149,1495632730.41
1495632730411700653,10,3,149,1495632730.41
1495632730460230079,10,5,151,1495632730.46
1495632730460873735,10,3,151,1495632730.46
1495632730510486608,10,5,162,1495632730.51
1495632730511121395,10,3,162,1495632730.51
1495632730560960832,10,5,165,1495632730.56
1495632730563543773,10,3,165,1495632730.56
1495632730612047707,10,5,168,1495632730.61
1495632730612630183,10,3,168,1495632730.61
1495632730660413354,10,5,176,1495632730.66
1495632730661380238,10,3,176,1495632730.66
1495632730710338210,10,5,182,1495632730.71
1495632730710560445,10,3,182,1495632730.71
1495632730762343988,10,5,185,1495632730.76
1495632730762571111,10,3,185,1495632730.76
1495632730816189518,10,5,189,1495632730.81
1495632730817771282,10,3,189,1495632730.81
1495632730861088174,10,5,192,1495632730.86
1495632730863356897,10,3,192,1495632730.86
1495632730910381386,10,5,194,1495632730.91
1495632730911034681,10,3,194,1495632730.91
1495632730960339692,10,5,197,1495632730.96
1495632730960978042,10,3,197,1495632730.96
1495632731011112283,10,5,200,1495632731.01
1495632731011454505,10,3,200,1495632731.01
1495632731061093361,10,5,198,1495632731.06
1495632731061353589,10,3,198,1495632731.06
1495632731111106282,10,5,201,1495632731.11
1495632731112385215,10,3,201,1495632731.11
1495632731160257921,10,5,199,1495632731.16
1495632731160897737,10,3,199,1495632731.16
1495632731211216637,10,5,201,1495632731.21
1495632731211433774,10,3,201,1495632731.21
1495632731260273155,10,5,192,1495632731.26
1495632731260659027,10,3,192,1495632731.26
1495632731312231434,10,5,194,1495632731.31
1495632731312723466,10,3,194,1495632731.31
1495632731361514593,10,5,174,1495632731.36
1495632731362198200,10,3,174,1495632731.36
1495632731411710435,10,5,175,1495632731.41
1495632731412137026,10,3,175,1495632731.41
1495632731463309590,10,5,162,1495632731.46
1495632731463741838,10,3,162,1495632731.46
1495632731511695561,10,5,162,1495632731.51
1495632731511909415,10,3,162,1495632731.51
1495632731563412264,10,5,152,1495632731.56
1495632731564080366,10,3,152,1495632731.56
1495632731611756892,10,5,152,1495632731.61
1495632731613579331,10,3,152,1495632731.61
1495632731663268678,10,5,139,1495632731.66
1495632731663900812,10,3,139,1495632731.66
1495632731711744045,10,5,138,1495632731.71
1495632731711971797,10,3,138,1495632731.71
1495632731760451565,10,5,129,1495632731.76
1495632731762613643,10,3,129,1495632731.76
1495632731810458133,10,5,128,1495632731.81
1495632731810692311,10,3,128,1495632731.81
1495632731860630439,10,5,120,1495632731.86
1495632731860878725,10,3,120,1495632731.86
1495632731911138536,10,5,119,1495632731.91
1495632731911351133,10,3,119,1495632731.91
1495632731960454721,10,5,113,1495632731.96
1495632731960687292,10,3,113,1495632731.96
1495632732010485249,10,5,111,1495632732.01
1495632732013994422,10,3,111,1495632732.01
1495632732060407377,10,5,106,1495632732.06
1495632732060608939,10,3,106,1495632732.06
1495632732111184436,10,5,104,1495632732.11
1495632732111411001,10,3,104,1495632732.11
1495632732162214248,10,5,100,1495632732.16
1495632732162463233,10,3,100,1495632732.16
1495632732211492025,10,5,98,1495632732.21
1495632732211750368,10,3,98,1495632732.21
1495632732260485755,10,5,92,1495632732.26
1495632732260928200,10,3,92,1495632732.26
1495632732310471862,10,5,89,1495632732.31
1495632732310934350,10,3,89,1495632732.31
1495632732360512718,10,5,86,1495632732.36
1495632732362683102,10,3,86,1495632732.36
1495632732413275010,10,5,84,1495632732.41
1495632732413328020,10,3,84,1495632732.41
1495632732463103629,10,5,80,1495632732.46
1495632732463317064,10,3,80,1495632732.46
1495632732515637053,10,5,77,1495632732.51
1495632732515876259,10,3,77,1495632732.51
1495632732563192679,10,5,75,1495632732.56
1495632732563414426,10,3,75,1495632732.56
1495632732611283152,10,5,73,1495632732.61
1495632732611338676,10,3,73,1495632732.61
1495632732661538849,10,5,71,1495632732.66
1495632732663606920,10,3,71,1495632732.66
1495632732712111899,10,5,-92,1495632732.71
1495632732712528012,10,3,-92,1495632732.71
1495632732763369879,10,5,-93,1495632732.76
1495632732763587295,10,3,-93,1495632732.76
1495632732811901261,10,5,-96,1495632732.81
1495632732812132715,10,3,-96,1495632732.81
1495632732862862282,10,5,-96,1495632732.86
1495632732863309127,10,3,-96,1495632732.86
1495632732913337211,10,5,-98,1495632732.91
1495632732913574182,10,3,-98,1495632732.91
1495632732963296705,10,5,-98,1495632732.96
1495632732963569435,10,3,-98,1495632732.96
1495632733012421806,10,5,-100,1495632733.01
1495632733014545540,10,3,-100,1495632733.01
1495632733063094377,10,5,-98,1495632733.06
1495632733063346365,10,3,-98,1495632733.06
1495632733111285636,10,5,-100,1495632733.11
1495632733111333337,10,3,-100,1495632733.11
1495632733160456275,10,5,-96,1495632733.16
1495632733160683818,10,3,-96,1495632733.16
1495632733210424221,10,5,-98,1495632733.21
1495632733210678443,10,3,-98,1495632733.21
1495632733260945583,10,5,74,1495632733.26
1495632733263875218,10,3,74,1495632733.26
1495632733310538552,10,5,79,1495632733.31
1495632733310780762,10,3,79,1495632733.31
1495632733360451957,10,5,82,1495632733.36
1495632733360671399,10,3,82,1495632733.36
1495632733410473684,10,5,82,1495632733.41
1495632733410924718,10,3,82,1495632733.41
1495632733460430452,10,5,85,1495632733.46
1495632733460891473,10,3,85,1495632733.46
1495632733510441488,10,5,84,1495632733.51
1495632733510905024,10,3,84,1495632733.51
1495632733560475852,10,5,87,1495632733.56
1495632733560697807,10,3,87,1495632733.56
1495632733610693764,10,5,87,1495632733.61
1495632733611211708,10,3,87,1495632733.61
1495632733660478588,10,5,89,1495632733.66
1495632733660937586,10,3,89,1495632733.66
1495632733710537537,10,5,89,1495632733.71
1495632733710771226,10,3,89,1495632733.71
1495632733760546754,10,5,90,1495632733.76
1495632733761019859,10,3,90,1495632733.76
1495632733810731494,10,5,90,1495632733.81
1495632733810938992,10,3,90,1495632733.81
1495632733863603718,10,5,91,1495632733.86
1495632733864059921,10,3,91,1495632733.86
1495632733913309482,10,5,91,1495632733.91
1495632733913776720,10,3,91,1495632733.91
1495632733960566254,10,5,92,1495632733.96
1495632733961012330,10,3,92,1495632733.96
1495632734010442430,10,5,92,1495632734.01
1495632734010494182,10,3,92,1495632734.01
1495632734061484191,10,5,93,1495632734.06
1495632734061951499,10,3,93,1495632734.06
1495632734113588648,10,5,94,1495632734.11
1495632734114058051,10,3,94,1495632734.11
1495632734161460030,10,5,95,1495632734.16
1495632734163634675,10,3,95,1495632734.16
1495632734213635377,10,5,95,1495632734.21
1495632734214127130,10,3,95,1495632734.21
1495632734260685005,10,5,97,1495632734.26
1495632734261149590,10,3,97,1495632734.26
1495632734310461311,10,5,97,1495632734.31
1495632734310921007,10,3,97,1495632734.31
1495632734360494282,10,5,96,1495632734.36
1495632734360961660,10,3,96,1495632734.36
1495632734410451961,10,5,96,1495632734.41
1495632734410933865,10,3,96,1495632734.41
1495632734461283421,10,5,97,1495632734.46
1495632734463327818,10,3,97,1495632734.46
1495632734512778025,10,5,97,1495632734.51
1495632734512825238,10,3,97,1495632734.51
1495632734560543816,10,5,96,1495632734.56
1495632734561022230,10,3,96,1495632734.56
1495632734610747888,10,5,96,1495632734.61
1495632734610988770,10,3,96,1495632734.61
1495632734660441708,10,5,96,1495632734.66
1495632734662746469,10,3,96,1495632734.66
1495632734710483830,10,5,97,1495632734.71
1495632734710717659,10,3,97,1495632734.71
1495632734760450235,10,5,97,1495632734.76
1495632734760681340,10,3,97,1495632734.76
1495632734811693278,10,5,98,1495632734.81
1495632734812173996,10,3,98,1495632734.81
1495632734863140883,10,5,99,1495632734.86
1495632734863625791,10,3,99,1495632734.86
1495632734913587803,10,5,99,1495632734.91
1495632734914064399,10,3,99,1495632734.91
1495632734960444870,10,5,99,1495632734.96
1495632734960493549,10,3,99,1495632734.96
1495632735010721589,10,5,100,1495632735.01
1495632735010949202,10,3,100,1495632735.01
1495632735064283846,10,5,99,1495632735.06
1495632735064479821,10,3,99,1495632735.06
1495632735111402479,10,5,99,1495632735.11
1495632735111617939,10,3,99,1495632735.11
1495632735161303934,10,5,99,1495632735.16
1495632735161766563,10,3,99,1495632735.16
1495632735213919357,10,5,100,1495632735.21
1495632735214205776,10,3,100,1495632735.21
1495632735261383841,10,5,99,1495632735.26
1495632735261437480,10,3,99,1495632735.26
1495632735311288722,10,5,99,1495632735.31
1495632735311338799,10,3,99,1495632735.31
1495632735360467534,10,5,98,1495632735.36
1495632735360934353,10,3,98,1495632735.36
1495632735410428286,10,5,99,1495632735.41
1495632735410985200,10,3,99,1495632735.41
1495632735460444840,10,5,99,1495632735.46
1495632735460897062,10,3,99,1495632735.46
1495632735510516360,10,5,99,1495632735.51
1495632735510565528,10,3,99,1495632735.51
1495632735560448617,10,5,98,1495632735.56
1495632735560925773,10,3,98,1495632735.56
1495632735610529636,10,5,98,1495632735.61
1495632735610592773,10,3,98,1495632735.61
1495632735660443946,10,5,98,1495632735.66
1495632735660653819,10,3,98,1495632735.66
1495632735710797906,10,5,98,1495632735.71
1495632735711007849,10,3,98,1495632735.71
1495632735761366908,10,5,99,1495632735.76
1495632735761843924,10,3,99,1495632735.76
1495632735813119505,10,5,99,1495632735.81
1495632735813655607,10,3,99,1495632735.81
1495632735862811369,10,5,99,1495632735.86
1495632735863275255,10,3,99,1495632735.86
1495632735910537339,10,5,100,1495632735.91
1495632735912744323,10,3,100,1495632735.91
1495632735960900657,10,5,100,1495632735.96
1495632735963313534,10,3,100,1495632735.96
1495632736012674770,10,5,100,1495632736.01
1495632736012729386,10,3,100,1495632736.01
1495632736061290102,10,5,100,1495632736.06
1495632736063387507,10,3,100,1495632736.06
1495632736113903078,10,5,100,1495632736.11
1495632736114448189,10,3,100,1495632736.11
1495632736162724859,10,5,100,1495632736.16
1495632736163191748,10,3,100,1495632736.16
1495632736210548678,10,5,100,1495632736.21
1495632736212847642,10,3,100,1495632736.21
1495632736260462705,10,5,101,1495632736.26
1495632736260921003,10,3,101,1495632736.26
1495632736310490226,10,5,101,1495632736.31
1495632736310544982,10,3,101,1495632736.31
1495632736360491904,10,5,97,1495632736.36
1495632736360975485,10,3,97,1495632736.36
1495632736410446721,10,5,97,1495632736.41
1495632736412466531,10,3,97,1495632736.41
1495632736460423188,10,5,94,1495632736.46
1495632736460474312,10,3,94,1495632736.46
1495632736510483117,10,5,94,1495632736.51
1495632736510531307,10,3,94,1495632736.51
1495632736560444361,10,5,93,1495632736.56
1495632736560491922,10,3,93,1495632736.56
1495632736610422783,10,5,93,1495632736.61
1495632736610476631,10,3,93,1495632736.61
1495632736660698448,10,5,92,1495632736.66
1495632736660753343,10,3,92,1495632736.66
1495632736710470209,10,5,92,1495632736.71
1495632736710517561,10,3,92,1495632736.71
1495632736760433406,10,5,92,1495632736.76
1495632736760484949,10,3,92,1495632736.76
1495632736810415599,10,5,92,1495632736.81
1495632736810469168,10,3,92,1495632736.81
1495632736860426080,10,5,93,1495632736.86
1495632736860477763,10,3,93,1495632736.86
1495632736912607020,10,5,93,1495632736.91
1495632736912828138,10,3,93,1495632736.91
1495632736960532318,10,5,93,1495632736.96
1495632736960586725,10,3,93,1495632736.96
1495632737010528131,10,5,92,1495632737.01
1495632737012661780,10,3,92,1495632737.01
1495632737063203123,10,5,93,1495632737.06
1495632737063258926,10,3,93,1495632737.06
1495632737113009315,10,5,93,1495632737.11
