%time,field.DevID,field.MsgID,field.Data,field.Time
1495799555324518015,10,5,136,1495799555.32
1495799555325278167,10,3,-177,1495799555.32
1495799555373735934,10,5,136,1495799555.37
1495799555374660911,10,3,-177,1495799555.37
1495799555419711404,10,5,136,1495799555.42
1495799555420127728,10,3,-177,1495799555.42
1495799555470227465,10,5,136,1495799555.47
1495799555470817973,10,3,-177,1495799555.47
1495799555520158535,10,5,136,1495799555.52
1495799555520535887,10,3,-177,1495799555.52
1495799555571525264,10,5,136,1495799555.57
1495799555572151461,10,3,-177,1495799555.57
1495799555620190392,10,5,136,1495799555.62
1495799555620853466,10,3,-177,1495799555.62
1495799555670420732,10,5,136,1495799555.67
1495799555671019481,10,3,-177,1495799555.67
1495799555719904747,10,5,136,1495799555.72
1495799555720578645,10,3,-177,1495799555.72
1495799555772100419,10,5,136,1495799555.77
1495799555772702870,10,3,-177,1495799555.77
1495799555823689592,10,5,136,1495799555.82
1495799555824558140,10,3,-177,1495799555.82
1495799555874443813,10,5,136,1495799555.87
1495799555875183151,10,3,-177,1495799555.87
1495799555922782570,10,5,136,1495799555.92
1495799555922843123,10,3,-177,1495799555.92
1495799555970682309,10,5,136,1495799555.97
1495799555971327432,10,3,-177,1495799555.97
1495799556021493026,10,5,136,1495799556.02
1495799556022158613,10,3,-177,1495799556.02
1495799556070647881,10,5,136,1495799556.07
1495799556070909856,10,3,-177,1495799556.07
1495799556122467950,10,5,136,1495799556.12
1495799556122940147,10,3,-177,1495799556.12
1495799556172929886,10,5,136,1495799556.17
1495799556173574242,10,3,-177,1495799556.17
1495799556222928491,10,5,136,1495799556.22
1495799556223726008,10,3,71,1495799556.22
1495799556270852949,10,5,136,1495799556.27
1495799556271240149,10,3,100,1495799556.27
1495799556322131954,10,5,136,1495799556.32
1495799556322737827,10,3,136,1495799556.32
1495799556372556803,10,5,136,1495799556.37
1495799556372812561,10,3,136,1495799556.37
1495799556423906004,10,5,136,1495799556.42
1495799556424769731,10,3,136,1495799556.42
1495799556473075874,10,5,136,1495799556.47
1495799556473369627,10,3,136,1495799556.47
1495799556521349048,10,5,136,1495799556.52
1495799556521605087,10,3,136,1495799556.52
1495799556572681344,10,5,136,1495799556.57
1495799556572743852,10,3,136,1495799556.57
1495799556622799238,10,5,136,1495799556.62
1495799556622856997,10,3,-107,1495799556.62
1495799556673382836,10,5,136,1495799556.67
1495799556673586982,10,3,74,1495799556.67
1495799556722808049,10,5,136,1495799556.72
1495799556723475521,10,3,136,1495799556.72
1495799556773492149,10,5,136,1495799556.77
1495799556773713476,10,3,136,1495799556.77
1495799556823142315,10,5,136,1495799556.82
1495799556823340315,10,3,136,1495799556.82
1495799556872865885,10,5,136,1495799556.87
1495799556873120526,10,3,136,1495799556.87
1495799556922305835,10,5,97,1495799556.92
1495799556922507955,10,3,136,1495799556.92
1495799556977747593,10,5,105,1495799556.97
1495799556979386067,10,3,136,1495799556.97
1495799557022544977,10,5,-177,1495799557.02
1495799557022742348,10,3,136,1495799557.02
1495799557072555244,10,5,-177,1495799557.07
1495799557073769364,10,3,136,1495799557.07
1495799557121126925,10,5,-177,1495799557.12
1495799557121326113,10,3,136,1495799557.12
1495799557172621463,10,5,-177,1495799557.17
1495799557173407038,10,3,136,1495799557.17
